CodigoParlamentar;CodigoPublicoNaLegAtual;NomeParlamentar;NomeCompletoParlamentar;SexoParlamentar;FormaTratamento;UrlFotoParlamentar;UrlPaginaParlamentar;EmailParlamentar;SiglaPartidoParlamentar;UfParlamentar;MembroMesa;MembroLideranca;NumeroTelefone;OrdemPublicacao;IndicadorFax;CodigoBloco;NomeBloco;NomeApelido;DataCriacao;CodigoMandato;UfParlamentar;DescricaoParticipacao;NumeroLegislatura;DataInicio;DataFim;NumeroLegislatura;DataInicio;DataFim;DescricaoParticipacao;CodigoParlamentar;NomeParlamentar;CodigoExercicio;DataInicio;DescricaoParticipacao;CodigoParlamentar;NomeParlamentar;DataFim;SiglaCausaAfastamento;DescricaoCausaAfastamento;UrlPaginaParticular;DataLeitura
"5672";"800";"Alan Rick";"Alan Rick Miranda";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672";"sen.alanrick@senado.leg.br";"UNIÃO";"AC";"Não";"Sim";"33036333";"1";"Não";"336";"Bloco Parlamentar Democracia";"BLDEM";"2023-02-03";"596";"AC";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"1º Suplente";"6343";"Gemil Junior";;;;;;;;;;
"5672";"800";"Alan Rick";"Alan Rick Miranda";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672";"sen.alanrick@senado.leg.br";"UNIÃO";"AC";"Não";"Sim";"33036333";"1";"Não";"336";"Bloco Parlamentar Democracia";"BLDEM";"2023-02-03";"596";"AC";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2º Suplente";"6344";"Coronel Casagrande";;;;;;;;;;
"5672";"800";"Alan Rick";"Alan Rick Miranda";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672";"sen.alanrick@senado.leg.br";"UNIÃO";"AC";"Não";"Sim";"33036333";"1";"Não";"336";"Bloco Parlamentar Democracia";"BLDEM";"2023-02-03";"596";"AC";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3028";"2023-02-01";;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";"sen.alessandrovieira@senado.leg.br";;;;;"33039011";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";"sen.alessandrovieira@senado.leg.br";;;;;"33039014";"2";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";"sen.alessandrovieira@senado.leg.br";;;;;"33039019";"3";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";"sen.alessandrovieira@senado.leg.br";"MDB";"SE";"Não";"Não";;;;"336";"Bloco Parlamentar Democracia";"BLDEM";"2023-02-03";"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5980";"Fernando Carvalho";;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";"sen.alessandrovieira@senado.leg.br";"MDB";"SE";"Não";"Não";;;;"336";"Bloco Parlamentar Democracia";"BLDEM";"2023-02-03";"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5981";"Major Ildomario";;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";"sen.alessandrovieira@senado.leg.br";"MDB";"SE";"Não";"Não";;;;"336";"Bloco Parlamentar Democracia";"BLDEM";"2023-02-03";"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2888";"2019-02-01";;;;;;;;
"6358";"920";"Ana Paula Lobato";"Ana Paula Dias Lobato Nova Alves";"Feminino";"Senadora ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358";"sen.anapaulalobato@senado.leg.br";"PDT";"MA";"Não";"Sim";"33032967";"1";"Não";"353";"Bloco Parlamentar Independência";"BLIND";"2024-04-09";"602";"MA";"1º Suplente";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2º Suplente";"6359";"Lourdinha";"3057";"2024-02-21";"Titular";"4605";"Flávio Dino";;;;;
"6358";"920";"Ana Paula Lobato";"Ana Paula Dias Lobato Nova Alves";"Feminino";"Senadora ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358";"sen.anapaulalobato@senado.leg.br";"PDT";"MA";"Não";"Sim";"33032967";"1";"Não";"353";"Bloco Parlamentar Independência";"BLIND";"2024-04-09";"602";"MA";"1º Suplente";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2º Suplente";"6359";"Lourdinha";"3038";"2023-02-02";"Titular";"4605";"Flávio Dino";"2024-01-31";"RET";"Retorno do titular";;
"6358";"920";"Ana Paula Lobato";"Ana Paula Dias Lobato Nova Alves";"Feminino";"Senadora ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358";"sen.anapaulalobato@senado.leg.br";"PDT";"MA";"Não";"Sim";"33032967";"1";"Não";"353";"Bloco Parlamentar Independência";"BLIND";"2024-04-09";"602";"MA";"1º Suplente";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2º Suplente";"6359";"Lourdinha";;;"Titular";"4605";"Flávio Dino";;;;;
"6366";"939";"André Amaral";"Andre Augusto Castro do Amaral";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6366.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6366";"sen.andreamaral@senado.leg.br";;;;;"33035934";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"6366";"939";"André Amaral";"Andre Augusto Castro do Amaral";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6366.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6366";"sen.andreamaral@senado.leg.br";;;;;"33035931";"2";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"6366";"939";"André Amaral";"Andre Augusto Castro do Amaral";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6366.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6366";"sen.andreamaral@senado.leg.br";"UNIÃO";"PB";"Não";"Não";;;;"336";"Bloco Parlamentar Democracia";"BLDEM";"2023-02-03";"605";"PB";"1º Suplente";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2º Suplente";"6367";"Erik Marinho";"3063";"2024-06-20";"Titular";"4642";"Efraim Filho";;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";;;;;"33036103";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";;;;;"33036105";"3";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
