codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5936,DIS,2023-08-01,Senado Federal,"Apelo para que o Presidente do Senado Federal, Senador Rodrigo Pacheco, manifeste-se, em nome da Casa, contra suposta usurpação das prerrogativas do Poder Legislativo evidenciada no julgamento pelo STF sobre a descriminalização do porte de drogas para consumo próprio.",499302
5936,DIS,2023-05-24,Senado Federal,"Expectativa em torno da votação pelo Senado Federal do Projeto de Lei de Conversão nº 9, 2023, que instituiu o Programa Emergencial de Retomada do Setor de Eventos - Perse, e manifestação contrária à transferência de recursos do “Sistema S” para a Embratur incluída no texto do projeto pela Câmara dos Deputados.",497866
5936,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República e breve histórico de sua trajetória política no Congresso Nacional.,495184
5936,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5936,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
5936,DIS,2022-11-09,Senado Federal,"Apelo pela apreciação em Plenário do Projeto de Decreto Legislativo nº 371, de 2022, que susta os efeitos da resolução editada pelo TSE no enfrentamento à desinformação durante o processo eleitoral.",494121
5936,POR,2022-10-05,Senado Federal,"Comentário sobre decisão do Tribunal Superior Eleitoral (TSE) sobre postagens, por não significar regulamentação da mídia.",493861
5936,DIS,2022-10-05,Senado Federal,Prestação de contas do trabalho de S. Exa. no exercício do mandato.,493841
5936,DIS,2022-05-31,Senado Federal,"Inconformismo com a participação de Ministros do Supremo Tribunal Federal (STF) e Superior Tribunal de Justiça (STJ) e juízes brasileiros em um Fórum em Algarve - Portugal, com despesas pagas por empresas com pendências na justiça brasileira.",491361
5936,DIS,2022-05-04,Senado Federal,"Registro de audiência pública conjunta das Comissões de Serviços de Infraestrutura (CI) e de Assuntos Econômicos (CAE), da qual participará S. Exa., destinada a debater o preço das passagens aéreas, das franquias de bagagens, do pagamento para marcação antecipada de assentos e da abertura do mercado do setor aéreo nacional.",490370
5936,POR,2021-11-30,Senado Federal,"Registro da apresentação, por S. Exa., de requerimento à Comissão de Serviços de Infraestrutura (CI) solicitando aos diretores da Agência Nacional de Aviação Civil (Anac) o comparecimento à Comissão para prestar esclarecimentos sobre os problemas que afetam o setor aéreo nacional.",485725
