codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6337,DIS,2024-05-07,Senado Federal,Explicações sobre a presença de S. Exa. no show da cantora Madonna.,505668
6337,DIS,2023-12-13,Senado Federal,Anúncio de voto contrário à indicação do Sr. Flávio Dino para ocupar o cargo de Ministro do STF. Críticas ao Ministro da Fazenda Fernando Haddad por supostas declarações gravosas acerca da dívida pública do Estado de Minas Gerais e do Governador Romeu Zema e elogios à gestão do Governador mineiro.,503190
6337,DIS,2023-11-28,Senado Federal,"Apelo ao Governo Lula para a adoção de medidas urgentes em auxílio ao Estado de Santa Catarina, que se encontra em situação de calamidade pública devido às enchentes.",502710
6337,DIS,2023-09-26,Senado Federal,Celebração do sucesso de bilheteria do filme “Som da Liberdade”.,500848
6337,DIS,2023-08-03,Senado Federal,Alerta aos perigos da possível descriminalização do porte de maconha para ouso pessoal.,499332
6337,DIS,2023-07-05,Senado Federal,"Defesa da aprovação de PEC que possibilite candidaturas avulsas, sem filiação a partidos políticos. Críticas ao pedido de cassação do Prefeito de Joinville-SC, Adriano Silva.",498861
6337,DIS,2023-06-13,Senado Federal,Indignação com a atuação de parlamentares da base do Governo na CPMI destinada a investigar os atos de 8 de janeiro pela não aprovação de diversos requerimentos de autoria de membros da oposição.,498258
6337,DIS,2023-05-24,Senado Federal,"Críticas ao suposto ativismo judicial do STF e do Ministro Edson Fachin, em razão de decisão da Corte Suprema que rejeitou pedido formulado pelo Partido Podemos de suspensão da Resolução nº 487 do CNJ, que institui a política antimanicomial do Poder Judiciário. Preocupação com o julgamento no Supremo da descriminalização da posse de drogas para uso pessoal.",497898
6337,DIS,2023-05-03,Senado Federal,"Considerações acerca da votação do Projeto de Lei nº 2630/2023, conhecido como PL da ""fake news"", pautado na Câmara dos Deputados.",497250
6337,DIS,2023-04-18,Senado Federal,"Preocupação com o problema das obras públicas iniciadas e não concluídas. Registro do Requerimento nº 322, de 2023, de autoria de S. Exa., que solicita informações ao Ministro da Educação, Camilo Santana, sobre as obras acordadas por municípios goianos com o Fundo Nacional de Desenvolvimento da Educação (FNDE) que se encontram paralisadas.   .",496761
6337,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
6337,DIS,2023-03-07,Senado Federal,"Expectativa positiva para o exercício do mandato de S. Exa. no período de 2023 a 2031, com destaque para a proposta de viabilização de recursos federais para áreas essenciais, como educação, segurança alimentar, infraestrutura e defesa da mulher. Compromisso com a melhoria do Estado do Maranhão.",495751
