codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
475,DIS,2024-04-22,Senado Federal,"Defesa do Projeto de Lei nº 2973/2023, de autoria de S.Exa., que permite o garimpo em áreas destinadas à pesquisa para extração de minerais.",505319
475,DIS,2023-11-06,Senado Federal,"Críticas ao aumento dos preços das passagens aéreas, especialmente para a Região Norte, destacando o baixo número de empresas concorrentes no mercado de aviação civil.",501892
475,DIS,2023-06-26,Senado Federal,"Críticas à condução das políticas públicas do Estado do Rio Grande do Norte na educação, especialmente quanto à construção da Escola Estadual Professora Maria Ilka de Moura.",498718
475,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
475,NID,2022-12-20,Senado Federal,N/A,495037
475,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494548
475,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
475,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
475,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
475,DIS,2020-02-21,Senado Federal,"Comentário a respeito de matéria divulgada na revista Época sobre o subprocurador que reclamou ao Procurador-Geral da República, Augusto Aras, sobre sua remuneração.",464159
475,DIS,2020-02-20,Senado Federal,Solidariedade ao Senador Cid Gomes.,464154
475,DIS,2020-02-20,Senado Federal,Defesa de uma maior participação da agricultura familiar no fornecimento da merenda escolar.,464151
