codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6335,POR,2024-05-22,Senado Federal,"Agradecimentos ao Senador Otto Alencar, pela relatoria do Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada.""",506183
6335,DIS,2024-04-23,Senado Federal,"Elogios à decisão do Sr. Gilmar Mendes, Ministro do STF, que determinou a suspensão de todos os processos que discutem a constitucionalidade da Lei nº 14701/2023, que estabelece o marco temporal para a demarcação de terras indígenas.",505487
6335,DIS,2024-04-22,Senado Federal,Críticas ao STF e ao TSE por suposta censura empregada no âmbito das redes sociais. Indignação com os custos da justiça eleitoral brasileira.,505315
6335,DIS,2024-04-10,Senado Federal,Discurso de posse de S. Exa.,505004
6335,DIS,2024-04-08,Senado Federal,Reflexão sobre as dificuldades sócio-econômicas vivenciadas na Região Amazônica. Cobrança ao Governo Federal de recursos para a garantia da dignidade da população local e promoção da Amazônia sustentável.,504991
6335,DIS,2024-04-03,Senado Federal,"Críticas à fala do ex-Ministro José Dirceu proferida durante sessão especial realizada pelo Senado Federal em celebração à democracia.  Proposta de unificação das eleições no Brasil. Manifestação em favor de uma reforma política no País. Defesa dos Projetos de Lei nos. 3393/2023 e 2100/2023, ambos de autoria de S. Exa., que, respectivamente, proíbe a remoção de veículos em caso de atraso no pagamento do IPVA ou licenciamento; e veda a cobrança de taxa de esgoto não colocado à disposição do usuário.",504970
6335,DIS,2024-02-27,Senado Federal,"Satisfação com a manifestação de apoio ao ex-Presidente Jair Bolsonaro realizada no último domingo, dia 25 de fevereiro de 2024, na cidade de São Paulo (SP).",504074
6335,DIS,2024-02-27,Senado Federal,"Preocupação com denúncia de exploração sexual de menores no Arquipélago do Marajó, no Estado do Pará. Destaque para a necessidade de desenvolvimento econômico na região.",504064
6335,DIS,2023-11-01,Senado Federal,"Discurso de despedida de S. Exa. do exercício do mandato de Senador da República. Comentários acerca de proposições em trâmite no Parlamento, destacando o Projeto de Lei no. 3166/2023, que autoriza a instituição do Programa Bolsa Estudantil do Ensino Médio, do qual S. Exa. foi o Relator.",501880
6335,DIS,2023-08-29,Senado Federal,"Leitura de texto escrito pelo Senador Rodrigo Pacheco, Presidente do Senado Federal, para a Folha de S. Paulo. Defesa da competência constitucional do Poder Legislativo para debater eventual descriminalização do uso de drogas, com críticas ao STF por suposta usurpação dessa prerrogativa.",500163
6335,DIS,2023-08-29,Senado Federal,Críticas à Conferência das Partes da Convenção do Clima (COPs) e às ONGs financiadas por órgãos internacionais por supostamente sabotarem a exploração econômica na Região Amazônica. Indignação com os países do G20 pelo aumento dos subsídios aos combustíveis fósseis. Registro sobre a importância da CPI das ONGs.,500160
6335,DIS,2023-08-23,Senado Federal,Preocupação com a participação no embate político-ideológico de instituições que não são políticas. Considerações acerca de suposta criminalização do direito de manifestação ao serem tratados de forma igual todos que estiveram presentes nos atos do dia 8 de janeiro. Indignação com o tratamento que tem recebido o ex-Presidente da República Jair Bolsonaro e sua família,500234
6335,DIS,2023-06-15,Senado Federal,"Manifestação contrária ao Projeto de Lei nº 2.720/2023, que tipifica os crimesde discriminação contra pessoas politicamente expotas e prescreve os procedimentos a serem adotados pelas instituições financeiras nos casos de negativa de abertura ou manutenção de conta.",498336
6335,DIS,2023-05-29,Senado Federal,Reprovação da recepção do Presidente da Venezuela Nicolás Maduro pelo Governo brasileiro.,497834
6335,DIS,2023-05-24,Senado Federal,"Defesa da importância das instituições Sesc e Senac para o desenvolvimento social do País ante a eventual perda de recursos em favor da Embratur, decorrente da aprovação, como veio da Câmara dos Deputados, do Projeto de Lei de Conversão nº 9, 2023, que instituiu o Programa Emergencial de Retomada do Setor de Eventos - Perse.",497875
6335,DIS,2023-05-23,Senado Federal,Apelo ao Governo Federal para que encaminhe projeto de lei ao Congresso Nacional que possibilite o reajuste dos quadros da segurança pública do Distrito Federal.,497722
6335,DIS,2023-05-04,Senado Federal,Registro da presença dos estudantes da Faculdade de Direito da Uniarp de Caçador (SC) e do Professor Levi.,497262
6335,DIS,2023-04-13,Senado Federal,Considerações sobre o histórico dos ataques às escolas no Brasil. Defesa da gestão do Presidente Bolsonaro e da correlação entre o armamento da população e a redução da violência. Críticas ao atual Governo.,496654
6335,DIS,2023-04-13,Senado Federal,"Preocupação com o crescente índice de feminicídio no País. Defesa do Projeto de Lei nº 4196, de 2020, de autoria do Deputado Fábio Trad, que tem por objetivo enquadrar o feminicídio como tipo penal autônomo para evitar equívocos quanto à tipificação do crime e ampliar as políticas públicas de prevenção e repressão à violência de gênero.",496653
6335,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
