codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
4994,DIS,2023-06-21,Senado Federal,Comunicação de dissociação de S. Exa. do PSDB e filiação ao MDB,498551
4994,DIS,2023-03-23,Senado Federal,"Repúdio a manifestações ofensivas de caráter misógino proferidas em redes sociais, especialmente à prática de calúnia, injúria e difamação utilizando o direito de liberdade de expressão, como justificativa. Agradecimento ao apoio recebido pelo Senado Federal, Polícia Federal, Ministério Público Eleitoral, Procuradora Regional da República e Ministério da Justiça.",496093
4994,DIS,2023-03-16,Senado Federal,"Indignação pelo desperdício de aproximadamente 39 milhões de imunizantes contra a Covid-19, que ocasionou o prejuízo de R$ 2 bilhões aos cofres públicos. Preocupação com as notícias falsas veiculadas sobre a vacina contra a Covid-19.",496052
4994,DIS,2023-03-16,Senado Federal,"Manifestação de pesar pelos dois anos do falecimento do Senador Major Olímpio, em decorrência da Covid-19, com destaque ao histórico de sua vida política e elogios ao seu comprometimento, honestidade, retidão e combatividade.",496051
4994,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República e breve histórico de sua trajetória política no Congresso Nacional.,495184
4994,NID,2022-12-20,Senado Federal,N/A,495037
4994,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494548
4994,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
4994,DIS,2022-03-09,Senado Federal,"Exposição sobre a necessidade de exploração do potássio na Região Amazônica como solução para o possível desabastecimento de fertilizantes no País, que é uma das consequências da guerra entre Rússia e Ucrânia.",488908
4994,DIS,2022-02-15,Senado Federal,"Exposição sobre a atuação da Bancada Feminina do Senado Federal no último ano legislativo, sob a liderança de S. Exa.. Críticas ao Presidente da República pelo Veto nº 59, de 2021, aposto ao Projeto de Lei nº 4.968, de 2019, que institui o Programa de Proteção e Promoção da Saúde Menstrual. Apelo aos pares pela rejeição do veto aposto ao citado projeto, bem como aos Deputados Federais pela aprovação do Projeto de Lei da Câmara nº 130, de 2011, que estabelece multa para combater a diferença de remuneração verificada entre homens e mulheres no Brasil.",488313
