codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5976,DIS,2024-05-15,Senado Federal,"Insatisfação com a nomeação do Ministro Paulo Pimenta para a Secretaria Extraordinária para Apoio à Reconstrução do Estado do Rio Grande do Sul, em razão de suposta interferência política nos esforços de recuperação das perdas causadas pelos eventos climáticos extremos que atingiram a população gaúcha.",505733
5976,DIS,2024-04-23,Senado Federal,Críticas à narrativa da existência de censura no País e às comparações com o período histórico da ditadura militar no Brasil. Defesa da democracia e liberdade de expressão. Leitura de editorial do jornal O Estado de S. Paulo sobre o assunto.,505456
5976,DIS,2024-04-22,Senado Federal,"Manifestação crítica ao ato de apoio ao ex-Presidente Jair Bolsonaro, ocorrido no Rio de Janeiro, na data de ontem. Defesa do Presidente do Senado Federal, Senador Rodrigo Pacheco, contra supostos ataques sofridos durante a manifestação. Necessidade de diferenciar liberdade de expressão e a prática de crimes contra a honra e a falta de decoro em discursos de apoiadores do ex-Presidente.",505313
5976,DIS,2024-04-10,Senado Federal,Alerta para a importância do respeito ao princípio da separação dos poderes. Críticas ao possível retorno do pagamento do seguro obrigatório DPVAT. Inconformismo com o peso da carga tributária sobre a população brasileira. Considerações sobre os gastos do Governo Federal.,505049
5976,DIS,2024-04-10,Senado Federal,Discurso de posse de S. Exa.,505004
5976,DIS,2024-04-08,Senado Federal,Manifestação de pesar pelo falecimento do cartunista Ziraldo.,504985
5976,DIS,2024-04-02,Senado Federal,"Destaque ao ofício, de autoria de S. Exa. e outros Senadores, encaminhado à Polícia Federal, solicitando investigação das denúncias de corrupção feitas pelo Sr. John Textor, acionista majoritário do clube de futebol Botafogo. Apoio ao início dos trabalhos da CPI das Apostas Esportivas.",504915
5976,DIS,2024-03-20,Senado Federal,"Críticas àqueles Senadores que comemoraram o indiciamento do ex-Presidente da República Jair Bolsonaro pela suposta falsificação do cartão de vacinação, bem como às tentativas de relacionar esse fato aos atos de 8 de janeiro de 2023.",504657
5976,DIS,2024-03-20,Senado Federal,Elogios ao bom desempenho que a Caixa Econômica Federal vem apresentando.,504643
5976,DIS,2024-03-19,Senado Federal,"Indignação com a suposta intimidação contra o Diretor da Polícia Federal (PF), Sr. Rodrigo de Melo Teixeira, ocorrida em audiência pública da CSP. Defesa do trabalho e das prerrogativas da PF.",504836
