codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
3777,DIS,2024-05-14,Senado Federal,"Defesa da aprovação do Projeto de Lei nº 1800/2024, de autoria de S. Exa., que institui a moratória de tributos federais, estaduais e municipais e das obrigações de direito privado nos municípios afetados pelas enchentes no Estado do Rio Grande do Sul. Comentários sobre a logística de transporte das doações recebidas dos Estados Unidos da América e de Portugal para a população gaúcha.",505969
3777,DIS,2023-05-24,Senado Federal,"Defesa da importância das instituições Sesc e Senac para o desenvolvimento social do País ante a eventual perda de recursos em favor da Embratur, decorrente da aprovação, como veio da Câmara dos Deputados, do Projeto de Lei de Conversão nº 9, 2023, que instituiu o Programa Emergencial de Retomada do Setor de Eventos - Perse.",497875
3777,DIS,2023-03-07,Senado Federal,"Destaque para a aprovação de projetos importantes para a causa feminina, com o objetivo de combater a violência contra a mulher e também garantir a proteção de seus direitos.",495815
3777,DIS,2022-04-27,Senado Federal,"Cobrança ao Governo Federal da adoção de medidas que viabilizem o acesso ao sistema que garante às micro e pequenas empresas participantes do Simples Nacional a adesão ao parcelamento de dívidas e demais benefícios assegurados pela aprovação do Projeto de Lei Complementar nº 46, de 2021. Protesto contra a decisão do Ministério da Economia de reduzir o Imposto sobre Produtos Industrializados - IPI em 25%, que prejudica diretamente a Zona Franca de Manaus/AM.",490189
3777,DIS,2020-02-18,Senado Federal,"Preocupação com os desastres e prejuízos causados pelo excesso de chuvas, com destaque para a situação dos Municípios de Goiás.",464124
3777,DIS,2019-11-19,Senado Federal,"Defesa da revogação do decreto de criação da Renca (Reserva Nacional do Cobre e Associados) pelo Presidente Jair Bolsonaro, para o desenvolvimento da exploração de minério e do agronegócio nos Estados do Amapá e Pará.",461880
3777,DIS,2019-09-26,Senado Federal,"Breve síntese dos Projetos de Lei nº 598 e 1.219, ambos de 2019, de autoria de S. Exa. que encontram-se em tramitação no Congresso Nacional.",458097
3777,DIS,2019-09-19,Senado Federal,"Esclarecimentos acerca das PECs nº 45 e 110/2019, que versam sobre a reforma tributária e tramitam na Câmara dos Deputados e no Senado Federal, respectivamente.",457851
3777,DIS,2019-04-04,Senado Federal,Preocupação com a lisura dos gastos públicos.,452373
3777,PL,2019-04-02,Senado Federal,"Reflexão sobre o Dia Mundial de Conscientização do Autismo. Divulgação de audiência pública sobre o tema a ser realizada na CAE, CDH e CE. Destaque para o PL nº 1.726, de 2019, que propõe isenção do imposto de renda para responsáveis financeiros de pessoas que estão dentro do espectro autista.",452276
3777,DIS,2019-03-28,Senado Federal,"Indignação com a atitude do Ministro dos Transportes, Tarcísio Gomes de Freitas, por alterações realizadas no edital da Ferrovia Norte-Sul.",452232
