codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5718,DIS,2023-03-29,Senado Federal,"Insatisfação pelo fato de a Senadora Soraya Thronicke ter sido desrespeitada ao vivo, durante a participação em uma entrevista em programa de rádio. Manifestação a favor da proteção da vida do Senador Sérgio Moro e sua família. Defesa da redução da maioridade penal. Críticas às legislações que reprimem a alienação parental.",496528
5718,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5718,NID,2022-12-20,Senado Federal,N/A,495037
5718,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494548
5718,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
5718,DIS,2022-12-13,Senado Federal,Discurso de despedida e breve relato da atuação de S. Exa. como Senadora da República durante o exercício de seus mandatos.,494668
5718,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5718,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
5718,DIS,2022-11-29,Senado Federal,Considerações sobre o mandato de S. Exª. como Senadora pelo Estado do Espírito Santo.,494384
5718,DIS,2022-06-08,Senado Federal,Reflexão sobre o Dia Nacional de Mobilização dos Homens pelo Fim da Violência contra as Mulheres. Destaque para a atuação parlamentar de S. Exa. em defesa dos direitos das mulheres.,491985
5718,DIS,2022-03-16,Senado Federal,"Considerações acerca da decisão de retirar da pauta o Projeto de Lei nº 3723, de 2019, de relatoria de S. Exa., que dispõe sobre o registro, posse e comercialização de armas de fogo, devido às ameaças sofridas por senadores contrários à matéria. Elogios à Polícia Legislativa pela investigação e identificação dos responsáveis por esses crimes. Apelo aos Parlamentares para que essa matéria volte à pauta de votações para deliberação.",489026
