codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
22,DIS,2024-05-15,Senado Federal,Argumentação em favor da proibição de candidaturas de pessoas condenadas por corrupção.,505741
22,DIS,2024-05-15,Senado Federal,"Satisfação pela aprovação, na CCJ, do Projeto de Lei nº 5153/2023, de autoria de S. Exa., que altera o Código de Trânsito Brasileiro para estabelecer desconto no valor cobrado pela renovação das carteiras de habilitação para condutores com idade igual ou superior a 50 anos.",505740
22,DIS,2024-04-23,Senado Federal,"Satisfação com a decisão do Sr. Gilmar Mendes, Ministro do STF, que determinou a suspensão, em todo o País, dos processos judiciais que discutem a constitucionalidade da Lei nº 14701/2023, conhecida como a Lei do Marco Temporal.",505492
22,DIS,2024-04-16,Senado Federal,Comentários sobre a veiculação de notícias denunciando a possível instituição de censura prévia no País pelo STF. Defesa da liberdade de expressão.,505115
22,DIS,2024-04-02,Senado Federal,Considerações acerca da precariedade da segurança pública no País e a suposta contribuição do atual Governo para a situação.,504917
22,DIS,2024-03-26,Senado Federal,Relato sobre os prejuízos trazidos pela polarização política exacerbada no País. Destaque para o resultado da investigação feita pela Polícia Federal relativa aos assassinatos da vereadora Marielle Franco e do motorista Anderson Gomes. Necessidade de formulação de um plano de segurança pública capaz de enfrentar o crime organizado no País.,504871
22,PL,2024-03-26,Senado Federal,Celebração do aniversário de 71 anos de Ceilândia-DF.,504868
22,DIS,2024-03-26,Senado Federal,Satisfação com o anúncio da filiação do Senador Izalci Lucas ao PL.,504867
22,DIS,2024-03-20,Senado Federal,"Exposição sobre o relatório apresentado por S. Exa., na CCJ, sobre o Projeto de Lei Complementar nº 112/2021, que institui o novo Código Eleitoral brasileiro.",504700
22,DIS,2024-03-20,Senado Federal,"Defesa do Projeto de Lei da Câmara nº 42/2017, que dispõe sobre o tratamento de doenças neuromusculares com paralisia motora.",504663
22,DIS,2024-03-20,Senado Federal,"Celebração do centenário do livro ""A Paraíba e seus problemas"", de autoria de José Américo de Almeida.",504660
22,DIS,2024-03-20,Senado Federal,"Críticas àqueles Senadores que comemoraram o indiciamento do ex-Presidente da República Jair Bolsonaro pela suposta falsificação do cartão de vacinação, bem como às tentativas de relacionar esse fato aos atos de 8 de janeiro de 2023.",504657
22,PL,2024-03-19,Senado Federal,"Indignação com as supostas violações e desdobramentos do Inquérito nº 4781, conhecido como Inquérito das ""Fake News"", em trâmite no STF há 5 ano.",504828
22,DIS,2024-03-19,Senado Federal,"Críticas ao Inquérito nº 4781, conhecido como Inquérito das Fake News, em trâmite no STF há 5 anos, destacando a necessidade de equilíbrio entre a proteção contra a desinformação e a preservação dos direitos de expressão e de opinião.",504796
22,DIS,2024-03-06,Senado Federal,Congratulações aos Deputados Estaduais do Espírito Santo que decidiram pela revogação da prisão preventiva de um parlamentar capixaba detido por descumprir medidas cautelares. Críticas às decisões do STF em julgamentos relativos aos atos de 8 de janeiro.,504250
22,DIS,2024-03-05,Senado Federal,"Manifestação contrária à PEC da Blindagem, que estabelece a necessidade de autorização da Mesa do Congresso Nacional para ações policiais contra Parlamentares e outras medidas.",504331
22,DIS,2024-02-07,Senado Federal,Defesa das prerrogativas constitucionais do STF e apelo para que haja ponderação nos debates legislativos sobre eventuais alterações no atual modelo da Suprema Corte brasileira.,503792
22,DIS,2023-12-12,Senado Federal,"Comentários sobre audiência pública realizada na CCT para debater as implicações da tecnologia no processo eleitoral brasileiro e defesa de mecanismos que assegurem a transparência, a auditoria e a credibilidade das eleições.",503047
22,DIS,2023-11-28,Senado Federal,"Alerta para o perigo da aprovação, sem a discussão adequada no Senado Federal, do Projeto de Lei nº 3626/2023, que regula as apostas esportivas de cota fixa no Brasil.",502721
22,DIS,2023-11-28,Senado Federal,Comparação entre o crescimento do PIB e o gasto primário dos governos de 1992 até 2023.,502720
22,DIS,2023-11-13,Senado Federal,"Elogio ao esforço da diplomacia brasileira para resgatar brasileiros na Faixa de Gaza e ponderação quanto às falas do Ministro de Relações Exteriores, Mauro Vieira, sobre o tema. Críticas ao Governo Federal por supostamente ser complacente com o ataque do grupo extremista
      Hamas.",502321
22,DIS,2023-10-31,Senado Federal,Discurso de despedida de S. Exa. do exercício do mandato de Senadorda República.,501838
22,DIS,2023-10-25,Senado Federal,"Manifestação favorável à derrubada dos vetos apresentados pelo Poder Executivo a trechos do Projeto de Lei no. 2903/2023, que fixa o marco temporal para as terras indígenas.",501768
22,DIS,2023-10-17,Senado Federal,"Elogios ao Presidente do Senado Federal, Senador Rodrigo Pacheco, pela defesa das prerrogativas do Senado Federal no Fórum Esfera Internacional, em Paris. Considerações sobre o voto em separado proferido por S. Exa. na CPMI dos atos do dia 8 de janeiro, ressaltando a suposta omissão do Governo Federal em evitar o ocorrido.",501436
