codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5953,DIS,2023-08-15,Senado Federal,Sessão Especial destinada a homenagear a Marcha das Margaridas.,499737
5953,DIS,2023-06-13,Senado Federal,"Comentários sobre o Projeto de Lei nº 2959, de 2023, de autoria de S. Exa., que estabelece prazo máximo para a conclusão do procedimento de adoção após o início do estágio de convivência. Proposta de concessão de benefício mensal no valor de um salário mínimo a quem adotar um grupo específico de crianças que não se enquadram no perfil etário desejado pela maioria dos adotantes.",498300
5953,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
5953,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5953,DIS,2022-11-23,Senado Federal,"Indignação quanto ao recente acontecimento nas estradas do Estado do Mato Grosso, onde um pai foi impedido de passar com seu filho para uma cirurgia de urgência, devido aos protestos que bloquearam as rodovias. Apresentação do Requerimento no755/2022, de convocação do Ministro da Justiça, Anderson Torres, para prestar esclarecimentos sobre medidas efetivas para desobstruir as rodovias interditadas por manifestantes.",494302
5953,DIS,2021-10-20,Senado Federal,"Expectativa quanto à aprovação pelo Senado Federal do Projeto de Lei nº 130, de 2020, que veda a divulgação, a publicação ou a disseminação do registro visual da prática de infração que coloque em risco a segurança no trânsito. Defesa do Projeto de Resolução nº 52, de 2021, de autoria de S. Exa., que institui a Frente Parlamentar pela Segurança de Crianças e Adolescentes no Trânsito.",484462
5953,DIS,2020-02-11,Senado Federal,"Cobrança ao Presidente do Senado, Davi Alcolumbre, para que paute o projeto que prevê a prisão após condenação em segunda instância.",464006
5953,DIS,2020-02-04,Senado Federal,"Críticas à mensagem do Presidente da República ao Congresso Nacional, recebida ontem na abertura da sessão legislativa. Críticas à condução das relações internacionais e do meio ambiente pelo Governo Bolsonaro.",463622
5953,DIS,2019-10-09,Senado Federal,"Registro sobre a vida de Irmã Dulce, Santa Dulce dos Pobres, por ocasião de sua canonização. Comentário sobre carta entregue por S. Exa. ao Papa Bento XVI, durante a sua visita ao Brasil, solicitando que fosse dada atenção ao processo de beatificação da Irmã Dulce.",459860
5953,DIS,2019-09-16,Senado Federal,"Reflexões e posicionamento sobre a Proposta de Emenda à Constituição (PEC) nº 6/2019, que trata da reforma da previdência.",457558
5953,PL,2019-08-14,Senado Federal,"Registro sobre a vida da irmã Dulce, religiosa, notória por sua caridade e assistência aos pobres e necessitados.",456533
