codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
345,DIS,2024-03-20,Senado Federal,"Defesa do Projeto de Lei da Câmara nº 42/2017, que dispõe sobre o tratamento de doenças neuromusculares com paralisia motora.",504663
345,DIS,2023-04-11,Senado Federal,Críticas à possível participação da ONG WWF na implementação da política nacional de gestão territorial e ambiental de terras indígenas.,496636
345,DIS,2023-03-29,Senado Federal,"Reprovação ao Governo Federal pela edição da Medida Provisória nº 1156/2023, que dispõe sobre a extinção da Fundação Nacional de Saúde - Funasa.",496473
345,DIS,2023-03-07,Senado Federal,"Destaque para a aprovação de projetos importantes para a causa feminina, com o objetivo de combater a violência contra a mulher e também garantir a proteção de seus direitos.",495815
345,DIS,2022-12-15,Senado Federal,Discurso de despedida de S. Exa. como Senador da República.,494790
345,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494548
345,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
345,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
345,DIS,2022-11-08,Senado Federal,Ponderação sobre a necessidade de pacificação nacional após as eleições gerais de 2022.,494220
345,DIS,2022-10-25,Senado Federal,Satisfação com a decisão do Conselho Federal de Medicina de suspensão da resolução que restringia a indicação do uso de canabidiol a somente três tipos de epilepsia.,494048
345,DIS,2020-02-11,Senado Federal,"Registro sobre a realização de audiência pública, na Comissão de Educação, Cultura e Esporte do Senado, para discussão do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb).",464020
345,PL,2019-11-05,Senado Federal,Solidariedade ao Senador Randolfe Rodrigues em razão da notícia da convocação para espancamento virtual realizada pelo Deputado Pastor Marco Feliciano.,460975
345,DIS,2019-10-16,Senado Federal,"Exposição do quadro de desigualdade social no Brasil a partir da Pesquisa Nacional de Amostra de Domicílio Contínua (Pnadc), do IBGE.",459977
345,DIS,2019-10-09,Senado Federal,"Registro sobre a vida de Irmã Dulce, Santa Dulce dos Pobres, por ocasião de sua canonização. Comentário sobre carta entregue por S. Exa. ao Papa Bento XVI, durante a sua visita ao Brasil, solicitando que fosse dada atenção ao processo de beatificação da Irmã Dulce.",459860
345,DIS,2019-09-25,Senado Federal,Leitura de artigo da jornalista Miriam Leitão intitulado “Presidente desperdiça momento e o perdedor é o agronegócio”.,458111
