codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5008,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5008,DIS,2020-02-04,Senado Federal,"Críticas à mensagem do Presidente da República ao Congresso Nacional, recebida ontem na abertura da sessão legislativa. Críticas à condução das relações internacionais e do meio ambiente pelo Governo Bolsonaro.",463622
5008,DIS,2020-02-04,Senado Federal,"Retrospectiva dos acontecimentos políticos de 2019, que envolvem temas como a reforma trabalhista, reforma da previdência e direitos humanos.",463618
5008,DIS,2019-12-02,Senado Federal,Indignação com o episódio que deixou nove mortos e doze feridos em um baile funk de Paraisópolis/SP. Anúncio de audiência pública que será realizada pela CDH a fim de debater a violência no País.,462592
5008,DIS,2019-11-19,Senado Federal,"Breve histórico da reabertura democrática do Brasil, com destaque à eleição de S. Exa. para a Presidência da República.",461868
5008,DIS,2019-11-07,Senado Federal,"Celebração pelo aniversário do pai de S. Exa., o ex-Presidente do Senado Ramez Tebet, que se estivesse vivo completaria 83 anos. Referência a políticos que tinham um perfil conciliador e reflexão sobre a necessidade de pessoas públicas com esse temperamento para a busca de uma solução democrática para o atual cenário de crise no País.",461136
5008,DIS,2019-08-07,Senado Federal,Destaque à pluralidade de lideranças e de partidos políticos que defenderam a suspensão da transferência do ex-Presidente Lula para um presídio no Estado de São Paulo.,456425
5008,DIS,2019-07-10,Senado Federal,"Apelo aos Senadores para que não apoiem recursos para o Projeto de Lei nº 760, de 2015, que aumenta as restrições à propaganda do tabaco.",455984
5008,PL,2019-07-02,Senado Federal,"Registro sobre divulgação de fatos envolvendo o ex-governador do Estado da Bahia (BA), Jaques Wagner, e o Procurador da República Deltan Dallagnol, quando este, de forma arbitrária, comandou ações investigativas em prejuízo daquele.",455318
5008,DIS,2019-03-26,Senado Federal,"Críticas à possível liberação da venda de bebidas alcoólicas nos estádiosde futebol do Ceará, objeto de projeto de lei em tramitação na Assembleia Legislativa daquele estado.",451871
5008,DIS,2019-02-13,Senado Federal,Críticas ao conjunto de medidas anticrime recentemente apresentado pelo Ministério da Justiça e Segurança Pública.,450816
5008,PL,2018-12-13,Senado Federal,Considerações sobre o papel do Parlamento no combate à desigualdade no Brasil.,450271
5008,DIS,2018-12-13,Senado Federal,Defesa da manutenção do Programa Mais Médicos.,450269
5008,CIN,2018-12-12,Senado Federal,Prestação de contas da atuação parlamentar de S. Exª e expectativa em torno da assunção do mandato de Governadora do Estado do Rio Grande do Norte (RN).,450127
5008,DIS,2018-12-12,Senado Federal,Comentários sobre a atuação parlamentar de S. Exª no Senado Federal e agradecimentos aos Senadores e servidores da Casa.,450119
5008,DIS,2018-10-23,Senado Federal,Alerta contra o avanço da extrema direita no Brasil.,448449
5008,PL,2018-10-23,Senado Federal,Defesa da revisão da condenação e prisão do Senador Acir Gurgacz pelo Supremo Tribunal Federal (STF).,448435
5008,DIS,2018-06-21,Senado Federal,Considerações acerca da forma como vem sendo conduzida a Operação Lava Jato.,446697
5008,DIS,2018-06-13,Senado Federal,"Apoio à Senadora Gleisi Hoffmann, que será julgada em processo no Supremo Tribunal Federal.",446474
5008,FP,2018-06-06,Senado Federal,"Homenagem ao Dia Nacional do Teste do Pezinho, também chamado de triagem neonatal.",446310
5008,DIS,2018-04-18,Senado Federal,Indignação sobre entrevista dada pela Senadora Gleisi Hoffmann à Rede Al Jazeera pedindo apoio pela liberdade do ex-presidente Lula.,444111
5008,PL,2018-03-05,Senado Federal,"Defesa do Projeto de Lei do Senado nº 68, de 2017, que trata da certificação digital das torcidas organizadas.",441916
5008,DIS,2018-03-05,Senado Federal,Comentários acerca de pesquisa realizada pela CUT/Vox Populi referente ao ex-presidente Lula.,441915
5008,PL,2017-08-10,Senado Federal,Esclarecimento sobre a importância e atuação da Empresa Brasileira de Hemoderivados e Biotecnologia - Hemobrás.,433857
5008,DIS,2017-06-20,Senado Federal,"Satisfação com a rejeição, pela Comissão de Assuntos Sociais, do relatório sobre o Projeto de Lei da Câmara nº 38, de 2018, que trata da reforma trabalhista.",432722
5008,PL,2017-05-08,Senado Federal,"Expectativa acerca do depoimento do ex-Presidente Luiz Inácio Lula da Silva ao Juiz Sérgio Moro, em Curitiba, no âmbito da Operação Lava Jato.",430983
5008,DIS,2017-04-19,Senado Federal,Indignação com a forma de divulgação das investigações da Operação Lava Jato.,430376
5008,DIS,2017-03-29,Senado Federal,Críticas à proposta de reforma da previdência apresentada pelo Governo Federal.,429819
5008,CIN,2017-03-28,Senado Federal,"Comentários sobre o Projeto de Lei nº 30, de 2015, de relatoria de S. Exª, que dispõe sobre os contratos de terceirização.",429763
5008,PL,2017-03-07,Senado Federal,"Apelo ao Presidente do Senado, Eunício Oliveira, para que convoque os dirigentes da Agência Nacional de Aviação Civil (ANAC) a fim de suspender resolução que prevê a cobrança por transporte de malas.",429118
5008,DIS,2016-12-13,Senado Federal,Discurso de despedida de S. Exª no mandato de Senador e balanço de suas atividades parlamentares.,428261
5008,DIS,2016-06-28,Senado Federal,"Comemoração do Dia Internacional do Orgulho LGBT, celebrado em 28 de junho.",423220
5008,DIS,2016-06-27,Senado Federal,Críticas à prisão do ex-Ministro Paulo Bernardo e defesa de sua inocência.,423796
5008,DIS,2016-06-01,Senado Federal,Anúncio do afastamento de S. Exª do mandato de Senador para assumir o cargo de Secretário da Educação no Estado da Bahia.,422999
5008,DIS,2016-05-18,Senado Federal,Registro de prestação de contas da gestão de S. Exª no Ministério da Agricultura.,422570
5008,PL,2016-05-17,Senado Federal,"Relato da atuação de S. Exª como Ministro do Desenvolvimento, Indústria e Comércio Exterior.",422685
5008,PL,2016-03-29,Senado Federal,Defesa da legalidade do processo de impeachment contra a Presidente Dilma Rousseff.,421830
5008,DIS,2016-03-17,Senado Federal,Críticas a vazamento de sigilo telefônico de agentes políticos na Operação Lava Jato.,421496
5008,PL,2015-10-13,Senado Federal,Críticas à suposta ingovernabilidade do Governo Federal e à tentativa deste manter-se no poder a todo custo.,417706
5008,DIS,2015-09-30,Senado Federal,Repúdio ao posicionamento de parte da mídia do País por supostos ataques ao ex-Presidente Lula; e outro assunto.,417208
5008,DIS,2015-08-25,Senado Federal,Anuncio da filiação da Senadora Lúcia Vânia ao Partido Socialista Brasileiro - PSB.,415994
5008,DIS,2015-06-24,Senado Federal,"Críticas à gestão do Partido dos Trabalhadores no Governo Federal, em especial à Presidente Dilma Rousseff.",414642
5008,DIS,2015-02-24,Senado Federal,Agradecimento à população de Mato Grosso pela eleição de S. Exª como Senador da República; e outros assuntos.,411141
5008,DIS,2014-12-17,Senado Federal,Registro da conclusão do mandato parlamentar como senador.,410650
5008,DIS,2014-11-05,Senado Federal,Posicionamento acerca da atuação de S. Exª e da oposição na próxima Legislatura; e outros assuntos.,409754
5008,DIS,2014-08-05,Senado Federal,Esclarecimentos sobre o funcionamento da CPI da Petrobras por ocasião da denúncia de antecipação de perguntas aos depoentes.,409057
5008,DIS,2014-06-04,Senado Federal,Destaque para a importância de o Congresso discutir a crise da escassez de água no semiárido brasileiro e na região metropolitana de São Paulo; e outro assunto.,408551
5008,PL,2014-03-19,Senado Federal,"Defesa de investigação na aquisição, pela Petrobras, de uma refinaria nos Estados Unidos, com suposta participação da Presidente da República.",406393
5008,POR,2014-02-11,Senado Federal,"Relato de diligência da qual participou S. Exª, no presídio de Pedrinhas, em São Luís-MA.",405920
5008,DIS,2014-02-11,Senado Federal,Balanço da atuação de S. Exª. como Ministra-Chefe da Casa Civil e do Governo Dilma Rousseff.,405888
5008,PL,2013-09-04,Senado Federal,Defesa do voto aberto no Parlamento brasileiro.,402292
5008,DIS,2013-08-12,Senado Federal,"Registro do pedido de esclarecimentos sobre denúncias acerca da existência de um suposto esquema de corrupção na Petrobras que teria favorecido parlamentares, partidos políticos e campanhas eleitorais.",401925
5008,POR,2013-08-06,Senado Federal,Comunicação do encerramento de investigação da Procuradoria-Geral da República sobre S. Exª.,401617
5008,DIS,2013-07-16,Senado Federal,Apoio à Medida Provisória que institui o Programa Mais Médicos e dá outras providências.,401126
5008,PL,2013-07-16,Senado Federal,Preocupação com a atual situação da economia do País e críticas ao Governo Federal; e outro assunto.,401122
5008,DIS,2013-07-16,Senado Federal,Registro de importantes matérias votadas recentemente pelo Senado Federal; e outros assuntos.,401117
5008,DIS,2013-07-09,Senado Federal,Críticas à aprovação de projetos pelo Senado Federal sem a devida discussão; e outro assunto.,400721
5008,CIN,2013-07-09,Senado Federal,"Elogio ao programa “Mais Médicos para o Brasil”, lançado pela Presidente Dilma Rousseff.",400717
5008,DIS,2013-06-25,Senado Federal,Destaque para a necessidade de realização da reforma política no País.,400362
5008,DIS,2012-12-13,Senado Federal,Manifestação em defesa do ex-Presidente Luiz Inácio Lula da Silva.,396629
5008,DIS,2012-11-28,Senado Federal,"Alegria pela aprovação hoje, na CCJ, de proposta de emenda à Constituição que veda a instituição de impostos sobre os medicamentos de uso humano.",396255
5008,DIS,2012-06-19,Senado Federal,"Preocupação com as ameaças aos operadores do Direito que tratam do caso Monte Carlo da Polícia Federal.
      ",393582
5008,DIS,2012-04-27,Senado Federal,Ponderações sobre o texto final do Código Florestal Brasileiro aprovado na Câmara dos Deputados; e outro assunto.,392696
5008,DIS,2011-12-20,Senado Federal,"Comentários sobre a decisão proferida, ontem, pelo Ministro do Supremo Tribunal Federal Marco Aurélio Melo, que limita a atuação do Conselho Nacional de Justiça (CNJ).
      ",391348
5008,DIS,2011-09-28,Senado Federal,"Ponderações sobre a apreciação de temas polêmicos pelo Supremo Tribunal Federal; e outro assunto.
      ",390107
5008,DIS,2011-09-15,Senado Federal,"Histórico do financiamento da saúde pública desde a edição da Emenda Constitucional 29 até a votação de sua regulamentação, nos próximos dias, na Câmara dos Deputados; e outro assunto.
      ",389859
5008,DIS,2011-08-02,Senado Federal,"Prestação de contas sobre os fatos que levaram S.Exa. a renunciar ao cargo de Ministro de Estado dos Transportes.
      	",389158
5008,DIS,2011-06-08,Senado Federal,"Despedida do cargo de Senadora da República para assumir o cargo de Ministra Chefe da Casa Civil da Presidência da República, em substituição a Antonio Palocci.
      ",388510
5008,DIS,2011-06-02,Senado Federal,"Congratulações à Presidente Dilma Rousseff pelo lançamento do Plano Brasil sem miséria e lamento pela não votação, com esgotamento do tempo previsto, de duas medidas provisórias elencadas na pauta da Ordem do Dia de ontem.
      	",388447
5008,DIS,2011-04-06,Senado Federal,"Discurso inaugural de S.Exa. como Senador pelo Estado de Minas Gerais, analisando a recente história política brasileira e expondo as diretrizes que, como membro da Oposição, pretende adotar no exercício do mandato.
      ",387483
5008,DIS,2011-03-16,Senado Federal,"Homenagem aos imigrantes judeus no Brasil pelo transcurso do Dia da Imigração Judaica, celebrado em 18 de março.  (como Líder)
      ",387042
5008,DIS,2011-03-02,Senado Federal,"Agradecimentos ao povo pernambucano pelos votos e pela confiança recebidos por S.Exa. no último pleito, tecendo histórico do Estado de Pernambuco e expondo os temas que vão pautar sua atuação parlamentar: uma agenda de cidadania e um novo plano nacional de desenvolvimento regional. 
      	",386917
5008,DIS,2011-02-15,Senado Federal,"Considerações sobre a boa gestão pública no Estado do Acre nos últimos anos.
      	",386704
