codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
4770,PDI,2023-12-19,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1185, de 2023, Crédito fiscal de subvenção para investimento, que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503367
4770,DIS,2023-10-31,Senado Federal,Discurso de despedida de S. Exa. do exercício do mandato de Senadorda República.,501838
4770,DIS,2023-10-02,Senado Federal,"Celebração dos 35 anos da criação do Estado de Tocantins e do aniversário de Porto Velho, capital do Estado de Rondônia.",500944
4770,DIS,2023-09-11,Senado Federal,"Apresentação do Requerimento nº. 78/2023, solicitando a realização de Sessão Especial para celebrar os 35 anos do Estado de Roraima e os 80 anos de sua criação como Território.",500299
4770,DIS,2023-07-10,Senado Federal,Preocupação com a violência nos estádios de futebol. Defesa da suspensão do campeonato brasileiro em virtude da violência nas arenas desportivas.,499055
4770,DIS,2023-06-28,Senado Federal,"Críticas ao Presidente Lula por declarações feitas sobre cardápios em almoços oficiais, registrando insatisfação com os gastos do cartão corporativo.",498742
4770,DIS,2023-06-13,Senado Federal,Considerações sobre a reassunção de S. Exa. ao mandato de Senador da República pelo Estado de Rondônia. Destaque para o posicionamento político de S. Exa. de oposição ao atual Governo.,498266
4770,DIS,2023-06-02,Senado Federal,"Críticas à aprovação pelo Senado Federal, na última quinta-feira, do Projeto de Lei de Conversão nº 12, de 2023, que estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios. Apelo para que esta Casa Legislativa analise mais profundamente projetos de lei provenientes do Governo Federal.",498001
4770,PL,2023-05-24,Senado Federal,"Comentário sobre a Medida Provisória (MPV) n° 1147, de 2022, Redução das alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes no transporte aéreo de passageiros, que ""Altera a Lei nº 14.148, de 3 de maio de 2021, que instituiu o Programa Emergencial de Retomada do Setor de Eventos - Perse, e reduz a zero por cento as alíquotas da  contribuição para o Programa de Integração Social e o Programa de Formação do Patrimônio do Servidor Público - PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins incidentes sobre as receitas decorrentes da atividade de transporte aéreo regular de passageiros"".",497901
4770,DIS,2023-04-17,Senado Federal,Preocupação quanto à violência nas escolas do País.,496733
4770,DIS,2023-04-14,Senado Federal,"Discurso sobre o Veto (VET) n° 46, de 2021, aposto ao Projeto de Lei nº 2.108, de 2021 (nº 2.462/1991, na Câmara dos Deputados), que ""acrescenta o Título XII na Parte Especial do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), relativo aos crimes contra o Estado Democrático de Direito; e revoga a Lei nº 7.170, de 14 de dezembro de 1983 (Lei de Segurança Nacional), e dispositivo do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais)"".""",496699
4770,DIS,2023-04-13,Senado Federal,Considerações sobre o histórico dos ataques às escolas no Brasil. Defesa da gestão do Presidente Bolsonaro e da correlação entre o armamento da população e a redução da violência. Críticas ao atual Governo.,496654
4770,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
4770,DIS,2023-03-13,Senado Federal,"Considerações sobre a importância de o Congresso Nacional regulamentar o uso terapêutico do canabidiol (CBD), no Brasil.",495874
4770,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
4770,DIS,2022-12-20,Senado Federal,"Discurso de despedida, balanço do mandato de S. Exa. e agradecimentos aos pares.",495049
4770,DIS,2022-12-15,Senado Federal,Discurso de despedida de S. Exa. como Senador da República.,494790
4770,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
4770,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
4770,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
4770,DIS,2022-03-30,Senado Federal,"Comemoração pela edição da Resolução do Conselho Monetário Nacional nº 4989, de 2022, que reduz as taxas de juros do Fundo Constitucional do Centro-Oeste (FCO). Registro dos três pontos dessa resolução que ajudam a equilibrar financeiramente o fundo: retorno dos juros prefixados; mudança na fórmula dos juros pós-fixados; e possibilidade de migração dos juros pós para os juros pré-fixados.",489682
4770,DIS,2022-02-15,Senado Federal,"Exposição sobre a atuação da Bancada Feminina do Senado Federal no último ano legislativo, sob a liderança de S. Exa.. Críticas ao Presidente da República pelo Veto nº 59, de 2021, aposto ao Projeto de Lei nº 4.968, de 2019, que institui o Programa de Proteção e Promoção da Saúde Menstrual. Apelo aos pares pela rejeição do veto aposto ao citado projeto, bem como aos Deputados Federais pela aprovação do Projeto de Lei da Câmara nº 130, de 2011, que estabelece multa para combater a diferença de remuneração verificada entre homens e mulheres no Brasil.",488313
