codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
35,DIS,2015-08-11,Senado Federal,Registro do transcurso dos 152 anos de fundação da Cidade de Cajazeiras-PB; e outro assunto.,415890
35,DIS,2015-06-18,Senado Federal,Homenagem ao ex-Presidente da Câmara dos Deputados Antônio Paes de Andrade; e outros assuntos.,414399
35,DIS,2015-06-17,Senado Federal,Referência à informação prestada erroneamente pela Aneel acerca da implantação de bandeiras tarifárias na cobrança de energia elétrica no Estado do Amazonas.,415557
35,DIS,2001-09-19,Senado Federal,"Homenagem ao Círio de Nossa Senhora de Nazaré, que será realizado no segundo domingo de outubro de 2001.",317669
35,DIS,2001-04-18,Senado Federal,CONSIDERAÇÕES SOBRE O DESPACHO DO SR. PRESIDENTE JADER BARBALHO.,314606
35,DIS,2000-06-28,Senado Federal,CONSIDERAÇÕES SOBRE A CASSAÇÃO DO MANDATO DO SENADOR LUIZ ESTEVÃO.,312208
35,DIS,2000-04-17,Senado Federal,"INDIGNAÇÃO DIANTE DA ENTREVISTA PUBLICADA NA REVISTA ISTOE, NA QUAL S.EXª E APONTADA COMO BENEFICIARIA DE FINANCIAMENTO ILICITO EM SUA CAMPANHA.",311475
35,DIS,2000-03-23,Senado Federal,CONSIDERAÇÕES SOBRE A FIXAÇÃO DO TETO DE REMUNERAÇÃO DO FUNCIONALISMO PUBLICO E DO VALOR DO SALARIO MINIMO. (COMO LIDER),311184
35,DIS,2000-02-29,Senado Federal,"REGOZIJO PELA REALIZAÇÃO DE PROJETO HABITACIONAL EM CAMPO GRANDE - MS, DESTINADO A POPULAÇÃO INDIGENA.",310960
35,DIS,2000-01-26,Senado Federal,"REPUDIO A REPORTAGEM DA REVISTA ISTOE, QUE ENVOLVE O NOME DE S.EXA. A GRUPOS CRIMINOSOS NO ESTADO DO ESPIRITO SANTO.",310607
35,DIS,2000-01-18,Senado Federal,ESCLARECIMENTOS AO SR. JADER BARBALHO SOBRE O POSICIONAMENTO DO GOVERNADOR TASSO JEREISSATI A RESPEITO DA MEDIDA PROVISORIA QUE REDUZIU OS JUROS DOS FUNDOS CONSTITUCIONAIS. (COMO LIDER),310469
35,DIS,2000-01-18,Senado Federal,"DISPUTA DE PODER ENTRE SEGMENTOS DA BASE DE SUSTENTAÇÃO DO GOVERNO, NA PROPOSTA DE FUSÃO DO BASA E DA SUDAM EM UMA AGENCIA DE DESENVOLVIMENTO A SER IMPLANTADA NO MARANHÃO. SAUDAÇÃO A VITORIA DO CANDIDATO SOCIALISTA A PRESIDENCIA DO CHILE, SR. RICARDO LAGOS. (COMO LIDER)",310456
35,DIS,2000-01-12,Senado Federal,DISCUSSÃO SOBRE A LIMITAÇÃO DA UTILIZAÇÃO DE ARMAS DE FOGO NO PAIS.,310398
35,DIS,1999-12-08,Senado Federal,COMENTARIOS AO PRONUNCIAMENTO DO SENADOR JADER BARBALHO E SOBRE A REPRESENTAÇÃO DOS PARTIDOS DE OPOSIÇÃO ENCAMINHADA AO PRESIDENTE DO CONGRESSO NACIONAL.,254984
35,DIS,1999-12-07,Senado Federal,ANALISE DOS RESULTADOS DA CPI DO PODER JUDICIARIO.,254980
35,DIS,1999-10-04,Senado Federal,"CONTRARIO AS ALTERAÇÕES DO CODIGO PENAL BRASILEIRO PROPOSTAS PELO    MINISTRO DA JUSTIÇA, SR. JOSE CARLOS DIAS.",250938
35,DIS,1999-10-04,Senado Federal,"REPUDIO AS DECLARAÇÕES DO PRESIDENTE DO BANCO CENTRAL DO BRASIL,     DR. ARMINIO FRAGA, DESACONSELHANDO INVESTIMENTOS ESTRANGEIROS EM     MINAS GERAIS.",250937
35,DIS,1999-09-16,Senado Federal,"CRISE NA BASE DE SUSTENTAÇÃO DO GOVERNO, DECORRENTE DA INDICAÇÃO DA  RELATORIA DO PLANO PLURIANUAL. ASPECTOS DA INSTABILIDADE POLITICA    E DA RECESSÃO ECONOMICA NA COLOMBIA, AGRAVADAS PELA AÇÃO DO NARCOTRAFICO E DA GUERRILHA.",249587
35,DIS,1999-08-13,Senado Federal,ANALISE DAS DIFICULDADES ENFRENTADAS PELO SETOR AGROPECUARIO.,247614
35,DIS,1999-08-05,Senado Federal,CONSIDERAÇÕES SOBRE OS TRABALHOS DA COMISSÃO PARLAMENTAR DE          INQUERITO DO JUDICIARIO. DEBATE SOBRE AS PROPOSIÇÕES VISANDO A       ERRADICAÇÃO DA POBREZA NO PAIS.,246824
35,DIS,1999-06-02,Senado Federal,"DEFESA DO GOVERNADOR GARIBALDI ALVES FILHO, EM VIRTUDE DE DENUNCIAS  DE IMPROBIDADE ADMINISTRATIVA ATRIBUIDAS AO SEU GOVERNO.",244445
35,DIS,1999-05-25,Senado Federal,ESCLARECIMENTOS SOBRE O DIALOGO DO PRESIDENTE DA REPUBLICA E O EX-   PRESIDENTE DO BNDES A RESPEITO DA PRIVATIZAÇÃO DO SISTEMA TELEBRAS.  (COMO LIDER),243812
35,DIS,1999-05-21,Senado Federal,"PROTESTO AO TRATAMENTO DISPENSADO A S.EXA. PELA EQUIPE DO MINISTRO PEDRO PARENTE, EM REUNIÃO REALIZADA EM BELEM/PA, PARA DISCUTIR AS DIRETRIZES DOS INVESTIMENTOS NA AMAZONIA PARA OS PROXIMOS SETE ANOS.",243677
35,DIS,1999-03-25,Senado Federal,"CONSTATAÇÃO DE CRISE NO PODER JUDICIARIO. CRUZADA POR UM PODER JUDICIARIO FORTE E ILIBADO. ENCAMINHAMENTO A MESA DE REQUERIMENTO QUE SOLICITA A CRIAÇÃO DE COMISSÃO PARLAMENTAR DE INQUERITO PARA APURAR IRREGULARIDADE PRATICADAS POR INTEGRANTES DE TRIBUNAIS SUPERIORES, DE TRIBUNAIS REGIONAIS, E DE TRIBUNAIS DE JUSTIÇA.",240069
35,DIS,1999-03-24,Senado Federal,EXPLICAÇÕES SOBRE O 'CASO CAIXEGO'. SOLIDARIEDADE AOS SRS. EDVALDO   ANDRADE E OTONIEL REZENDE POR ARBITRARIEDADES SOFRIDAS DURANTE O     INQUERITO.,239928
35,DIS,1999-03-17,Senado Federal,"PREOCUPAÇÃO COM A RETIRADA DA PRIORIDADE DA DISCUSSÃO DA REFORMA     TRIBUTARIA EM FAVOR DA REFORMA POLITICA, DADA A NECESSIDADE DE       INCENTIVO AO SETOR PRODUTIVO NACIONAL. (COMO LIDER)",239387
35,DIS,1999-03-11,Senado Federal,REPUDIO AS DENUNCIAS VEICULADAS PELA IMPRENSA SOBRE O ENVOLVIMENTO   DE LIDERES DO PMDB GOIANO NO DESVIO DE VERBAS DA CAIXA ECONOMICA DO  ESTADO DE GOIAS.(COMO LIDER),239015
35,DIS,1999-03-04,Senado Federal,"HOMENAGEM AO JORNAL CORREIO BRAZILIENSE, PELO RECEBIMENTO DO PREMIO  WORLD'S BEST DESIGN, CONCEDIDO PELA SOCIETY FOR NEWS DESIGN - SND.",238506
35,DIS,1999-03-02,Senado Federal,"DISCURSO DE POSSE, DESTACANDO AS CONSEQUENCIAS DOS CORTES            ORÇAMENTARIOS NAS AREAS SOCIAIS. DEFESA DE UMA REFORMA POLITICO      PARTIDARIA.",238669
35,DIS,1999-01-28,Senado Federal,"BALANÇO DE SUA ATUAÇÃO POLITICA, POR OCASIÃO DE SUA DESPEDIDA DO     SENADO FEDERAL.",237135
35,DIS,1999-01-27,Senado Federal,BALANÇO DE SUA ATUAÇÃO POLITICA NO SENADO FEDERAL.,236993
35,DIS,1999-01-20,Senado Federal,DESPEDINDO-SE DO SENADO PELA PROXIMIDADE DO TERMINO DE SEU MANDATO.,236599
35,DIS,1998-12-14,Senado Federal,"RELATORIO SOBRE A SUA ATUAÇÃO POLITICA NO EXERCICIO DO MANDATO, EM   FACE DO IMINENTE AFASTAMENTO DE S.EXA. PARA ASSUNÇÃO AO CARGO DE     VICE-GOVERNADORA DO ESTADO DO RIO DE JANEIRO.",235595
35,DIS,1998-05-05,Senado Federal,"SOLIDARIZANDO-SE COM O PRESIDENTE, ANTONIO CARLOS MAGALHÃES PELA     PERDA DE SEU FILHO, O DEPUTADO LUIS EDUARDO MAGALHÃES. REPUDIO AS    ATITUDES DO GOVERNADOR DA PARAIBA, SR. JOSE MARANHÃO, ACUSADO DE     ALICIAMENTO DE VOTOS NO PMDB EM FAVOR DE SUA REELEIÇÃO. ANUNCIO DA   CANDIDATURA DE S.EXA. AO GOVERNO PARAIBANO.",226402
35,DIS,1998-03-31,Senado Federal,"DESPEDIDA DE S.EXA. DO SENADO FEDERAL, TENDO EM VISTA A REASSUNÇÃO   DO SR. IRIS REZENDE, ATUAL MINISTRO DA JUSTIÇA, AO MANDATO DE        SENADOR. RETROSPECTIVA DE SUA ATUAÇÃO PARLAMENTAR NO SENADO.",223711
35,DIS,1998-03-06,Senado Federal,VEEMENTE PROTESTO CONTRA A NATUREZA E ORIENTAÇÃO DO PROGRAMA DO      PMDB EXIBIDO NA NOITE DE ONTEM EM CADEIA NACIONAL.,222131
35,DIS,1997-12-15,Senado Federal,"COMEMORAÇÃO HOJE, DO TRIGESIMO OITAVO ANIVERSARIO DE CRIAÇÃO DA      SUPERINTENDENCIA DO DESENVOLVIMENTO DO NORDESTE - SUDENE.            NECESSIDADE DE DAR AQUELA SUPERINTENDENCIA CONDIÇÕES EFETIVAS PARA   FOMENTAR O PROGRESSO ECONOMICO DA REGIÃO.",218993
35,DIS,1997-12-09,Senado Federal,COMEMORAÇÃO DO DIA DO MARINHEIRO.,218874
35,DIS,1997-11-12,Senado Federal,"DISCURSO DE DESPEDIDA DE S.EXA. DO SENADO FEDERAL, EM VIRTUDE DE SUA NOMEAÇÃO, PELO CONGRESSO NACIONAL, PARA O CARGO DE MINISTRO DO       TRIBUNAL DE CONTAS DA UNIÃO. ENCAMINHANDO A MESA RENUNCIA AO         MANDATO DE SENADOR DA REPUBLICA, PELA REPRESENTAÇÃO DO DISTRITO      FEDERAL.",217194
35,DIS,1997-09-04,Senado Federal,"DEFESA DA EXTINÇÃO DO IPC, ATRAVES DE DISPOSITIVO CONSTANTE NA       EMENDA CONSTITUCIONAL DA PREVIDENCIA SOCIAL.",212285
35,DIS,1997-09-04,Senado Federal,HOMENAGEM A REDE AMAZONICA DE RADIO E TELEVISÃO PELO SEU JUBILEU DE  PRATA.,212174
35,DIS,1997-08-20,Senado Federal,"CONSIDERAÇÕES ACERCA DO INCIDENTE DIPLOMATICO ENTRE O BRASIL E A     ARGENTINA, CRIADO A PARTIR DE DECLARAÇÕES DO PRESIDENTE CARLOS       MENEM A RESPEITO DA PARTICIPAÇÃO BRASILEIRA NO CONSELHO DE SEGURANÇA DA ONU, E DENUNCIANDO MANOBRA DO GOVERNO NORTE-AMERICANO NO SENTIDO  DE DESESTABILIZAR O MERCOSUL.",211427
