codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
581,PDI,2024-03-26,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504891
581,DIS,2023-10-31,Senado Federal,Discurso de despedida de S. Exa. do exercício do mandato de Senadorda República.,501838
581,DIS,2023-05-30,Senado Federal,Insatisfação com o não cumprimento de prazos por parte do Governo Federal acerca do acordo firmado sobre o reajuste para os servidores da segurança pública do Distrito Federal. Apelo para o cumprimento de prazos e celeridade na apreciação da matéria.,497938
581,DIS,2023-05-24,Senado Federal,"Expectativa em torno da votação pelo Senado Federal do Projeto de Lei de Conversão nº 9, 2023, que instituiu o Programa Emergencial de Retomada do Setor de Eventos - Perse, e manifestação contrária à transferência de recursos do “Sistema S” para a Embratur incluída no texto do projeto pela Câmara dos Deputados.",497866
581,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
581,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
581,DIS,2022-06-07,Senado Federal,Defesa da Proposta de Emenda à Constituição (PEC) anunciada pelo Governo Federal que pretende zerar o Imposto sobre Circulação de Mercadorias e Serviços (ICMS) que incide sobre o óleo diesel e o gás de cozinha.,491644
581,DIS,2019-10-22,Senado Federal,Críticas ao Governo Federal pela inabilidade em lidar com o derramamento de óleo no litoral do Nordeste.,460184
581,DIS,2019-10-16,Senado Federal,"Críticas às ações do Governo Federal sobre o derramamento de 200 mil toneladas de petróleo, até o momento, nas praias nordestinas e o impacto do ocorrido para o meio ambiente, a economia e o turismo da Região.",459960
581,PL,2019-08-14,Senado Federal,"Registro sobre a vida da irmã Dulce, religiosa, notória por sua caridade e assistência aos pobres e necessitados.",456533
581,PL,2019-07-02,Senado Federal,"Registro sobre divulgação de fatos envolvendo o ex-governador do Estado da Bahia (BA), Jaques Wagner, e o Procurador da República Deltan Dallagnol, quando este, de forma arbitrária, comandou ações investigativas em prejuízo daquele.",455318
581,DIS,2019-05-30,Senado Federal,"Crítica ao excesso de Medidas Provisórias e ao prazo do envio pela Câmara dos Deputados ao Senado, bem como ao pacto do Poder Judiciário com os Poderes Legislativo e Executivo.",453943
581,DIS,2019-03-26,Senado Federal,Apelo ao Ministério da Saúde (MS) e às comunidades indígenas para que cheguem a um entendimento quanto à medida adotada pelo Governo de municipalizar a saúde indígena.,451882
