codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
4531,DIS,2023-09-12,Senado Federal,Congrentulaões ao Senador Marcos Rogério pelo trabalho como relator da PEC nº 7/2018.,500350
4531,DIS,2023-03-28,Senado Federal,"Considerações sobre a necessidade de prorrogação do contrato de concessão para as operações da Ponte Internacional de Integração São Borja (RS) – Santo Tomé (AR). Insatisfação com a recente fala do presidente da Agência Brasileira de Promoção de Exportações e Investimentos(Apex-Brasil), Jorge Viana, sobre os problemas ambientais do País, especialmente aqueles relacionados ao desmatamento na Amazônia.",496437
4531,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
4531,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
4531,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
4531,DIS,2022-10-05,Senado Federal,"Comentários sobre a Medida Provisória nº 1075, de 2021, que trata da ampliação do acesso de estudantes às bolsas de estudo do Prouni, relatada por S. Exa. Alegria com o desempenho dos candidatos do Partido Liberal (PL) para as vagas do Congresso Nacional.",493856
4531,DIS,2022-10-05,Senado Federal,Prestação de contas do trabalho de S. Exa. no exercício do mandato.,493841
4531,DIS,2021-10-05,Senado Federal,"Comemoração pela aprovação pelo Senado do substitutivo ao projeto que cria o Marco Legal das Ferrovias brasileiras, Projeto de Lei do Senado nº 261, de 2018. Destaque à importância da aprovação da Proposta de Emenda à Constituição (PEC) nº 1, de 2021, que determina que pelo menos 70% dos recursos obtidos com outorgas onerosas de obras e serviços de transportes sejam reinvestidos no próprio setor.",484133
4531,PL,2021-10-05,Senado Federal,"Pela Liderança sobre o Projeto de Lei do Senado (PLS) n° 261, de 2018, Marco Legal das Ferrovias, que ""Dispõe sobre a exploração indireta, pela União, do transporte ferroviário em infraestruturas de propriedade privada; autoriza a autorregulação ferroviária; disciplina o trânsito e o transporte ferroviário; altera o Decreto-Lei nº 3.365, de 21 de junho de 1941, as Leis nos 9.503, de 23 de setembro de 1997, 10.233, de 5 de junho de 2001, 12.379, de 6 de janeiro de 2011; e dá outras providências"".",484090
4531,DIS,2021-09-15,Senado Federal,"Registro do aniversário da cidade de Barra do Garças, no Estado de Mato Grosso.",483194
4531,DIS,2019-12-18,Senado Federal,Retrospectiva do desempenho parlamentar de S. Exa. no exercício de 2019 em prol do Estado de Mato Grosso (MT).,463377
4531,DIS,2019-10-09,Senado Federal,"Registro acerca do Projeto de Lei da Câmara (PLC) nº 79/2016, sancionado pelo Presidente da República, que dispõe sobre o novo marco regulatório das telecomunicações.",459902
4531,DIS,2019-10-09,Senado Federal,"Defesa da aprovação do PLV da Medida Provisória nº 885/2019, que acelera a destinação de bens apreendidos do narcotráfico.",459845
4531,PL,2019-09-11,Senado Federal,"Elogios ao Presidente do Banco Central, Roberto Campos Neto, por declarar que a Lei nº 13.654/2018, de autoria de S. Exa., está sendo cumprida nas instituições financeiras.",457726
4531,DIS,2019-08-06,Senado Federal,"Apoio à Proposta de Emenda à Constituição (PEC) nº 79, de 2019, que limita os juros praticados pelos bancos e pelas instituições financeiras a, no máximo, três vezes a taxa Selic.",456331
4531,DIS,2019-06-27,Senado Federal,Preocupação com o analfabetismo no País. Considerações sobre o crescente interesse da população pelas atividades dos parlamentares. Preocupação com a colocação do Estado de Mato Grosso em primeiro lugar no ranking de Estados do Centro-Oeste com maior índice de analfabetismo.,454959
4531,DIS,2019-03-28,Senado Federal,Comentários sobre a posse do novo presidente da Confederação Nacional do Transporte e sobre a importância da instituição para a melhoria da logística de transporte no País.,452231
4531,PL,2019-03-26,Senado Federal,Destaque à importância de se levar adiante a reforma da previdência apesar dos desentendimentos entre os Poderes Executivo e Legislativo.,451880
4531,PL,2019-02-20,Senado Federal,"Reflexão sobre a proposta de reforma da Previdência, com destaque para o tratamento dado à aposentadoria dos trabalhadores rurais e das mulheres.",451101
4531,DIS,2019-02-13,Senado Federal,Destaque à necessidade de regulamentação da Lei Kandir.,450822
4531,DIS,2014-12-18,Senado Federal, Lembrança das contribuições de S. Exª à política brasileira e gratidão pelos mandatos exercidos.,410731
4531,DIS,2014-12-16,Senado Federal,Discurso de despedida de S. Exª do Senado Federal.,410389
4531,DIS,2014-12-09,Senado Federal,Considerações sobre a atuação parlamentar de S. Exª.,410264
4531,PL,2014-11-11,Senado Federal,"Esclarecimento a respeito das emendas de autoria de S. Exª ao PLC nº 117/2013, que trata da guarda compartilhada.",409894
4531,DIS,2014-04-03,Senado Federal,Preocupação com as dificuldades enfrentadas pela população do Acre em virtude de enchente que ocorre nesta localidade; e outro assunto.,406773
4531,DIS,2014-02-26,Senado Federal,Preocupação com o andamento e finalização das obras para a Copa do Mundo em Cuiabá.,406150
4531,PL,2014-02-20,Senado Federal,Satisfação com dados divulgados no Valor Econômico acerca do aumento do número de vagas formais de emprego em Manaus-AM; e outros assuntos.,406087
4531,DIS,2014-02-12,Senado Federal,Crítica ao atual sistema de escolha dos relatores de projetos nas comissões temáticas do Senado.,405911
4531,DIS,2014-02-04,Senado Federal,Considerações sobre o projeto de lei complementar que altera o indexador da dívida dos Estados e dos Municípios com a União; e outro assunto.,405756
4531,DIS,2013-09-10,Senado Federal,"Preocupação com atrasos e superfaturamentos em obras da Copa do Mundo, especialmente no Estado de Mato Grosso.",402378
4531,DIS,2013-08-21,Senado Federal,Críticas ao Governo Federal pela gestão do PAC.,402215
