codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6342,DIS,2024-04-10,Senado Federal,Discurso de posse de S. Exa.,505004
6342,PDI,2024-03-26,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504891
6342,DIS,2024-03-26,Senado Federal,"Considerações sobre a feira Expodireto Cotrijal, ocorrida em Não-Me-Toque-RS, ressaltando a apresentação de possíveis alternativas para o cultivo de inverno no sul do País.",504877
6342,PL,2024-03-26,Senado Federal,Celebração do aniversário de 71 anos de Ceilândia-DF.,504868
6342,DIS,2024-03-20,Senado Federal,"Críticas àqueles Senadores que comemoraram o indiciamento do ex-Presidente da República Jair Bolsonaro pela suposta falsificação do cartão de vacinação, bem como às tentativas de relacionar esse fato aos atos de 8 de janeiro de 2023.",504657
6342,DIS,2024-03-05,Senado Federal,Críticas à postura diplomática do Brasil em relação à guerra entre Rússia e Ucrânia.,504335
6342,DIS,2024-03-04,Senado Federal,"Exposição sobre a importância da aprovação do Projeto de Lei nº 5482/2020, que dispõe sobre a conservação, a proteção, a restauração e a exploração sustentável do bioma Pantanal - Estatuto do Pantanal.",504220
6342,DIS,2023-10-31,Senado Federal,Discurso de despedida de S. Exa. do exercício do mandato de Senadorda República.,501838
6342,DIS,2023-09-20,Senado Federal,"Defesa da aprovação do Projeto de Lei nº 2.903/2023, que dispõe sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas. Críticas à atuação do Ibama na desocupação de terras indígenas.",500676
6342,DIS,2023-09-11,Senado Federal,"Solidariedade ao jornalista Alexandre Garcia, que será investigado pela suposta divulgação de informações falsas a respeito da tragédia no Estado do Rio Grande do Sul. Manifestação contrária à eventual indicação do Advogado-Geral da União, Sr. Jorge Messias, para Ministro do STF. Defesa do ex-Presidente Bolsonaro contra suposta perseguição por setores ligados à esquerda brasileira. Críticas à declaração do Presidente da República, que descartou a possibilidade de prisão do Presidente da Rússia Vladimir Putin, em caso de viagem ao Brasil. Indignação com a vacinação de crianças contra a COVID-19. Comentários acerca dos trabalhos da CPMI dos atos do dia 8 de janeiro. Registro sobre a quantidade de público presente nas comemorações do dia 7 de setembro, em Brasília. Indignação com políticos eleitos com apoio do ex-Presidente Bolsonaro, os quais, hoje, compõem a base do Governo Lula.",500307
6342,DIS,2023-08-30,Senado Federal,"Questionamentos acerca de um possível esforço por parte de integrantes do Governo para obstruir as investigações e dificultar o trabalho da CPMI dos atos do dia 8 de janeiro. Expectativa pela obtenção de maiores esclarecimentos com a oitiva do General Gonçalves Dias na Comissão. Análise do suposto não cumprimento, pelo Ministro da Justiça, de decisão do Ministro do STF Alexandre de Moraes quanto à entrega das imagens das câmeras de segurança referentes ao dia 8 de janeiro.",500023
6342,DIS,2023-08-30,Senado Federal,"Críticas ao STF e a seus ministros por suposta invasão da competência legislativa do Congresso Nacional, destacando julgamentos como a execução da pena após a condenação em segunda instância e a descriminalização do porte de drogas para uso pessoal.",500014
6342,DIS,2023-08-29,Senado Federal,"Críticas à Defensoria Pública da União pela promoção do evento “Saúde e Bem-Estar da Mulher”, por suposta apologia ao aborto.",500115
6342,DIS,2023-06-27,Senado Federal,Agradecimento à TV Senado pela cobertura da comemoração dos 40 anos dos festejos juninos de Campina Grande-PB.,498513
6342,DIS,2023-05-29,Senado Federal,Críticas ao Presidente Lula pela recepção do Presidente da Venezuela Nicolás Maduro.,497835
6342,DIS,2023-05-29,Senado Federal,Insatisfação com a visita do Presidente da Venezuela Nicolás Maduro ao Brasil.,497833
6342,DIS,2023-05-29,Senado Federal,"Cobrança ao Governo Federal de que seja efetivada a recomposição salarial dos profissionais da segurança pública do Distrito Federal. Críticas à inclusão, pela Câmara dos Deputados, de regra que limitaria o valor do Fundo Constitucional do Distrito Federal ao cumprimento da meta fiscal no parecer do Projeto de Lei Complementar nº 93/2023, que institui o novo arcabouço fiscal.",497827
6342,DIS,2023-05-24,Senado Federal,"Críticas ao suposto ativismo judicial do STF e do Ministro Edson Fachin, em razão de decisão da Corte Suprema que rejeitou pedido formulado pelo Partido Podemos de suspensão da Resolução nº 487 do CNJ, que institui a política antimanicomial do Poder Judiciário. Preocupação com o julgamento no Supremo da descriminalização da posse de drogas para uso pessoal.",497898
6342,PL,2023-04-25,Senado Federal,Preocupação com as ocupações de terras pelo Movimento dos Trabalhadores Rurais Sem Terra (MST) em propriedades privadas rurais.,496989
6342,DIS,2023-03-23,Senado Federal,"Repúdio a manifestações ofensivas de caráter misógino proferidas em redes sociais, especialmente à prática de calúnia, injúria e difamação utilizando o direito de liberdade de expressão, como justificativa. Agradecimento ao apoio recebido pelo Senado Federal, Polícia Federal, Ministério Público Eleitoral, Procuradora Regional da República e Ministério da Justiça.",496093
6342,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
