codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5979,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República e breve histórico de sua trajetória política no Congresso Nacional.,495184
5979,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5979,DIS,2022-12-20,Senado Federal,"Discurso de despedida, balanço do mandato de S. Exa. e agradecimentos aos pares.",495049
5979,DIS,2022-12-15,Senado Federal,Discurso de despedida de S. Exa. como Senador da República.,494790
5979,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494548
5979,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
5979,DIS,2022-06-08,Senado Federal,Reflexão sobre o Dia Nacional de Mobilização dos Homens pelo Fim da Violência contra as Mulheres. Destaque para a atuação parlamentar de S. Exa. em defesa dos direitos das mulheres.,491985
5979,DIS,2022-02-15,Senado Federal,"Exposição sobre a atuação da Bancada Feminina do Senado Federal no último ano legislativo, sob a liderança de S. Exa.. Críticas ao Presidente da República pelo Veto nº 59, de 2021, aposto ao Projeto de Lei nº 4.968, de 2019, que institui o Programa de Proteção e Promoção da Saúde Menstrual. Apelo aos pares pela rejeição do veto aposto ao citado projeto, bem como aos Deputados Federais pela aprovação do Projeto de Lei da Câmara nº 130, de 2011, que estabelece multa para combater a diferença de remuneração verificada entre homens e mulheres no Brasil.",488313
5979,DIS,2019-06-07,Senado Federal,"Insatisfação com trechos da proposta do Governo Federal que altera o Código de Trânsito, em especial o que afasta a obrigatoriedade do exame toxicológico e do transporte de crianças com a cadeirinha.",454575
5979,DIS,2019-02-07,Senado Federal,"Breve histórico da trajetória de vida de S. Exª.  Cumprimentos ao Governador do Maranhão, Flávio Dino, pelos feitos realizados no último mandato. Destaque para a atuação de S. Exª como Deputada Estadual no Maranhão,Deputada Federal e para os pontos fundamentais de atuação parlamentar de S. Exª como Senadora. Reflexão sobre a necessidade da melhoria qualitativa da política brasileira. Leitura de poema de autoria da ex-Senadora Marina Silva.",450685
