codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5926,DIS,2024-03-12,Senado Federal,"Preocupação quanto à autorização concedida pela Marinha brasileira ao Greenpeace para a realização de pesquisas científicas na costa do Amapá, a 500 quilômetros da foz do Rio Amazonas, por supostamente atrasar o desenvolvimento econômico da Região Amazônica.",504423
5926,DIS,2023-06-13,Senado Federal,Considerações sobre a reassunção de S. Exa. ao mandato de Senador da República pelo Estado de Rondônia. Destaque para o posicionamento político de S. Exa. de oposição ao atual Governo.,498266
5926,DIS,2023-03-30,Senado Federal,"Críticas ao Ibama e ao Greenpeace em razão de declarações contra a extração de petróleo na foz do Rio Amazonas. Defesa do projeto de ferrovia Ferrogrão, destacando seus benefícios.",496551
5926,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
5926,PL,2020-09-22,Senado Federal,"Cumprimentos à Dra. Maria Thereza de Assis Moura, aprovada para exercer o cargo de Corregedora-Geral do Conselho Nacional de Justiça (CNJ).",471570
5926,DIS,2019-10-30,Senado Federal,"Anúncio de proposição legislativa a ser apresentada por S. Exa.  que visa constituir um fundo para cobertura de acidentes por hidrocarbonetos ou petróleo, óleo e outros derivados.",460578
5926,DIS,2019-10-23,Senado Federal,Defesa da soberania do Brasil no uso sustentável e desenvolvimento das riquezas naturais da Amazônia.,460092
5926,PL,2019-10-16,Senado Federal,"Comemoração pela negativa, junto à Agência Nacional de Energia Elétrica (Aneel), de novo reajuste de tarifa que havia sido solicitado pela empresa Energisa, no Estado de Rondônia (RO).",459967
5926,DIS,2019-10-09,Senado Federal,"Registro sobre o processo de regularização fundiária no Brasil, e considerações sobre a importância de convocar, para discutir a questão, o Secretário de Assuntos Fundiários, Nabhan Garcia, a Ministra de Estado da Agricultura, Pecuária e Abastecimento (MAPA), Tereza Cristina, e o Presidente do Instituto Nacional de Colonização e Reforma Agrária (Incra), Geraldo José Camara.",459897
5926,DIS,2019-08-06,Senado Federal,"Defesa da reversão da decisão do Tribunal Regional Federal (TRF) da 5ª Região, que concedeu à Polícia Militar de Minas Gerais uma aeronave modelo Cessna apreendida no Estado do Amazonas.",456329
5926,DIS,2019-07-10,Senado Federal,"Pesar pelo fechamento para visitação do Bosque da Ciência, em Manaus/AM, e pelo contingenciamento de verbas da instituição. Críticas ao Fundo da Amazônia.",455961
5926,DIS,2019-05-27,Senado Federal,"Questionamentos sobre a tese que afirma ser o homem o causador, pelas suas capacidades produtivas, de mudanças climáticas no Planeta. Lamento pelo Brasil sacrificar a capacidade produtiva nacional em razão dessa tese.",454048
5926,DIS,2019-05-23,Senado Federal,"Explicações sobre a Medida Provisória nº 869, de 2018, que trata de assuntos atuais da economia brasileira, sob o ponto de vista da proteção e defesa dos dados pessoais do consumidor",454033
5926,DIS,2019-05-23,Senado Federal,Registro de reportagem do jornal Estadão referente à reforma da previdência.,454031
5926,PL,2019-04-24,Senado Federal,Agradecimento aos Senadores pela instalação da Frente Parlamentar em Defesa do Consumidor de Energia Elétrica da Região Norte. Exposição sobre o problema de cobranças indevidas realizadas pelas Centrais Elétricas do Pará.,452839
5926,DIS,2019-04-24,Senado Federal,"Defesa da autonomia do Banco Central do Brasil e comentários acerca de projeto de lei complementar, de autoria de S. Exª, que dispõe sobre nomeação e demissão do presidente e diretores do Banco Central do Brasil.",452833
5926,DIS,2019-04-05,Senado Federal,Preocupação com o aumento do endividamento das famílias brasileiras e com o aumento do preço dos combustíveis anunciado pela Petrobras.,452012
5926,DIS,2019-04-05,Senado Federal,"Defesa do Projeto de Lei nº 1.540, de 2019, de autoria de S Exª, que amplia as possibilidades de utilização do FGTS para as áreas de saúde e educação.",452010
5926,DIS,2019-04-05,Senado Federal,"Registro do transcurso do Dia Mundial de Doenças Raras, em 28 de fevereiro. Comentários a respeito do xeroderma pigmentoso e sua incidência no Brasil. Comunicação de envio de solicitação ao Ministro da Saúde, Luiz Henrique Mandetta, para que auxilie a comunidade de Faina-GO,que possui relevante incidência do xeroderma. Registro do Dia Mundial da Saúde, em 7 de abril, e comentários a respeito do direito à saúde no Brasil e das necessidades do Sistema Único de Saúde. Importância do Centro de Diabéticos de Goiás. Considerações a respeito da PEC nº 34/2019, que determina a imposição da execução das emendas de bancada ao orçamento, notoriamente no que tange aos recursos destinados à saúde. Comentários sobre as metas da Organização Mundial da Saúde para o ano de 2019.",452005
5926,DIS,2019-04-04,Senado Federal,"Reflexão sobre similaridade da letra da música Perfeição, da banda Legião Urbana, com o atual momento político brasileiro. Proclamação da música Há Tempos, da banda Legião Urbana.",452381
5926,DIS,2019-03-28,Senado Federal,"Relato sobre a complexa situação em que se encontra o País nos âmbitos político, econômico e social.",452248
5926,DIS,2019-03-25,Senado Federal,Destaque à importância de se dar andamento à Reforma da Previdência e críticas à crise de articulação envolvendo o Congresso e a Presidência da República acerca desta pauta.,451744
5926,DIS,2019-03-25,Senado Federal,Comentários sobre a crise institucional entre os Poderes da República.,451742
5926,DIS,2019-03-21,Senado Federal,"Reflexão sobre o Dia Mundial da Água, comemorado no dia 22 corrente. Anúncio da apresentação de projeto de lei que proíbe a interrupção total de água corrente durante período de três meses em caso de inadimplência do consumidor.",451779
5926,DIS,2019-02-20,Senado Federal,Expectativa com os desafios do Parlamento brasileiro no início da legislatura.,451060
5926,DIS,2019-02-15,Senado Federal,"Agradecimentos aos parlamentares pelo apoio na recriação da Frente Parlamentar de Logística, Transporte e Armazenagem.",450936
5926,DIS,2019-02-07,Senado Federal,Reflexão sobre o início do mandato de S. Exª como Senador pelo Estado de Roraima. Expectativas quanto à nova Legislatura para o desenvolvimento do País.,450676
