codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
631,DIS,2024-04-10,Senado Federal,Indignação contra a atuação supostamente enviesada da Justiça Eleitoral em desfavor de políticos conservadores. Cobrança de uma ação institucional do Senado Federal em resposta aos alegados abusos cometidos em decisões do STF e do TSE.,505052
631,DIS,2024-04-10,Senado Federal,Alerta para a importância do respeito ao princípio da separação dos poderes. Críticas ao possível retorno do pagamento do seguro obrigatório DPVAT. Inconformismo com o peso da carga tributária sobre a população brasileira. Considerações sobre os gastos do Governo Federal.,505049
631,DIS,2024-04-10,Senado Federal,Discurso de posse de S. Exa.,505004
631,DIS,2024-04-09,Senado Federal,"Indignação com a disparidade na atuação do Judiciário em casos semelhantes, porém de classes sociais distintas. Necessidade de aprovar proposições que aumentem a pena para crimes contra a ordem tributária, o sistema financeiro, bem como corrupção, estelionato e tráfico de drogas.",505345
631,DIS,2024-03-21,Senado Federal,Cumprimentos ao Senador Romário pela realização da sessão especial em homenagem ao Dia Internacional da Síndrome de Down. Defesa da conscientização e inclusão das pessoas com Transtorno do Déficit de Atenção com Hiperatividade-TDAH e Transtorno do Espectro Autista-TEA.,504769
631,DIS,2024-02-20,Senado Federal,"Comemoração pela aprovação do Projeto de Lei (PL) n° 2253, de 2022, que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária"". Congratulações ao relator do projeto, Senador Flávio Bolsonaro.",504032
631,CIN,2024-02-07,Senado Federal,"Celebração da aprovação da urgência ao Projeto de Lei no. 2253/2022, que aborda as saídas temporárias de presos e ênfase para a importância do devido processo legal no País.",503831
631,DIS,2024-02-07,Senado Federal,"Manifestação favorável ao Projeto de Lei no. 2253/2022, que limita a concessão do benefício da saída temporária para presos do regime semiaberto.",503826
631,DIS,2024-02-07,Senado Federal,Indignação com edital de processo seletivo publicado pela Universidade Federal de Santa Catarina (UFSC) em que é reservado percentual de vagas para pessoas trans.,503824
631,DIS,2023-12-06,Senado Federal,"Satisfação com a aprovação do Requerimento no.1005/2023, para realização de Sessão de Debates Temáticos em que se discutirá o conflito entre Israel e Hamas.",502977
631,DIS,2023-11-28,Senado Federal,"Apelo ao Governo Lula para a adoção de medidas urgentes em auxílio ao Estado de Santa Catarina, que se encontra em situação de calamidade pública devido às enchentes.",502710
631,DIS,2023-10-10,Senado Federal,"Preocupação com as enchentes que assolam o Estado de Santa Catarina. Manifestação de apoio à população de Israel em razão dos recentes ataques praticados pelo Hamas e críticas a políticos de esquerda que, supostamente, assinaram manifesto em favor do referido grupo palestino.",501220
631,DIS,2023-10-10,Senado Federal,"Solidariedade ao povo israelense. Anúncio da apresentação do Requerimento no. 899/2023, com pedido de informações ao Itamaraty acerca do posicionamento do Governo brasileiro sobre os ataques do grupo palestino Hamas contra Israel.",501218
631,DIS,2023-08-30,Senado Federal,"Indignação com a fala do Ministro da Justiça, Sr.  Flávio Dino, sobre o não armazenamento de imagens internas do respectivo ministério durante os ataques do dia 8 de janeiro. Exposição de projetos protocolados por S. Exa. que beneficiam a população mais pobre.",500073
631,DIS,2023-08-29,Senado Federal,"Defesa de Projeto de Lei nº 4283/2023, de autoria de S. Exa., que possibilitará a substituição da pena privativa de liberdade por restritiva de direitos nos crimes cometidos mediante violência ou grave ameaça, se não houver estabelecimento adequado para o cumprimento da pena em regime aberto.",500159
631,DIS,2023-08-29,Senado Federal,"Manifestação contrária à PEC nº 10/2022, que trata sobre as condições e os requisitos para a coleta e o processamento de plasma humano, uma vez que a proposta contempla a possibilidade de comercialização do plasma. Preocupação com as mortes decorrentes da diminuição das
      doações de sangue e a hiperinflação dos hemoderivados. Defesa da melhoria dos bancos de sangue e hemocentros.",500150
631,DIS,2023-06-13,Senado Federal,Indignação com a atuação de parlamentares da base do Governo na CPMI destinada a investigar os atos de 8 de janeiro pela não aprovação de diversos requerimentos de autoria de membros da oposição.,498258
631,DIS,2023-06-06,Senado Federal,"Registro sobre o Dia Nacional da Adoção e justificação do Projeto de Lei no. 2959/2023, que visa estabelecer o prazo máximo de 18 meses para a conclusão do processo de adoção após o início do estágio de convivência.",498232
631,DIS,2023-05-24,Senado Federal,"Críticas ao suposto ativismo judicial do STF e do Ministro Edson Fachin, em razão de decisão da Corte Suprema que rejeitou pedido formulado pelo Partido Podemos de suspensão da Resolução nº 487 do CNJ, que institui a política antimanicomial do Poder Judiciário. Preocupação com o julgamento no Supremo da descriminalização da posse de drogas para uso pessoal.",497898
631,DIS,2023-05-16,Senado Federal,"Inconformidade com a Resolução nº 487/2023, publicada pelo Conselho Nacional de Justiça (CNJ), que institui a Política Antimanicomial do Poder Judiciário, pois supostamente resultará em uma convivência da sociedade com condenados por crimes graves, aumentando a insegurança.",497478
631,DIS,2023-05-03,Senado Federal,"Críticas ao STF em razão da operação da Polícia Federal de buscas e apreensões realizadas no domicílio do ex-Presidente Jair Bolsonaro, devido a uma suposta falsificação de cartões de vacina.",497219
631,DIS,2023-04-25,Senado Federal,"Alerta para a votação, na Câmara dos Deputados, de Requerimento de Urgência ao Projeto de Lei nº. 2630/2020, que institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.",496993
631,PL,2023-04-25,Senado Federal,Preocupação com as ocupações de terras pelo Movimento dos Trabalhadores Rurais Sem Terra (MST) em propriedades privadas rurais.,496989
631,DIS,2023-04-25,Senado Federal,Apoio à leitura do requerimento e instauração da CPMI que busca investigar os atos do dia 8 de janeiro de 2023.,496985
631,DIS,2023-04-19,Senado Federal,Expectativa com a instalação de CPMI para investigar os atos do dia 8 de janeiro.,496815
