codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
285,PDI,2024-02-20,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2253, de 2022, que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária"".",503954
285,DIS,2024-02-06,Senado Federal,"Satisfação com a aprovação, no âmbito da CSP, do Projeto de Lei nº 2253/2022, que limita a concessão do benefício da saída temporária para presos do regime semiaberto",503759
285,DIS,2023-08-23,Senado Federal,Críticas à atuação de ONGs na Região Amazônica que supostamente agem contra os interesses da população local e contribuem para a pobreza na Região.,500244
285,DIS,2023-05-24,Senado Federal,Considerações acerca de parecer do Ibama contrário à perfuração de um poço de petróleo pela Petrobras na Região Norte.,497839
285,DIS,2023-05-16,Senado Federal,"Leitura das bulas das vacinas contra a Covid-19 fabricadas pelas empresas farmacêuticas Janssen, AstraZenca, Pfizer e pelo Instituto Butantan. Críticas ao suposto ativismo judicial do STF.",497481
285,DIS,2023-05-04,Senado Federal,Registro da presença dos estudantes da Faculdade de Direito da Uniarp de Caçador (SC) e do Professor Levi.,497262
285,DIS,2023-04-11,Senado Federal,Críticas à política econômica do Governo Lula.,496605
285,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
285,DIS,2022-04-06,Senado Federal,Discurso de posse de S. Exa. no Senado Federal.,489908
285,DIS,2019-08-05,Senado Federal,Relato dos trabalhos realizados por S. Exª durante a última quinzena do mês de julho de 2019.,456103
285,DIS,2019-08-05,Senado Federal,Posicionamentos contrários ao armamento da população e favoráveis à manutenção das terras indígenas e das unidades de conservação.,456096
285,DIS,2019-07-01,Senado Federal,Destaque para diversas propostas em tramitação no Parlamento e do seus impactos positivos no País.,455244
285,PL,2019-06-25,Senado Federal,"Cobrança ao Governo Federal por ações que busquem interiorizar os migrantes venezuelanos, que entram no País pelo Estado de Roraima.",454983
