codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5422,DIS,2024-04-10,Senado Federal,Alerta para a importância do respeito ao princípio da separação dos poderes. Críticas ao possível retorno do pagamento do seguro obrigatório DPVAT. Inconformismo com o peso da carga tributária sobre a população brasileira. Considerações sobre os gastos do Governo Federal.,505049
5422,DIS,2024-02-07,Senado Federal,Indignação com edital de processo seletivo publicado pela Universidade Federal de Santa Catarina (UFSC) em que é reservado percentual de vagas para pessoas trans.,503824
5422,DIS,2023-10-17,Senado Federal,"Elogios à atuação do Presidente do Senado Federal, Senador Rodrigo Pacheco, em sua participação no Fórum Esfera Internacional, em Paris.",501476
5422,DIS,2023-10-17,Senado Federal,"Elogios ao Presidente do Senado Federal, Senador Rodrigo Pacheco, pela defesa das prerrogativas do Senado Federal no Fórum Esfera Internacional, em Paris. Considerações sobre o voto em separado proferido por S. Exa. na CPMI dos atos do dia 8 de janeiro, ressaltando a suposta omissão do Governo Federal em evitar o ocorrido.",501436
5422,DIS,2023-09-27,Senado Federal,"Comentários sobre denúncia publicada pela revista Veja sobre Deputado Federal da base governista que teria pedido dinheiro para aprovar projetos favoráveis às empresas de apostas esportivas e protegê-las na CPI das apostas esportivas. Preocupação com os efeitos negativos que o vício em jogos pode causar na sociedade. Registro de projetos de lei, de autoria de S. Exa., que visam a restringir ao máximo qualquer tipo de jogos de azar. Expectativa quanto às modificações que o Senado Federal poderá fazer para melhorar o Projeto de Lei no.3626/2023, que trata da legislação das apostas esportivas.",500861
5422,DIS,2023-08-30,Senado Federal,Indignação pelo fatiamento da transposição dos servidores do ex-Território Federal do Amapá para a União.,500022
5422,DIS,2023-07-12,Senado Federal,Indignação contra acusações sofridas por S. Exa. provenientes da imprensa e de opositores.,499228
5422,CIN,2023-07-04,Senado Federal,"Protesto contra a realização do 26º encontro do Foro de São Paulo, em Brasília.",498790
5422,DIS,2023-06-28,Senado Federal,"Críticas ao Presidente Lula por declarações feitas sobre cardápios em almoços oficiais, registrando insatisfação com os gastos do cartão corporativo.",498742
5422,DIS,2023-06-15,Senado Federal,"Manifestação contrária ao Projeto de Lei nº 2.720/2023, que tipifica os crimesde discriminação contra pessoas politicamente expotas e prescreve os procedimentos a serem adotados pelas instituições financeiras nos casos de negativa de abertura ou manutenção de conta.",498336
5422,DIS,2023-06-14,Senado Federal,"Defesa da convocação do ex-Ministro do Gabinete de Segurança Institucional da Presidência da República, General Edson Gonçalves Dias, para prestar esclarecimentos à CPMI que investiga os ataques do dia 8 de janeiro e reflexão sobre a importância da correta apuração dos fatos ocorridos. Elogios ao trabalho da imprensa na cobertura dos fatos.",498365
5422,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
5422,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5422,DIS,2022-02-15,Senado Federal,"Exposição sobre a atuação da Bancada Feminina do Senado Federal no último ano legislativo, sob a liderança de S. Exa.. Críticas ao Presidente da República pelo Veto nº 59, de 2021, aposto ao Projeto de Lei nº 4.968, de 2019, que institui o Programa de Proteção e Promoção da Saúde Menstrual. Apelo aos pares pela rejeição do veto aposto ao citado projeto, bem como aos Deputados Federais pela aprovação do Projeto de Lei da Câmara nº 130, de 2011, que estabelece multa para combater a diferença de remuneração verificada entre homens e mulheres no Brasil.",488313
5422,DIS,2019-12-18,Senado Federal,Retrospectiva do desempenho parlamentar de S. Exa. no exercício de 2019 em prol do Estado de Mato Grosso (MT).,463377
5422,DIS,2019-12-18,Senado Federal,"Registro sobre a atuação de S. Exa. em favor do Estado de Mato Grosso (MT) neste primeiro ano legislativo da atual legislatura, em 2019.",463375
5422,DIS,2019-12-04,Senado Federal,Preocupação com a crise migratória dos venezuelanos no Estado de Roraima.,462724
