codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6027,DIS,2024-02-27,Senado Federal,Preocupação com as enchentes que atingem o Estado do Acre e apelo ao Governo Federal em favor da liberação de recursos para o enfrentamento da crise nos Municípios acrianos.,504071
6027,DIS,2024-02-21,Senado Federal,"Apelo à Ministra da Gestão e da Inovação em Serviços Públicos para que republique portaria com vistas ao reenquadramento aos quadros da União de servidores públicos do ex-Território do Amapá. Manifestação favorável à aprovação da PEC nº 47, de 2023, que prevê a inclusão de servidores públicos, de integrantes da carreira de policial, civil ou militar de ex-Territórios, em quadro em extinção da administração pública federal.",503862
6027,DIS,2023-09-12,Senado Federal,"Breve histórico da tramitação da PEC nº 7/2018, destacando as lutas pelaigualdade de condições para a integração dos servidores dos ex-Territórios de Rondônia, Amapá e Roraima ao quadro da administração pública federal.",500366
6027,DIS,2023-09-11,Senado Federal,"Apresentação do Requerimento nº. 78/2023, solicitando a realização de Sessão Especial para celebrar os 35 anos do Estado de Roraima e os 80 anos de sua criação como Território.",500299
6027,DIS,2023-08-30,Senado Federal,Indignação pelo fatiamento da transposição dos servidores do ex-Território Federal do Amapá para a União.,500022
6027,DIS,2023-08-14,Senado Federal,"Registro da 7a. Marcha das Margaridas, que acontece em Brasília nos dias 15 e 16 de agosto, com o lema “Pela Reconstrução do Brasil e pelo Bem Viver”. Destaque para o Projeto de Lei no. 63/2018, que inscreve o nome de Margarida Alves no Livro dos Heróis e Heroínas da Pátria. Satisfação pela aprovação de requerimento de realização de sessão especial em homenagem à Marcha das Margaridas no Senado Federal.",499617
6027,DIS,2023-05-30,Senado Federal,"Satisfação com a liberação de ônibus apreendidos nas manifestações do dia 8 de janeiro. Críticas à visita do Presidente da Venezuela Nicolás Maduro ao País. Apelo ao Presidente Lula pela cobrança da dívida venezuelana com o Brasil. Destaque para o Projeto de Lei nº 1156/2023, de autoria de S. Exa., que visa a impedir a concessão de empréstimos pelo Banco Nacional de Desenvolvimento Econômico e Social (BNDES) por países que possuam dívida com o Brasil. Preocupação com o julgamento pelo STF relativo à descriminalização do porte de drogas para uso pessoal. Expectativa pela resolução junto à Aneel da cobrança de taxas indevidas na conta de energia. Indignação pela suposta perseguição sofrida pelo Prefeito de Divinópolis-MG, Sr. Gleidson Gontijo de Azevedo, irmão de S. Exa.",497930
6027,DIS,2023-05-30,Senado Federal,"Defesa do Projeto de Lei nº 2848/2023, de autoria de S. Exa., que modifica as fontes de informações sobre preços de terras na hipótese de lançamento de ofício do Imposto sobre a Propriedade Territorial Rural (ITR).",497928
6027,NID,2023-03-14,Senado Federal,Congratulações ao Senador Paulo Paim por sua reeleição na Presidência da Comissão de Direitos Humanos do Senado.,495954
6027,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
6027,DIS,2019-02-07,Senado Federal,Reflexão sobre o início do mandato de S. Exª como Senador pelo Estado de Roraima. Expectativas quanto à nova Legislatura para o desenvolvimento do País.,450676
