codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5985,DIS,2024-02-28,Senado Federal,Alerta sobre a importância da vacinação infantil.,504198
5985,PDI,2024-02-20,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2253, de 2022, que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária"".",503948
5985,DIS,2023-11-20,Senado Federal,Indignação pela conduta de membros do Governo Federal que supostamente estariam perseguindo jornalistas em virtude de publicações de denúncias.,502426
5985,DIS,2023-04-13,Senado Federal,"Preocupação com o crescente índice de feminicídio no País. Defesa do Projeto de Lei nº 4196, de 2020, de autoria do Deputado Fábio Trad, que tem por objetivo enquadrar o feminicídio como tipo penal autônomo para evitar equívocos quanto à tipificação do crime e ampliar as políticas públicas de prevenção e repressão à violência de gênero.",496653
5985,DIS,2023-03-07,Senado Federal,Preocupação com o aumento do número de ocupações de propriedades rurais pelo Movimento dos Trabalhadores Rurais sem Terra (MST) e cobrança de posicionamento imparcial do Governo Federal e do Judiciário com relação às invasões.,495763
5985,DIS,2023-03-07,Senado Federal,Destaque para a necessidade de reajuste dos subsídios das forças policiais do Distrito Federal em virtude da disparidade em relação à remuneração de outros estados.,495761
5985,DIS,2023-03-06,Senado Federal,"Manifestação favorável à investigação sobre o caso das joias apreendidas pela Receita Federal oriundas da Arábia Saudita, que envolve integrantes do Governo do ex-Presidente Jair Bolsonaro.",495824
5985,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5985,DIS,2022-03-30,Senado Federal,"Comemoração pela edição da Resolução do Conselho Monetário Nacional nº 4989, de 2022, que reduz as taxas de juros do Fundo Constitucional do Centro-Oeste (FCO). Registro dos três pontos dessa resolução que ajudam a equilibrar financeiramente o fundo: retorno dos juros prefixados; mudança na fórmula dos juros pós-fixados; e possibilidade de migração dos juros pós para os juros pré-fixados.",489682
5985,DIS,2022-03-09,Senado Federal,"Preocupação com a repercussão econômica da guerra na Ucrânia para o País, em especial com a dependência brasileira dos fertilizantes russos, diante do possível desabastecimento desses insumos.",488910
5985,POR,2021-11-30,Senado Federal,"Registro da apresentação, por S. Exa., de requerimento à Comissão de Serviços de Infraestrutura (CI) solicitando aos diretores da Agência Nacional de Aviação Civil (Anac) o comparecimento à Comissão para prestar esclarecimentos sobre os problemas que afetam o setor aéreo nacional.",485725
5985,DIS,2021-09-02,Senado Federal,Registro do evento que marca o início do Setembro Ferroviário. Destaque para o trabalho de S. Exa. na busca pela viabilização da Ferrovia de Integração do Centro-Oeste (Fico) e o prosseguimento da Ferrovia Ferronorte.,482914
5985,DIS,2021-09-02,Senado Federal,"Explicações sobre a Proposta de Emenda à Constituição (PEC) nº 13, de 2021, que desobriga os entes federados da aplicação dos percentuais mínimos de investimento na educação em razão do desequilíbrio fiscal ocasionado pela pandemia de Covid-19, relatada por S. Exa.",482912
