codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5525,DIS,2023-08-29,Senado Federal,"Críticas à Defensoria Pública da União pela promoção do evento “Saúde e Bem-Estar da Mulher”, por suposta apologia ao aborto.",500115
5525,DIS,2023-05-23,Senado Federal,Insatisfação com a posição do Ibama contra a exploração de petróleo e gás na costa do Estado do Amapá.,497753
5525,DIS,2023-03-29,Senado Federal,"Apoio à Marcha a Brasília em Defesa dos Municípios , cujo tema é “Pacto Federativo: um olhar para o futuro”; e defesa do municipalismo.",496515
5525,DIS,2023-03-21,Senado Federal,Comentários acerca da política conservadora.,496324
5525,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5525,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5525,DIS,2022-05-11,Senado Federal,Insatisfação com os valores repassados ao Estado do Amazonas destinados a contratos de crédito rural.,490786
5525,DIS,2022-02-22,Senado Federal,"Exposição sobre o trabalho desempenhado por S. Exa. desde a posse como Senador da República. Reflexão sobre a situação do País e, em especial, do Estado do Amapá durante o Governo Bolsonaro.",488519
5525,POR,2021-11-30,Senado Federal,"Registro da apresentação, por S. Exa., de requerimento à Comissão de Serviços de Infraestrutura (CI) solicitando aos diretores da Agência Nacional de Aviação Civil (Anac) o comparecimento à Comissão para prestar esclarecimentos sobre os problemas que afetam o setor aéreo nacional.",485725
5525,DIS,2021-10-05,Senado Federal,Comemoração dos 33 anos da criação do Estado de Roraima juntamente com a promulgação da Constituição Federal de 1988.,484058
5525,DIS,2019-12-04,Senado Federal,"Exposição do debate sobre telemedicina ou medicina digital em audiência pública da Comissão de Assuntos Sociais (CAS), ocorrida em 04 de dezembro de 2019.",462733
5525,PL,2019-08-27,Senado Federal,Registro dos esforços do Governo Federal para diversificar a matriz energética brasileira.,457014
5525,DIS,2019-08-27,Senado Federal,Ponderação sobre a crise internacional entre o Presidente da França Emmanuel Macron e o Presidente do Brasil Jair Bolsonaro.,456996
5525,PL,2019-06-03,Senado Federal,"Considerações sobre os aperfeiçoamentos feitos à Medida Provisória nº 871, de 2019, no âmbito da comissão mista de análise da matéria.",454364
5525,DIS,2019-03-26,Senado Federal,Apelo ao Ministério da Saúde (MS) e às comunidades indígenas para que cheguem a um entendimento quanto à medida adotada pelo Governo de municipalizar a saúde indígena.,451882
5525,DIS,2018-12-19,Senado Federal,Comentários sobre a atuação parlamentar de S. Exª.,449868
5525,POR,2018-06-13,Senado Federal,"Críticas à gestão de Pedro Parente na Petrobras.
      ",446497
5525,DIS,2018-05-28,Senado Federal,Defesa dos caminhoneiros e críticas à política de preços da Petrobras.,445815
5525,CIN,2018-03-20,Senado Federal,Críticas ao anúncio da Petrobras sobre o fechamento de fábricas de fertilizantes em Sergipe (SE) e Bahia (BA).,442706
5525,DIS,2018-02-27,Senado Federal,"Registro da necessidade de uma intervenção de natureza social no Estado do Rio de Janeiro  (RJ), em razão do aumento dos índices de violência e de desemprego.",441725
5525,DIS,2017-11-28,Senado Federal,Críticas à gestão governamental dos recursos hídricos do Brasil,438744
5525,DIS,2017-09-12,Senado Federal,Insatisfação com o não repasse de empréstimo acordado entre o Banco do Brasil e o estado da Bahia referente ás dívidas estatais.,434577
5525,CIN,2017-09-04,Senado Federal,Defesa da revitalização do Rio São Francisco.,434488
5525,POR,2016-11-08,Senado Federal,"Comentários sobre invasão de escolas, crise na economia nacional, tentativa de legalização de jogos de azar e medidas necessárias para o ajuste fiscal no País.",427023
5525,DIS,2016-07-13,Senado Federal,Alerta para a ausência de isonomia entre os entes federativos no tocante aos benefícios auferidos pela renegociação das dívidas com a União.,424247
5525,PL,2016-04-26,Senado Federal,Explicações sobre decisão do Supremo Tribunal Federal que autoriza a quebra dos sigilos bancário e fiscal de S. Exª.,422447
5525,POR,2016-03-02,Senado Federal,"Comentários sobre a campanha, da qual participa o clube Cruzeiro, para arrecadação de recursos destinados ao custeio do tratamento médico de Matheus, vítima da Síndrome do Intestino Curto, e considerações sobre a ação judicial promovida pela família do menino, em que a União foi condenada a custear o seu tratamento nos Estados Unidos.",420798
5525,DIS,2016-02-24,Senado Federal,Registro das atividades parlamentares de S. Exª no ano de 2015.,420818
5525,DIS,2015-10-20,Senado Federal,Pedido de aprovação da emenda “jabuti” que autoriza a renegociação das dívidas de produtores rurais prejudicados pelo encerramento do programa Proálcool; e outro assunto.,417905
5525,DIS,2015-09-09,Senado Federal,Registro do esgotamento do modelo político adotado no País.,416793
5525,DIS,2015-08-26,Senado Federal,Defesa da PEC que cria a Carreira Nacional de Médicos e Dentistas de Saúde da Família; e outro assunto.,416204
5525,PL,2015-05-06,Senado Federal,"Leitura de documento enviado à Presidência da República que solicita a alteração do regime tributário incidente sobre a circulação de commodities minerais  extraídas do subsolo do Estado do Pará.
      ",413413
5525,DIS,2015-04-28,Senado Federal,"Defesa do adiamento da mudança do indexador das dívidas dos Estados e Municípios para 2016, em benefício do ajuste fiscal proposto pelo Governo Federal; e outros assuntos.",413110
5525,PL,2015-03-24,Senado Federal,Comentários acerca do ajuste fiscal proposto pelo Governo Federal como maneira de enfrentar a crise econômica na qual se encontra o País.,411728
5525,DIS,2015-03-16,Senado Federal,Reflexões sobre as manifestações ocorridas em 15 do corrente e críticas à gestão do Governo Dilma Rousseff.,411414
5525,DIS,2015-03-12,Senado Federal,Reflexões sobre os recentes desdobramentos da “Operação Lava Jato” em que os nomes de dezenas de políticos foram enviados ao STF a fim de serem investigados; e outro assunto.,411384
5525,DIS,2015-03-10,Senado Federal,Indignação por o nome de S. Exª constar em lista encaminhada pelo Procurador- Geral da República ao STF para abertura de inquérito relativo à “Operação Lava Jato”.,411495
5525,DIS,2015-03-10,Senado Federal,Cobrança à Presidente da República para que lidere o diálogo entre os Poderes Executivo e Legislativo como meio para a superação da crise no País.,411489
5525,DIS,2015-03-04,Senado Federal,Comentários sobre a conjuntura macroeconômica do País e críticas à política econômica implementada pelo Governo Federal.,411299
5525,DIS,2015-03-03,Senado Federal,Registro do transcurso dos 59 anos de criação da Cidade de Autazes - AM; e outros assuntos.,411229
5525,DIS,2015-02-25,Senado Federal,Defesa da Petrobras contra o que S. Exª considera uma tentativa de enfraquecimento da empresa.,411033
5525,PL,2015-02-24,Senado Federal,Preocupação com a greve dos caminhoneiros.,411138
5525,DIS,2015-02-24,Senado Federal,Preocupação com os reflexos na economia nacional do bloqueio de rodovias federais por transportadores rodoviários.,411133
5525,DIS,2015-02-05,Senado Federal,Críticas ao modo de condução da eleição dos membros da Mesa do Senado Federal; e outro assunto.,410860
5525,DIS,2015-02-05,Senado Federal,Considerações sobre projeto de lei apresentado por S. Exª com vistas a aprimorar a “Lei Maria da Penha”.,410858
5525,CIN,2015-02-05,Senado Federal,Preocupação com a crise de credibilidade das instituições públicas brasileiras; e outros assuntos.,410856
5525,DIS,2015-02-05,Senado Federal,"Alegria pela inauguração da primeira Casa da Mulher Brasileira, em Campo Grande-MS.",410853
5525,DIS,2015-02-03,Senado Federal, Destaque à atuação da bancada feminina do Senado Federal; e outros assuntos.,410764
