codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5924,DIS,2024-04-17,Senado Federal,"Apoio à rejeição do veto parcial aposto ao Projeto de Lei nº 2253/2022, que restringe o benefício da saída temporária dos presos.",505233
5924,DIS,2023-10-17,Senado Federal,"Considerações positivas sobre o discurso do Presidente do Senado Federal, Senador Rodrigo Pacheco, abordando a relação entre os Poderes da República, proferido no Fórum Esfera Internacional, em Paris.",501434
5924,DIS,2023-05-23,Senado Federal,"Defesa da reforma tributária e do disposto na Proposta de Emenda à Constituição nº 46/2022, de autoria do Senador Oriovisto Guimarães, que pretende unificar o ICMS em um único imposto estadual e o ISS em um único imposto municipal.",497702
5924,DIS,2023-05-09,Senado Federal,"Alerta para a possível inconstitucionalidade das alterações realizadas pela Câmara dos Deputados na Medida Provisória nº 1147/2022, que legisla sobre redução a zero por cento das alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes no transporte aéreo de passageiros.",497372
5924,DIS,2023-05-02,Senado Federal,"Comentários sobre o Projeto de Lei nº 93/2023-Complementar, que institui regime fiscal sustentável para garantir a estabilidade macroeconômica do País e criar as condições adequadas ao crescimento socioeconômico. Críticas à gestão do Governo Federal.",497126
5924,DIS,2023-05-02,Senado Federal,"Preocupação com as implicações da aprovação do Projeto de Lei nº 2630/2020,conhecido como PL das ""fake news"".",497124
5924,DIS,2023-04-26,Senado Federal,Críticas à proposta do arcabouço fiscal apresentada pelo Poder Executivo por supostamente desconsiderar determinados pontos da Lei de Responsabilidade Fiscal.,497052
5924,DIS,2022-12-15,Senado Federal,Discurso de despedida de S. Exa. como Senador da República.,494790
5924,DIS,2022-12-13,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,494667
5924,DIS,2020-02-11,Senado Federal,"Defesa da inclusão em pauta do Projeto de Lei do Senado nº 166/2018, que trata da prisão após a condenação em segunda instância.",464030
5924,PL,2019-12-17,Senado Federal,"Manifestação contrária à aprovação no Senado da Medida Provisória nº 893/2019, editada pelo Presidente Jair Bolsonaro, que transforma o Conselho de Controle de Atividades Financeiras (Coaf) na Unidade de Inteligência Financeira (UIF), vinculada ao Banco Central.",463184
5924,DIS,2019-12-12,Senado Federal,Críticas ao número de partidos políticos e ao valor atribuído a eles através do fundo partidário.,463147
5924,DIS,2019-12-12,Senado Federal,"Satisfação com a criação de cinco universidades federais no País, com destaque para as Universidades Federais de Catalão e Jataí, no Estado de Goiás (GO).",463145
5924,DIS,2019-12-12,Senado Federal,Elogios ao Estado de Santa Catarina.,463130
5924,DIS,2019-11-06,Senado Federal,"Registro de reunião com o Presidente do Supremo Tribunal Federal (STF), Ministro Dias Toffoli, na qual lhe foi entrega carta aberta assinada por 43 senadores, em defesa da execução provisória da pena após condenação do réu em segunda instância.",461479
5924,DIS,2019-10-29,Senado Federal,Preocupação com a insegurança jurídica caso o Supremo Tribunal Federal decida em julgamento pela prisão somente após o trânsito em julgado da sentença penal.,460832
5924,DIS,2019-10-29,Senado Federal,Posicionamento favorável à prisão após condenação em segunda instância.,460830
5924,PL,2019-10-29,Senado Federal,Comentários sobre o andamento de proposta legislativa no Senado para tratar das aposentadorias em razão da periculosidade.,460718
5924,POR,2019-10-23,Senado Federal,"Comentário acerca da aprovação da PEC nº 6/2019, Reforma da Previdência.",460134
5924,DIS,2019-10-15,Senado Federal,"Apoio à proposição que trata da cessão onerosa dos excedentes do petróleo, que beneficiará os Municípios brasileiros.",459675
5924,DIS,2019-10-09,Senado Federal,Comentário acerca de manifestações que afirmam ter existido no Congresso Nacional a troca da aprovação da reforma da Previdência Social pela concessão de emendas parlamentares.,459838
5924,CIN,2019-09-11,Senado Federal,Comunicação da filiação de S. Exa. ao Podemos.,457722
5924,DIS,2019-08-27,Senado Federal,Preocupação com o enfraquecimento da Operação Lava Jato e do combate à corrupção.,457002
5924,DIS,2019-06-26,Senado Federal,Destaque à necessidade de se discutir a dívida pública brasileira considerando o pagamento dos juros com parte das reservas cambiais.,455069
5924,POR,2019-06-18,Senado Federal,"Registro sobre declaração de Jair Bolsonaro, Presidente da República, sobre redução do imposto de importação que incide sobre produtos de tecnologia da informação, como computadores e celulares.",454870
5924,PL,2019-06-12,Senado Federal,"Manifestação a favor da Operação Lava Jato. Defesa do Ministro da Justiça e Segurança Pública, Sérgio Moro, e do Procurador da República Deltan Dallagnol.",454732
5924,DIS,2019-06-04,Senado Federal,"Anúncio da apresentação de requerimento de urgência para a votação do Projeto de Lei do Senado (PLS) nº 26/2014-Complementar, que extingue o sigilo bancário nas operações de instituições oficiais de crédito que tenham como contraparte Estados estrangeiros.",454201
5924,DIS,2019-04-16,Senado Federal,"Esclarecimentos sobre a visita do Ministro Ricardo Salles, que resultará no lançamento do edital de concessão da Floresta Nacional de Canela, da Floresta Nacional de São Francisco de Paula e do Parque Nacional Aparados da Serra.",452965
5924,DIS,2019-03-26,Senado Federal,Considerações a respeito da necessidade da reforma da previdência.,451879
