codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5523,DIS,2023-10-03,Senado Federal,"Posicionamento contrário à suposta invasão, pelo STF, da competência de legislar do Congresso Nacional.",501145
5523,DIS,2023-09-12,Senado Federal,"Breve histórico da tramitação da PEC nº 7/2018, destacando as lutas pelaigualdade de condições para a integração dos servidores dos ex-Territórios de Rondônia, Amapá e Roraima ao quadro da administração pública federal.",500366
5523,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5523,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
5523,DIS,2021-08-31,Senado Federal,"Questionamento sobre pontos específicos da Proposta de Emenda à Constituição (PEC) nº 13/2021, que desobriga os entes federativos da aplicação de percentuais constitucionais mínimos da receita na área da educação, no exercício de 2020, em razão do desequilíbrio fiscal ocasionado pela pandemia de Covid-19, e possíveis consequências para os agentes públicos e o futuro da educação no Brasil.",482742
5523,DIS,2020-02-18,Senado Federal,"Preocupação com os desastres e prejuízos causados pelo excesso de chuvas, com destaque para a situação dos Municípios de Goiás.",464124
5523,PL,2019-10-29,Senado Federal,Comentários sobre o andamento de proposta legislativa no Senado para tratar das aposentadorias em razão da periculosidade.,460718
5523,DIS,2019-10-23,Senado Federal,Questionamentos sobre a leniência do Governo na contenção do desastre ambiental nas praias nordestinas causado pelo vazamento de petróleo.,460090
5523,DIS,2019-10-09,Senado Federal,"Registro acerca do Projeto de Lei da Câmara (PLC) nº 79/2016, sancionado pelo Presidente da República, que dispõe sobre o novo marco regulatório das telecomunicações.",459902
5523,DIS,2019-10-09,Senado Federal,"Registro sobre a vida de Irmã Dulce, Santa Dulce dos Pobres, por ocasião de sua canonização. Comentário sobre carta entregue por S. Exa. ao Papa Bento XVI, durante a sua visita ao Brasil, solicitando que fosse dada atenção ao processo de beatificação da Irmã Dulce.",459860
5523,PL,2019-10-01,Senado Federal,Crítica à votação da Reforma da Previdência Social.,459090
5523,DIS,2019-09-03,Senado Federal,Defesa da aprovação de proposições legislativas que viabilizem a inovação tecnológica 5G e contribuam para a modernização e os investimentos do setor no País.,457585
5523,DIS,2019-08-07,Senado Federal,Destaque à pluralidade de lideranças e de partidos políticos que defenderam a suspensão da transferência do ex-Presidente Lula para um presídio no Estado de São Paulo.,456425
5523,DIS,2019-08-07,Senado Federal,Expectativa que o Senado Federal realize debate aprofundado sobre a proposta da reforma da previdência. Críticas ao conteúdo da campanha publicitária do Governo Federal em torno da reforma da previdência.,456417
5523,DIS,2019-06-04,Senado Federal,Análise sobre o saneamento básico no Brasil.,454256
5523,DIS,2019-05-21,Senado Federal,"Registro da apresentação, perante a Mesa do Senado Federal, de requerimentos de informações aos Ministros Onyx Lorenzoni e Santos Cruz, com o objetivo de esclarecer quem são os Parlamentares ou partidos políticos que atrapalham o Governo, conforme afirma o Presidente da República, Jair Bolsonaro.",453723
5523,DIS,2019-04-24,Senado Federal,Registro de sanção da lei que cria a Empresa Simples de Crédito.,452866
5523,DIS,2019-02-19,Senado Federal,Destaque às diretrizes que nortearão o exercício do mandato de S. Exª.,451037
5523,DIS,2019-02-13,Senado Federal,"Considerações sobre a situação do Estado do Amapá, com destaque à necessidade de desenvolvimento da Região Amazônica.",450830
5523,CIN,2018-12-19,Senado Federal,Comentários sobre a atuação parlamentar de S. Exª.,449870
5523,DIS,2018-12-19,Senado Federal,Comentários sobre a atuação parlamentar de S. Exª.,449868
5523,DIS,2018-10-09,Senado Federal,Congratulações aos candidatos eleitos no Estado de Mato Grosso (MT) e agradecimentos aos cidadãos mato-grossenses.,448324
5523,DIS,2018-09-05,Senado Federal,Defesa da candidatura do ex-presidente Luiz Inácio Lula da Silva.,448173
5523,DIS,2018-09-04,Senado Federal,Defesa da candidatura do ex-Presidente Lula.,448085
5523,DIS,2018-05-28,Senado Federal,"Questionamento sobre a política de preços da Petrobras e apresentação de propostas para a possível solução da greve dos caminhoneiros.
      ",445816
5523,DIS,2018-05-22,Senado Federal,Análise das motivações para os aumentos consecutivos dos preços dos combustíveis .,445509
5523,DIS,2018-05-15,Senado Federal,Destaque para a confirmação do ex-presidente Lula como candidato do Partido dos Trabalhadores à presidência nas eleições de 2018.,445155
5523,DIS,2018-03-21,Senado Federal,"Discurso de despedida de S. Exª, Suplente do Senador Antônio Carlos Valadares, devido ao retorno do titular.",442701
5523,DIS,2018-03-20,Senado Federal,Críticas ao anúncio da Petrobras sobre o fechamento de fábricas de fertilizantes em Sergipe (SE) e Bahia (BA).,442712
5523,DIS,2018-02-27,Senado Federal,"Registro da necessidade de uma intervenção de natureza social no Estado do Rio de Janeiro  (RJ), em razão do aumento dos índices de violência e de desemprego.",441725
5523,DIS,2018-02-21,Senado Federal,Elogio ao Supremo Tribunal Federal (STF) pela decisão de conceder o direito à prisão domiciliar às mulheres grávidas e mães com filhos de até 12 anos de idade ou com alguma deficiência.,441321
5523,CIN,2017-10-31,Senado Federal,"Destaque ao Encontro de Governadores, realizado no estado do Acre, para discutir segurança pública.",437623
5523,DIS,2017-09-04,Senado Federal,Considerações acerca de agenda cumprida por Luiz Inácio Lula da Silva na região Nordeste.,434484
5523,DIS,2017-08-23,Senado Federal,"Críticas ao Decreto nº 9.142/2017, editado pelo Presidente da República, o qual extingue a Reserva Nacional de Cobre, localizada nos estados do Pará e do Amapá.",434261
