codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
825,DIS,2024-05-14,Senado Federal,"Defesa da aprovação do Projeto de Lei nº 1800/2024, de autoria de S. Exa., que institui a moratória de tributos federais, estaduais e municipais e das obrigações de direito privado nos municípios afetados pelas enchentes no Estado do Rio Grande do Sul. Comentários sobre a logística de transporte das doações recebidas dos Estados Unidos da América e de Portugal para a população gaúcha.",505969
825,DIS,2024-05-08,Senado Federal,Críticas ao Governo Federal pelas dificuldades na liberação de recursos para o enfrentamento da crise no Estado do Rio Grande do Sul.,505842
825,DIS,2024-05-07,Senado Federal,Comentários sobre a situação de calamidade no Estado do Rio Grande do Sul. Alerta para a necessidade de adoção de medidas para o combate às mudanças climáticas.,505651
825,DIS,2024-05-07,Senado Federal,"Anúncio do repasse de 50% das emendas parlamentares de S.Exa., para o Estado do Rio Grande do Sul a fim de ajudar nas consequências da catástrofe climática na região. Defesa do posicionamento do Congresso Nacional sobre o remanejamento do fundo eleitoral com o objetivo
      de que parte do valor seja destinado às vítimas das enchentes. Relato da arrecadação de fundos para auxílio ao Município de Canoas-RS.",505649
825,DIS,2024-05-06,Senado Federal,"Indignação com o Governo Federal por, supostamente, não ter cumprido de forma integral as promessas feitas ao Estado de Santa Catarina em razão das enchentes ocorridas em 2023, bem como preocupação que isso ocorra em relação ao Estado do Rio Grande do Sul. Exposição sobre as medidas já adotadas por S. Exa. e pelo governo catarinense para ajudar o povo gaúcho e apoio às proposições apresentadas no Senado Federal em auxílio ao Estado.",505440
825,DIS,2024-04-11,Senado Federal,"Contentamento pela participação de S. Exa., representando o Senado Federal, na solenidade de lançamento, ocorrida no Palácio do Planalto, do “Programa Minha Casa, Minha Vida”, nas modalidades rural e entidades. Destaque para sua importância para as famílias brasileiras.",505059
825,DIS,2024-02-27,Senado Federal,Expectativa quanto às atividades legislativas do presente ano de 2024.,504038
825,DIS,2023-11-28,Senado Federal,"Satisfação pelo STF ter formado maioria para declarar a inconstitucionalidade de dispositivos das Emendas Constitucionais nº 113/2021 e nº 114/2021, que criaram o teto anual para as despesas com o pagamento de precatórios até 2027.",502681
825,DIS,2023-10-18,Senado Federal,Celebração pelos 35 anos da promulgação da Constituição Cidadã de 1988.,501286
825,DIS,2023-09-20,Senado Federal,"Exposição sobre o Projeto de Lei nº 4438/2023, a minirreforma eleitoral. Convalidação das críticas feitas pelo editorial do jornal. O Estado de São Paulo sobre o tema.",500655
825,DIS,2023-09-13,Senado Federal,"Registro da queda nos preços de alimentação em domicílios no período de 12 meses, segundo dados do Índice Nacional de Preços ao Consumidor Amplo (IPCA). Destaque aos trabalhos do Governo Federal em prol da diminuição da fome no Brasil.",500515
825,PL,2023-08-16,Senado Federal,"Exposição acerca do Projeto de Lei nº 3358/2023, de autoria de S. Exa., que dispõe sobre o Fundo de Financiamento ao estudante do Ensino Superior, com destaque para a importância da educação profissional e tecnológica.",499892
825,DIS,2023-08-07,Senado Federal,"Apoio ao Governador do Estado de Minas Gerais, Romeu Zema, por supostamente ter sido vítima de ""fake news"". Exposição sobre a importância dos trabalhos desenvolvidos pela CCDD. Destaque para a necessidade de proteção dos dados e informações, bem como de regulamentação desta área. Apelo para a instalação da comissão especial para análise do Projeto de Lei no. 2338/2023, de autoria do Senador Rodrigo Pacheco, que regulamenta o uso de Inteligência Artificial. Elogios à Universidade da Maturidade, criada em parceria com a Universidade Federal do Tocantins, que foi indicada ao prêmio Darcy Ribeiro de educação.",499362
825,DIS,2023-08-07,Senado Federal,"Registro do anúncio, pelo Presidente Lula, do início das obras do Linhão de Tucuruí. Considerações sobre a importância desta obra para o Estado de Roraima.",499360
825,DIS,2023-08-03,Senado Federal,"Relato sobre a participação de S. Exa. na cerimônia de sanção da Lei nº 14644, de 2023, que institui regras para o estabelecimento e funcionamento dos Conselhos Escolares e Fóruns Escolares, e da Lei nº 14645, de 2023, que dispõe sobre a articulação da formação profissional técnica de nível médio com a aprendizagem profissional. Defesa da expansão dos Institutos Federais de Educação no Brasil.",499331
825,DIS,2023-05-30,Senado Federal,"Elogios à reunião de cúpula dos países da América do Sul em Brasília, com destaque para o retorno do diálogo entre as nações supostamente abandonado durante a gestão do ex-Presidente Jair Bolsonaro.",497921
825,DIS,2023-05-10,Senado Federal,"Elogios à atuação, nesses primeiros 120 dias, do ex-Senador e Presidente da Petrobras Jean Paul Prates.",497279
825,DIS,2023-03-28,Senado Federal,"Registro da 24ª Marcha a Brasília em Defesa dos Municípios, ocasião em que há troca de informações de questões locais afetas aos municípios. Necessidade de se debater os pisos salariais da enfermagem e do magistério, proporcionando maior clareza às matérias. Comentários acerca da importância do ensino médio profissionalizante como modalidade educacional e sua relação com a política de ensino brasileira. Defesa da urgência do investimento federal em educação, sobretudo em municípios pequenos.",496390
825,DIS,2023-03-28,Senado Federal,"Pesar pelo falecimento do arquiteto Paulo Morgado e lembrança do Deputado Federal pelo Estado de Tocantins Júnior Coimbra, falecido em 2018, e que nesta data completaria 58 anos.  Destaque para o lançamento da Agenda Legislativa da Indústria e para a 24a. Marcha a Brasília em Defesa dos Municípios.",496388
