codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5502,DIS,2024-04-09,Senado Federal,"Denúncia de suposta interferência do STF na liberdade de expressão e na democracia brasileira, destacando o caso Twitter Files. Apoio à abertura do processo de impeachment contra o Ministro Alexandre de Moraes.",505384
5502,DIS,2024-02-07,Senado Federal,Defesa das prerrogativas constitucionais do STF e apelo para que haja ponderação nos debates legislativos sobre eventuais alterações no atual modelo da Suprema Corte brasileira.,503792
5502,CIN,2024-02-07,Senado Federal,"Defesa da exploração de petróleo na foz do Rio Amazonas. Manifestação favorável à instalação de base da Petrobras no antigo Porto da Icomi, no Estado do Amapá.",503789
5502,DIS,2023-09-13,Senado Federal,"Registro da queda nos preços de alimentação em domicílios no período de 12 meses, segundo dados do Índice Nacional de Preços ao Consumidor Amplo (IPCA). Destaque aos trabalhos do Governo Federal em prol da diminuição da fome no Brasil.",500515
5502,DIS,2023-08-01,Senado Federal,Repúdio às falas do Ministro do STF Luís Roberto Barroso durante participação no Congresso da União Nacional dos Estudantes (UNE). Indignação com a retomada do julgamento pelo STF sobre a descriminalização do porte de drogas para consumo próprio.,499280
5502,DIS,2023-06-21,Senado Federal,"Agradecimento ao Presidente da República pela produtiva relação entre o Governo Federal e o Estado do Pará, com destaque às visitas ao estado realizadas por ministros e pelo Chefe do Executivo.",498538
5502,DIS,2023-06-21,Senado Federal,"Denúncia de supostas irregularidades concernentes à busca e apreensão, determinada pelo STF, em desfavor do Senador Marcos do Val.",498532
5502,DIS,2023-05-30,Senado Federal,"Insatisfação pela visita do Presidente venezuelano, Nicolás Maduro, ao Brasil. Críticas ao regime político venezuelano.",497932
5502,DIS,2023-05-10,Senado Federal,"Questionamento ao Governo Federal e à Petrobras sobre a não emissão, até esta data, da licença ambiental para exploração de petróleo e gás na plataforma equinocial da Amazônia na costa do Amapá.",497282
5502,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
5502,DIS,2023-03-14,Senado Federal,"Preocupação com os ataques criminosos ocorridos desde o dia 13 de março em diversos municípios do Estado do Rio Grande do Norte. Críticas à atuação da Governadora do Estado, Fátima Bezerra, diante das ações supostamente ordenadas por uma facção criminosa.",495960
5502,DIS,2023-03-07,Senado Federal,"Registro do Dia Internacional da Mulher, com destaque para a necessidade de se aperfeiçoar a legislação de combate à violência doméstica e familiar contra a mulher. Defesa de proposições legislativas, de autoria de S. Exa., que garantem direitos para as mulheres, como o Projeto de Lei nº 930/2023, que estabelece o compartilhamento da localização do agressor submetido a monitoramento eletrônico com os órgãos de segurança pública",495757
5502,DIS,2023-03-07,Senado Federal,"Expectativa positiva para o exercício do mandato de S. Exa. no período de 2023 a 2031, com destaque para a proposta de viabilização de recursos federais para áreas essenciais, como educação, segurança alimentar, infraestrutura e defesa da mulher. Compromisso com a melhoria do Estado do Maranhão.",495751
5502,DIS,2022-12-20,Senado Federal,Críticas à atuação do Supremo Tribunal Federal por supostamente retirar do Congresso Nacional a prerrogativa de legislar.,495110
5502,DIS,2022-12-20,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senadora da República e breve histórico de sua trajetória política.,495051
5502,DIS,2022-12-20,Senado Federal,"Discurso de despedida, balanço do mandato de S. Exa. e agradecimentos aos pares.",495049
5502,DIS,2022-12-13,Senado Federal,Discurso de despedida e breve relato da atuação de S. Exa. como Senadora da República durante o exercício de seus mandatos.,494668
5502,DIS,2022-12-13,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,494667
5502,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
5502,DIS,2022-07-06,Senado Federal,"Repercussão das críticas feitas pela imprensa brasileira em razão da aprovação pelo Senado Federal da Proposta de Emenda à Constituição (PEC) nº 1, de 2022, que institui estado de emergência e amplia o pagamento de benefícios sociais até o final do ano.",492232
5502,DIS,2022-05-31,Senado Federal,"Inconformismo com a participação de Ministros do Supremo Tribunal Federal (STF) e Superior Tribunal de Justiça (STJ) e juízes brasileiros em um Fórum em Algarve - Portugal, com despesas pagas por empresas com pendências na justiça brasileira.",491361
5502,DIS,2020-03-09,Senado Federal,"Comentários sobre a crise na economia brasileira diante de fatores internos,como o desemprego, e a ausência de debate das políticas econômica e externa, como a propagação do coronavírus e a queda do valor do petróleo. Preocupação com o consumo das reservas cambiais para tentar controlar a alta do preço do dólar e a possibilidade de abertura de contas em dólar. Exposição sobre a necessidade de respeito à democracia e ao Congresso Nacional pelo Governo vigente e de mudança na política ultraneoliberal que engessa as possibilidades de investimento público .",464239
5502,DIS,2020-03-09,Senado Federal,Considerações acerca dos Projetos de Lei do Congresso Nacional enviados pelo Presidente da República como parte do acordo pela manutenção dos vetos apostos ao Projeto de Lei de Diretrizes Orçamentárias de 2020.,464225
5502,DIS,2020-03-06,Senado Federal,Homenagem ao Dia Internacional da Mulher; considerações acerca da importância da busca de igualdade entre homens e mulheres.,464199
5502,DIS,2020-03-06,Senado Federal,Reflexão sobre o Dia Mundial das Doenças Raras e a importância do diagnóstico precoce dessas doenças.,464197
5502,DIS,2020-03-06,Senado Federal,"Pesar pelo falecimento do Sr. Benjamin Beze Junior, o primeiro suplente de S. Exa.",464191
5502,DIS,2020-03-05,Senado Federal,Aprovação da participação popular relacionada ao Veto nº 52/2019. Alerta à população sobre os Projetos de Lei do Congresso Nacional que irão tramitar na CMO sobre a execução orçamentária de 2020.,464218
5502,DIS,2020-03-05,Senado Federal,Comentários acerca da real eficácia do Estatuto da Criança e do Adolescente e sobre a necessidade de redução da menor idade penal.,464214
5502,DIS,2020-03-05,Senado Federal,Solidariedade e apoio às comemorações do Dia Internacional da Mulher.,464212
5502,DIS,2020-03-05,Senado Federal,Preocupação com a crise econômica do País e críticas à suposta falta de efetividade das reformas aprovadas nos últimos anos.,464206
5502,DIS,2020-02-18,Senado Federal,"Considerações sobre evento ocorrido no Clube Esperia, em São Paulo, destinado a debater a reforma tributária no País. Defesa da relevância do Senado na discussão da reforma tributária.",464106
5502,DIS,2020-02-13,Senado Federal,"Comentário sobre a precariedade dos serviços do transporte aéreo oferecidos à população, sobretudo no Estado do Mato Grosso, e a necessidade de aumentar a competitividade, reduzir o preço médio das passagens aéreas e baixar os custos do setor. Defesa do fim do monopólio do refino de querosene pela Petrobras a fim de baratear os preços dos combustíveis para a aviação.",464075
5502,DIS,2019-12-04,Senado Federal,Agradecimentos ao apoio e à solidariedade dos Parlamentares e amigos após S. Exa. ter passado mal em Plenário no último dia 19 de novembro.,462710
5502,PL,2019-11-19,Senado Federal,Posicionamento favorável ao julgamento de pedidos de impeachment de ministros do STF e à abertura da CPI da Lava Toga.,461882
5502,DIS,2019-09-17,Senado Federal,"Expectativa em torno da votação pelo Plenário do Senado do Projeto de Leino5.029/2019, que promove alterações na legislação eleitoral.",457918
5502,PL,2019-08-14,Senado Federal,"Registro sobre a vida da irmã Dulce, religiosa, notória por sua caridade e assistência aos pobres e necessitados.",456533
5502,DIS,2019-08-09,Senado Federal,"Registro do evento realizado na Esplanada dos Ministérios, para promover e estimular o consumo do tambaqui, peixe produzido no Estado de Rondônia.",456147
5502,DIS,2019-08-09,Senado Federal,Comentários sobre a necessidade de regularização para as terras dos produtores de madeira na região da Transamazônica.,456145
5502,DIS,2019-07-15,Senado Federal,"Anúncio da licença de S. Exª. para assumir o posto de secretário de governo do Estado de Tocantins. Congratulações com a posse do Senador Siqueira Campos, primeiro suplente de S. Exª.",455840
5502,DIS,2019-07-15,Senado Federal,"Exposição sobre a Proposta de Emenda à Constituição (PEC) do nepotismo, de autoria de S. Exª.",455836
5502,DIS,2019-07-15,Senado Federal,Reflexão sobre as motivações do Podemos para aprovação da reforma da previdência.,455832
5502,DIS,2019-07-12,Senado Federal,"Críticas à indicação, pelo Presidente da República, de Eduardo Bolsonaro à embaixada brasileira em Washington, nos Estados Unidos.",455884
5502,DIS,2019-07-12,Senado Federal,"Cobrança de instalação de uma Comissão Parlamentar de Inquérito (CPI) destinada a investigar os gastos federais com anistiados políticos, beneficiados pela Comissão da Anistia.",455880
5502,DIS,2019-05-29,Senado Federal,"Indignação com a forma como foi conduzida a sessão plenária do Senado referente à votação da Medida Provisória nº 870, de 2019, no dia 28 de maio.",453871
5502,DIS,2019-05-21,Senado Federal,"Indignação pelas circunstâncias que levaram ao feminicídio da servidora pública Débora Tereza Correa pelo ex-companheiro, em Brasília. Alerta para os altos índices de feminicídio ocorridos no Brasil.",453696
5502,DIS,2019-05-16,Senado Federal,"Lamento pela possível liberação, pelo Governo Federal, de garimpos no Estado de Roraima.",453563
5502,DIS,2019-05-08,Senado Federal,"Destaque para a importância do jornalista e estudioso da questão mineral, Lúcio Flávio Pinto. Análise sobre a possibilidade de exploração da Reserva Nacional do Cobre e seus Associados (Renca), localizada na fronteira entre os Estados do Pará e do Amapá. Comentários sobre a necessidade de aprimoração das políticas públicas relacionadas à mineração.",453373
5502,DIS,2019-03-26,Senado Federal,Apelo ao Ministério da Saúde (MS) e às comunidades indígenas para que cheguem a um entendimento quanto à medida adotada pelo Governo de municipalizar a saúde indígena.,451882
5502,DIS,2019-03-21,Senado Federal,Considerações sobre a prisão do ex-Presidente Michel Temer e de outros envolvidos.,451770
5502,DIS,2019-03-21,Senado Federal,Destaque para a importância da criação de consórcios de Governadores e apoio à criação do consórcio da Amazônia com o objetivo de superar as crises econômicas de determinados estados brasileiros.,451763
5502,DIS,2019-03-21,Senado Federal,"Esclarecimento sobre os direitos dos membros das Forças Armadas, a atual previdência para os militares e considerações sobre a reforma da previdência.",451762
5502,DIS,2019-02-12,Senado Federal,Agradecimento ao Ministério da Infraestrutura e ao DNIT de Rondônia pela presteza na solução do rompimento de uma cabeceira de ponte na BR-364. Defesa de um amplo debate sobre os critérios da política de licenciamento do País.,450764
