codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5012,DIS,2024-02-07,Senado Federal,Defesa das prerrogativas constitucionais do STF e apelo para que haja ponderação nos debates legislativos sobre eventuais alterações no atual modelo da Suprema Corte brasileira.,503792
5012,DIS,2023-10-31,Senado Federal,Discurso de despedida de S. Exa. do exercício do mandato de Senadorda República.,501838
5012,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
5012,DIS,2022-12-15,Senado Federal,Discurso de despedida de S. Exa. como Senador da República.,494790
5012,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5012,DIS,2022-08-29,Senado Federal,"Homenagem à senadora Ivete Appel da SIlveira e ao ex-senador Luiz Henrique da Silveira, falecido, por sua importância na vida pública nacional.",493520
5012,DIS,2022-06-29,Senado Federal,"Indignação com as denúncias de assédio sexual e moral contra o Presidente da Caixa Econômica Federal, Pedro Guimarães.",492291
5012,DIS,2022-06-22,Senado Federal,"Comentários sobre a prisão pela Polícia Federal do Sr. Milton Ribeiro, ex-Ministro da Educação, investigado por irregularidades na liberação de recursos do Fundo Nacional de Desenvolvimento da Educação do Ministério da Educação, e defesa de criação de Comissão Parlamentar de Inquérito (CPI) com vistas a investigar essas irregularidades.",492136
5012,DIS,2022-06-13,Senado Federal,Compromisso em buscar uma solução para o novo entendimento do Superior Tribunal de Justiça (STJ) que determinou como taxativo o rol de procedimentos de cobertura obrigatória da Agência Nacional de Saúde (ANS).,491721
5012,DIS,2021-12-16,Senado Federal,"Preocupação com a possível aprovação, pela Câmara dos Deputados, do Projeto de Lei nº 442, de 1991, que legaliza os jogos de azar no País.",486471
5012,DIS,2021-12-02,Senado Federal,"Preocupação com o avanço da Covid-19 e o surgimento de novas variantes, principalmente nos países em que há ausência de vacinas ou resistência à vacinação. Defesa da aprovação urgente, pela Câmara dos Deputados, do Projeto de Lei nº 1674, de 2021, de autoria de S. Exa., que propõe a criação do Passaporte Nacional de Imunização e Segurança Sanitária (PSS).",485882
5012,DIS,2020-02-18,Senado Federal,"Manifestação sobre os debates ocorridos na Comissão de Educação, nesta data, sobre a situação dos 12 milhões de jovens brasileiros que nem trabalham nem estudam. Considerações sobre a importância da educação para o desenvolvimento do País. Destaque para a notícia de que a limitação de bolsas concedidas pela Coordenação de Aperfeiçoamento de Pessoal de Nível Superior foi maior nos Estados do Nordeste.",464108
5012,DIS,2019-12-17,Senado Federal,"Homenagem ao patrono da educação brasileira, Paulo Freire.",463191
5012,PL,2019-08-27,Senado Federal,Registro dos esforços do Governo Federal para diversificar a matriz energética brasileira.,457014
5012,PL,2019-08-14,Senado Federal,"Registro sobre a vida da irmã Dulce, religiosa, notória por sua caridade e assistência aos pobres e necessitados.",456533
5012,DIS,2019-08-07,Senado Federal,Destaque à pluralidade de lideranças e de partidos políticos que defenderam a suspensão da transferência do ex-Presidente Lula para um presídio no Estado de São Paulo.,456425
5012,PL,2019-07-02,Senado Federal,"Registro sobre divulgação de fatos envolvendo o ex-governador do Estado da Bahia (BA), Jaques Wagner, e o Procurador da República Deltan Dallagnol, quando este, de forma arbitrária, comandou ações investigativas em prejuízo daquele.",455318
5012,DIS,2019-06-25,Senado Federal,Defesa pública institucional do Senado Federal,455033
5012,DIS,2019-05-23,Senado Federal,"Considerações sobre a aprovação da Medida Provisória nº 863, de 2018, que visa abrir o mercado de aviação civil no Brasil.",454025
5012,DIS,2019-05-15,Senado Federal,"Indignação pelos recentes cortes promovidos por decreto do Governo Federal na verba orçamentária destinada à educação básica e superior no País, principalmente na Universidade Federal de Roraima, que teve o maior corte orçamentário.",453649
5012,DIS,2019-05-14,Senado Federal,"Posicionamento contrário, tanto no mérito quanto na forma, ao decreto que flexibiliza o porte de arma para diversas categorias.",453548
5012,DIS,2019-05-14,Senado Federal,"Oposição ao Decreto nº 9.797, de maio de 2019, que ""altera o Decreto nº 9.785, de 7 de maio de 2019, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, para dispor sobre a aquisição, o cadastro, o registro, a posse, o porte e a comercialização de armas de fogo e de munição e sobre o Sistema Nacional de Armas e o Sistema de Gerenciamento Militar de Armas, e o Decreto nº 9.607, de 12 de dezembro de 2018, que institui a Política Nacional de Exportação e Importação de Produtos de Defesa"".",453546
5012,DIS,2019-05-09,Senado Federal,Preocupação acerca de decreto assinado pelo Presidente da República que amplia o porte de armas para diversos setores.,453339
5012,DIS,2019-04-11,Senado Federal,"Contentamento com a aprovação da Proposta de Emenda à Constituição (PEC) nº 61, de 2015, que permite a transferência direta de recursos federais para estados e municípios, por meio de emendas parlamentares individuais ao Orçamento.",452693
5012,DIS,2019-04-10,Senado Federal,Manifestação em prol da redução das desigualdades sociais existentes no Brasil.,452433
5012,PL,2019-02-20,Senado Federal,"Críticas a Proposta de Emenda à Constituição nº 6/2019, que trata da reforma da Previdência, apresentada pelo Governo Federal.",451099
5012,DIS,2019-02-19,Senado Federal,Destaque às diretrizes que nortearão o exercício do mandato de S. Exª.,451037
5012,DIS,2018-12-13,Senado Federal,Prestação de contas da atuação parlamentar e expectativas em torno do mandado de S. Exª. no Governo do estado do Acre (AC).,450302
5012,DIS,2018-12-11,Senado Federal,Repúdio à reformulação do programa Mais Médicos.,450024
5012,DIS,2018-10-16,Senado Federal,Preocupação com a possibilidade de eleição do candidato à Presidência da República Jair Bolsonaro.,448350
5012,DIS,2018-08-07,Senado Federal,Considerações a respeito da decisão de S. Exª. em participar das próximas eleições como vice-presidente da República.,447902
5012,PL,2018-05-23,Senado Federal,Elogio ao posicionamento do TSE a favor da destinação de trinta por cento do fundo eleitoral para a campanha de mulheres.,445624
5012,PL,2018-05-22,Senado Federal,Críticas ao incessante aumento de preços dos combustíveis no País.,445551
5012,DIS,2018-05-09,Senado Federal,Críticas ao Governo Federal pelo aumento do desemprego verificado nos últimos meses.,445031
5012,DIS,2018-04-11,Senado Federal,Satisfação em assumir a liderança do MDB no Senado Federal.,443645
5012,DIS,2018-04-04,Senado Federal,"Considerações sobre o mandato de S. Exª., suplente do Senador Walter Pinheiro.",443146
5012,DIS,2018-04-04,Senado Federal,Preocupação com as supostas ameaças à democracia brasileira.,443097
5012,DIS,2018-03-21,Senado Federal,"Discurso de despedida de S. Exª, Suplente do Senador Antônio Carlos Valadares, devido ao retorno do titular.",442701
5012,DIS,2018-02-27,Senado Federal,"Registro da necessidade de uma intervenção de natureza social no Estado do Rio de Janeiro  (RJ), em razão do aumento dos índices de violência e de desemprego.",441725
5012,DIS,2017-11-29,Senado Federal,Comentários sobre pesquisa do IBGE acerca do aumento do trabalho infantil no País.,438605
5012,DIS,2017-11-20,Senado Federal,"Comemoração do dia nacional da Consciência Negra, celebrado em 20 de novembro.",438159
5012,PL,2017-11-07,Senado Federal,"Críticas às declarações do Ministro Ives Gandra Martins, Presidente do Tribunal Superior do Trabalho, acerca da reforma trabalhista.",437848
5012,PL,2017-09-18,Senado Federal,"Exposição da ""Carta de Repúdio contra o Decreto nº 9.147, que extingue a Reserva Nacional do Cobre e Associados"", entregue a S. Exº pelos povos e organizações indígenas do estado do Amapá e do norte do Pará.",434665
5012,PL,2017-08-23,Senado Federal,Necessidade de controle e fiscalização mais rígidos por parte da Agência Nacional de Saúde sobre os planos privados de saúde.,434257
5012,DIS,2017-08-16,Senado Federal,Registro das comemorações de 70 anos do Partido Socialista Brasileiro (PSB).,434097
5012,DIS,2017-08-03,Senado Federal,"Comentários acerca da rejeição da denúncia contra o presidente Michel Temer por corrupção passiva, em votação ocorrida ontem na Câmara dos Deputados.",433705
5012,DIS,2017-06-21,Senado Federal,Considerações sobre a liberação das obras da BR-319 que liga o estado de Rondônia ao estado do Amazonas.,432846
5012,DIS,2017-05-24,Senado Federal,"Indignação com atos violentos envolvendo integrantes das Centrais Sindicais e a Polícia Militar, em manifestação ocorrida na Esplanada dos Ministérios.",431653
5012,DIS,2017-05-22,Senado Federal,Apelo ao Ministro de Estado da Integração Nacional por decreto de estado de calamidade no Município de Uiramutã-RR.,431613
5012,CIN,2017-05-22,Senado Federal,"Defesa do Presidente da República ante a delação do Sr. Joesley Batista, do grupo JBS.",431610
5012,PL,2017-05-22,Senado Federal,Defesa da renúncia do Presidente Michel Temer e reflexões sobre as consequências de eleições diretas ou indiretas para o cargo.,431606
5012,DIS,2017-05-19,Senado Federal,"Comentários sobre a política nacional e defesa de soluções democráticas para a crise política, mostrando-se as eleições diretas como a única saída viável.",431417
5012,DIS,2017-05-18,Senado Federal,Manifestação a favor do fim do mandato do Presidente Michel Temer.,431433
5012,DIS,2017-05-10,Senado Federal,"Balanço de audiências conjuntas realizadas nas Comissões Assuntos Sociais e de de Assuntos Econômicos, com o objetivo de debater a reforma trabalhista proposta pelo Governo Federal.",431268
