codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
70,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
70,DIS,2018-06-21,Senado Federal,Considerações acerca da forma como vem sendo conduzida a Operação Lava Jato.,446697
70,PL,2018-05-22,Senado Federal,Críticas ao incessante aumento de preços dos combustíveis no País.,445551
70,DIS,2017-10-19,Senado Federal,Destaque para o trabalho do Ministro de Minas e Energia em favor do setor de biocombustível do Brasil.,437223
70,DIS,2017-06-07,Senado Federal,Elogio à produtividade da agropecuária brasileira e apoio aos mecanismos que garantam seu incremento.,432160
70,DIS,2017-04-27,Senado Federal,Críticas à aprovação na Câmara dos Deputados da proposta de reforma trabalhista do Governo Federal.,430506
70,DIS,2017-03-21,Senado Federal,Defesa da realização de uma ampla reforma político-eleitoral.,429629
70,DIS,2017-03-14,Senado Federal,CrÍtica à possibilidade de alteração do limite de idade para recebimento do Benefício de Prestação Continuada.,429428
70,DIS,2013-07-16,Senado Federal,Apoio à Medida Provisória que institui o Programa Mais Médicos e dá outras providências.,401126
70,PDI,2013-04-18,Senado Federal,Referente ao PLV n. 4/2013.,398606
70,DIS,2012-08-28,Senado Federal,"Considerações acerca da Medida Provisória 565 de 2012, que institui linhas de crédito para agricultores em situação de emergência.",395750
70,DIS,2012-05-11,Senado Federal,"Apoio às mudanças efetuadas nas regras das cadernetas de poupança.
      ",392872
70,DIS,2012-03-14,Senado Federal,"Considerações acerca da atuação de S.Exa. quando do exercício da Liderança do Governo no Senado Federal.
      ",392018
70,DIS,2011-08-02,Senado Federal,"Prestação de contas sobre os fatos que levaram S.Exa. a renunciar ao cargo de Ministro de Estado dos Transportes.
      	",389158
70,DIS,2011-06-08,Senado Federal,"Despedida do cargo de Senadora da República para assumir o cargo de Ministra Chefe da Casa Civil da Presidência da República, em substituição a Antonio Palocci.
      ",388510
70,DIS,2010-05-06,Senado Federal,"Comentários a respeito da falta de ética na política nacional. Defesa da criação de uma Constituinte exclusiva para analisar e propor a reforma política. Defesa da aprovação sumária do projeto ""Ficha Limpa"" tão logo chegue ao Senado Federal.
      	",384307
70,DIS,2010-04-28,Senado Federal,Considerações sobre as propostas para reajuste das aposentadorias até três salários mínimos.,384152
70,DIS,2010-04-14,Senado Federal,"Votos de pesar pelo falecimento do Sr. Roberto Macieira, irmão da Dona Marly Sarney, e do ex-Governador de Alagoas, Luís Abílio. Críticas às dificuldades criadas pelo IBAMA para a implantação do Estaleiro Eisa Alagoas S/A.
      ",383966
70,DIS,2009-11-05,Senado Federal,"Otimismo perante a questão dos aposentados e pensionistas do Fundo Aerus. Lamento pelo fato de que a Câmara dos Deputados não tenha votado ontem projeto de interesse dos aposentados e expectativa de que isso ocorra na próxima semana.
      ",382061
70,DIS,2009-08-06,Senado Federal,"Resposta ao pronunciamento do Senador Renan Calheiros.  
      ",380444
70,DIS,2009-08-03,Senado Federal,"Situação vivida pelo Senado Federal aguardando reunião do Conselho de Ética, a ser realizada amanhã, pela manhã. Apelo ao Presidente José Sarney, no sentido de que se afaste da Presidência do Senado Federal. 
      ",380358
70,DIS,2009-03-31,Senado Federal,"Considerações a respeito da Operação Castelo de Areia, realizada pela Polícia Federal.
      ",378487
70,DIS,2009-03-19,Senado Federal,"Esclarecimentos sobre as denúncias envolvendo a administração do Senado Federal.  
      ",378270
70,DIS,2008-12-22,Senado Federal,"Homenagem à Confederação Nacional do Comércio de Bens, Serviços e Turismo (CNC) e destaque para o trabalho que o Serviço Social do Comércio (Sesc) realiza na área do Turismo Social, há 60 anos. Homenagem ao médico brasiliense Paulo Marcelo Hoff.
      ",377525
70,DIS,2008-11-17,Senado Federal,"Homenagem à memória do Senador Ramez Tebet, no transcurso hoje, 17 de novembro, dos dois anos de seu falecimento.
      	",376644
70,DIS,2006-07-12,Senado Federal,"Aprovação de projeto que denomina Aeroporto Wilson Fonseca o Aeroporto de Santarém - PA. Repúdio às escutas clandestinas feitas no escritório político de S.Exa. em Belém. 
      		",363545
70,DIS,2005-09-29,Senado Federal,"Manifestação sobre a necessidade da aprovação do projeto sobre a reforma eleitoral.  
      		",357755
70,DIS,2005-03-29,Senado Federal,"Relata a visita de S.Exa. aos municípios castigados pela seca no Estado de Alagoas.
      	",352980
70,DIS,2004-12-13,Senado Federal,Defesa do apoio do PMDB ao governo Lula.,350870
