codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5905,DIS,2024-05-15,Senado Federal,Argumentação em favor da proibição de candidaturas de pessoas condenadas por corrupção.,505741
5905,DIS,2024-03-05,Senado Federal,"Preocupação com o aumento dos casos de feminicídio e violência doméstica no País. Necessidade de ampliação da rede de proteção às mulheres. Pedido de apoio dos Parlamentares ao Projeto de Lei nº 116/2020, de autoria de S. Exa., que tipifica a violência virtual contra a mulher.",504376
5905,DIS,2024-02-28,Senado Federal,Alerta sobre a importância da vacinação infantil.,504198
5905,DIS,2024-02-07,Senado Federal,"Manifestação favorável ao Projeto de Lei no. 2253/2022, que limita a concessão do benefício da saída temporária para presos do regime semiaberto.",503826
5905,DIS,2023-05-04,Senado Federal,Apelo em favor da regulamentação das apostas esportivas no Brasil.,497260
5905,DIS,2023-04-13,Senado Federal,"Preocupação com o crescente índice de feminicídio no País. Defesa do Projeto de Lei nº 4196, de 2020, de autoria do Deputado Fábio Trad, que tem por objetivo enquadrar o feminicídio como tipo penal autônomo para evitar equívocos quanto à tipificação do crime e ampliar as políticas públicas de prevenção e repressão à violência de gênero.",496653
5905,DIS,2023-04-12,Senado Federal,"Indignação com o alto preço das passagens aéreas no Brasil e defesa de que novas empresas sejam atraídas para o mercado nacional por meio de melhorias do sistema tributário, de facilidades regulatórias e de um cenário de segurança jurídica, além de providências do Governo Federal para assegurar um cenário menos danoso ao consumidor, dentre elas a interiorização de aeroportos.",496690
5905,DIS,2023-04-04,Senado Federal,"Críticas ao Ministério da Educação pela suspensão do calendário de reforma do ensino médio, supostamente por prejudicar escolas que iniciaram as mudanças na grade de ensino. Ênfase nos dados do Índice de Desenvolvimento da Educação Básica (Ideb), nos quais o Estado do Rio Grande do Norte obteve a pior nota do País no ensino médio público da rede estadual no ano de 2021.",496567
5905,DIS,2023-03-23,Senado Federal,Defesa da educação como instrumento de diminuição da criminalidade.,496109
5905,DIS,2023-03-23,Senado Federal,"Repúdio a manifestações ofensivas de caráter misógino proferidas em redes sociais, especialmente à prática de calúnia, injúria e difamação utilizando o direito de liberdade de expressão, como justificativa. Agradecimento ao apoio recebido pelo Senado Federal, Polícia Federal, Ministério Público Eleitoral, Procuradora Regional da República e Ministério da Justiça.",496093
5905,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
5905,DIS,2023-03-16,Senado Federal,"Defesa de Projeto de Lei nº 334/2023, de autoria de S.Exa., que prorroga o prazo de vigência da desoneração da folha de pagamento.",496080
5905,DIS,2023-03-16,Senado Federal,"Preocupação com a paralisação de obras de escolas e creches por todo o Brasil. Destaque para a importância da educação infantil. Registro da criação de comissão, na CE, destinada a discutir sobre a reforma do ensino médio. Necessidade de o Senado Federal atualizar as metas contidas no Plano Nacional de Educação e discutir o piso salarial do magistério. Comentários acerca do Dia da Autonomia de Tocantins, celebrado em 18 de março.",496079
5905,DIS,2022-12-20,Senado Federal,"Discurso de despedida, balanço do mandato de S. Exa. e agradecimentos aos pares.",495049
5905,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
5905,DIS,2019-12-05,Senado Federal,Alegria pelo andamento das etapas para a construção do segundo maior aeroporto do Estado do Rio Grande do Sul (RS) e da obra para aumento da pista do Aeroporto de Passo Fundo (RS).,462611
5905,DIS,2019-12-05,Senado Federal,"Correção à fala anterior de S. Exa. sobre o valor do salário do Presidente da Companhia de Águas e Esgotos do Rio Grande do Norte (Caern). Exposição sobre o custo de empresas públicas do Rio Grande do Norte para os contribuintes e denúncia da manutenção de funcionários dessas empresas, como a Caern, ganhando altos salários.",462607
5905,DIS,2019-09-19,Senado Federal,"Leitura de nota do grupo Muda Senado sobre a rejeição pelo Plenário do Senado Federal de duas indicações para compor o Conselho Nacional do Ministério Público (CNMP) e sobre a aprovação de projeto de lei apelidado de “minirreforma eleitoral”. Esclarecimentos sobre a tramitação do citado projeto de lei, bem como sobre as medidas a serem adotadas pelo grupo contrário a sua aprovação.",457858
5905,DIS,2019-09-13,Senado Federal,"Posicionamento favorável à proposta de reforma tributária, sem a recriação da CPMF.",457535
5905,DIS,2019-08-15,Senado Federal,Exposição sobre a situação da segurança pública no Estado do Rio Grande do Norte. Pedido de investimentos em educação e segurança pública. Insatisfação com a decisão do Presidente da República que determinou a retirada de radares móveis nas vias.,456585
5905,DIS,2019-05-28,Senado Federal,Pesar pelo falecimento do cantor Gabriel Diniz.,454074
5905,PL,2019-05-23,Senado Federal,Críticas ao comportamento do Ministro da Educação em audiência na Câmara dos Deputados.,454028
5905,DIS,2019-05-23,Senado Federal,"Considerações sobre a aprovação da Medida Provisória nº 863, de 2018, que visa abrir o mercado de aviação civil no Brasil.",454025
5905,DIS,2019-05-09,Senado Federal,Preocupação acerca de decreto assinado pelo Presidente da República que amplia o porte de armas para diversos setores.,453339
5905,DIS,2019-04-17,Senado Federal,"Insatisfação com a rejeição da emenda supressiva ao Projeto de Lei nº 1.321, de 2019, de S. Exª., a qual não permitiria doação de valores a partido político por comissionados.",452937
