codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5732,DIS,2023-10-31,Senado Federal,Discurso de despedida de S. Exa. do exercício do mandato de Senadorda República.,501838
5732,DIS,2023-08-29,Senado Federal,"Leitura de texto escrito pelo Senador Rodrigo Pacheco, Presidente do Senado Federal, para a Folha de S. Paulo. Defesa da competência constitucional do Poder Legislativo para debater eventual descriminalização do uso de drogas, com críticas ao STF por suposta usurpação dessa prerrogativa.",500163
5732,DIS,2023-05-24,Senado Federal,"Críticas ao suposto ativismo judicial do STF e do Ministro Edson Fachin, em razão de decisão da Corte Suprema que rejeitou pedido formulado pelo Partido Podemos de suspensão da Resolução nº 487 do CNJ, que institui a política antimanicomial do Poder Judiciário. Preocupação com o julgamento no Supremo da descriminalização da posse de drogas para uso pessoal.",497898
5732,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República e breve histórico de sua trajetória política no Congresso Nacional.,495184
5732,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5732,DIS,2022-12-20,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senadora da República e breve histórico de sua trajetória política.,495051
5732,PL,2022-12-16,Congresso Nacional,"Cumprimentos aos Parlamentares da Frente Parlamentar da Agropecuária pelo acordo de procedimento que possibilitou a votação de derrubada e manutenção de vetos. Ponderação sobre os Vetos 37 e 45/2022, do interesse do Estado de Santa Catarina, para que sejam votados na próxima sessão do Congresso Nacional, juntamente com o Projeto de Lei Orçamentária Anual de 2023.",495367
5732,DIS,2022-10-05,Senado Federal,"Comentários sobre a Medida Provisória nº 1075, de 2021, que trata da ampliação do acesso de estudantes às bolsas de estudo do Prouni, relatada por S. Exa. Alegria com o desempenho dos candidatos do Partido Liberal (PL) para as vagas do Congresso Nacional.",493856
5732,PPP,2022-05-26,Senado Federal,"Como Relatora - Para proferir parecer sobre a Medida Provisória (MPV) n° 1091, de 2021, que ""Dispõe sobre o valor do salário mínimo a vigorar a partir de 1º de janeiro de 2022"".",491191
5732,DIS,2022-05-03,Senado Federal,"Breve histórico da economia da Zona Franca de Manaus no início do século XX. Destaque para a baixa arrecadação de tributos do Estado da Amazônia. Críticas ao Presidente da República, Jair Bolsonaro, pela publicação de decreto que reduz o Imposto sobre Produtos Industrializados (IPI) sobre produtos de todo o País que também são produzidos na Zona Franca de Manaus. Apelo ao Supremo Tribunal Federal (STF) para que atue em vias de invalidar este decreto.",490308
5732,DIS,2022-02-16,Senado Federal,"Apresentação do Requerimento nº 90, de 2022, para a instalação de uma comissão externa para acompanhar e apoiar o Município de Petrópolis-RJ, em decorrência dos desastres ocorridos por conta das fortes chuvas. Solidariedade aos moradores do Município e às famílias das vítimas.",488430
5732,DIS,2022-02-15,Senado Federal,"Exposição sobre a atuação da Bancada Feminina do Senado Federal no último ano legislativo, sob a liderança de S. Exa.. Críticas ao Presidente da República pelo Veto nº 59, de 2021, aposto ao Projeto de Lei nº 4.968, de 2019, que institui o Programa de Proteção e Promoção da Saúde Menstrual. Apelo aos pares pela rejeição do veto aposto ao citado projeto, bem como aos Deputados Federais pela aprovação do Projeto de Lei da Câmara nº 130, de 2011, que estabelece multa para combater a diferença de remuneração verificada entre homens e mulheres no Brasil.",488313
5732,DIS,2019-12-18,Senado Federal,Reflexões sobre a necessidade de medidas executivas para se implementar as mudanças aprovadas no pacote anticrime e garantir efetividade ao sistema de segurança pública.,463378
5732,DIS,2019-12-18,Senado Federal,Retrospectiva do desempenho parlamentar de S. Exa. no exercício de 2019 em prol do Estado de Mato Grosso (MT).,463377
