codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5352,DIS,2023-12-11,Senado Federal,Insatisfação com a prestação de serviço das companhias aéreas no País.,503009
5352,DIS,2023-12-05,Senado Federal,Defesa do fim do voto secreto no Senado Federal para escolha de ministros do STF.,502876
5352,DIS,2023-07-05,Senado Federal,"Defesa da aprovação de PEC que possibilite candidaturas avulsas, sem filiação a partidos políticos. Críticas ao pedido de cassação do Prefeito de Joinville-SC, Adriano Silva.",498861
5352,DIS,2023-06-13,Senado Federal,Considerações sobre a reassunção de S. Exa. ao mandato de Senador da República pelo Estado de Rondônia. Destaque para o posicionamento político de S. Exa. de oposição ao atual Governo.,498266
5352,DIS,2023-04-18,Senado Federal,Insatisfação com o cancelamento da Sessão do Congresso Nacional convocada para esta data. Preocupação com o cumprimento de futuros acordos feitos com a Liderança do Governo. Manifestação favorável à instalação da CPMI para apurar os atos do dia 8 de janeiro de 2023.,496765
5352,DIS,2023-04-12,Senado Federal,"Comentários sobre o edital de chamamento público lançado pelo Ministério da Justiça, para ampliar o programa de segurança nas escolas, com destaque para a relatoria de autoria ao Projeto de Lei no. 1372/2022, de S. Exa., que autoriza o Poder Executivo a implantar serviço de monitoramento de ocorrências de violência escolar. Comentários acerca da Lei no. 13935/2019, que versa sobre a prestação de serviços de psicologia e de serviço social nas redes públicas de educação básica.",496667
5352,DIS,2023-03-15,Senado Federal,"Defesa do Projeto de Lei n] 661, de 2023, de autoria de S. Exa., que dispõe sobre a indicação de brasileiros aos cargos de presidente e de diretor em instituições financeiras ou de desenvolvimento, bilaterais ou multilaterais.",496124
5352,DIS,2023-03-13,Senado Federal,"Considerações sobre a importância de o Congresso Nacional regulamentar o uso terapêutico do canabidiol (CBD), no Brasil.",495874
5352,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5352,DIS,2022-12-20,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senadora da República e breve histórico de sua trajetória política.,495051
5352,NID,2022-12-20,Senado Federal,N/A,495037
5352,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
5352,DIS,2022-05-11,Senado Federal,"Críticas ao Governo Federal pelas supostas incongruências com que tem tratado a política energética do Brasil, notadamente no que tange à gestão da Petrobras e da Eletrobras.",490794
5352,DIS,2020-03-09,Senado Federal,Defesa das políticas liberais adotadas pelo atual Governo Federal em detrimento aos Governos comandados pelo Partido dos Trabalhadores (PT).,464241
5352,DIS,2020-02-10,Senado Federal,"Avaliação da importância do Fundeb e do desenvolvimento da qualidade da educação nos Municípios brasileiros, com treinamento adequado aos professores.",463666
5352,DIS,2020-02-05,Senado Federal,Expectativa com a possibilidade de apreciação da reforma tributária pelo Senado Federal neste ano.,463701
5352,DIS,2020-02-04,Senado Federal,Registro de agenda cumprida por S. Exa. em Municípios do Estado de Rondônia durante o período de recesso parlamentar.,463620
5352,DIS,2019-12-02,Senado Federal,"Repúdio à ação policial em baile funk na favela Paraisópolis/SP, que resultou em nove mortos.",462594
5352,DIS,2019-12-02,Senado Federal,Indignação com o episódio que deixou nove mortos e doze feridos em um baile funk de Paraisópolis/SP. Anúncio de audiência pública que será realizada pela CDH a fim de debater a violência no País.,462592
5352,DIS,2019-11-04,Senado Federal,"Satisfação pela sanção da Lei n º 13.895, de 2019, que institui a Política Nacional de Prevenção do Diabetes.",460659
5352,DIS,2019-10-31,Senado Federal,"Lamento pelo fato de o GDF ter proposto à Câmara Legislativa alteração na Lei Orgânica do DF, reduzindo os investimentos no desenvolvimento científico e tecnológico. Destaque para o projeto dos Centros de Desenvolvimento Regional, que faz parte da Comissão de Desenvolvimento Regional.",460655
5352,DIS,2019-10-31,Senado Federal,"Reflexão sobre a origem e a importância social do FGTS. Preocupação com a perda da função social do FGTS ante a possibilidade de privatização da Caixa Econômica Federal, que realiza a gestão desse fundo. Expectativa de aprovação da Medida Provisória nº 889, de /2019, que modifica determinadas regras de utilização do FGTS.",460650
5352,PL,2019-10-29,Senado Federal,Comentários sobre o andamento de proposta legislativa no Senado para tratar das aposentadorias em razão da periculosidade.,460718
5352,DIS,2019-10-29,Senado Federal,"Preocupação com a redução de recursos para a educação previstos no Orçamento Geral da União para 2020. Defesa de Projeto de Lei, de autoria de S. Exa., que amplia o volume de recursos destinados à educação.",460689
5352,DIS,2019-10-22,Senado Federal,Críticas ao Governo Federal pela inabilidade em lidar com o derramamento de óleo no litoral do Nordeste.,460184
5352,DIS,2019-10-16,Senado Federal,"Lamento pelo falecimento do Sr. Luiz Lacerda, empresário do Estado de Pernambuco (PE).",459968
5352,DIS,2019-10-09,Senado Federal,"Elogio à CCJ pela aprovação de um dos projetos do pacote anticrime, do Ministro Sergio Moro.",459849
5352,DIS,2019-10-09,Senado Federal,Insatisfação com a ausência de aumento real para o salário mínimo no País.,459836
5352,DIS,2019-09-13,Senado Federal,"Síntese do conteúdo tratado em audiência pública promovida pela Frente Parlamentar de Ciência, Tecnologia, Pesquisa e Inovação.",457534
5352,DIS,2019-09-13,Senado Federal,Pesar pelo falecimento do ex-Senador Odacir Soares.,457531
5352,DIS,2019-07-08,Senado Federal,Exposição da história da educação brasileira do período militar até os dias atuais. Reflexão sobre como melhorar a situação do País na área da educação.,455270
5352,DIS,2019-07-08,Senado Federal,"Comentários sobre a questão da energia elétrica no País, com destaque para o Estado de Rondônia, onde o preço da energia tem sofrido reajustes. Registro do Projeto de Lei nº 661, de 2019, que estende para 24 horas por dia o desconto nas tarifas de energia elétrica para o bombeamento de água na irrigação da agricultura familiar.",455268
5352,DIS,2019-07-01,Senado Federal,"Comentários sobre matéria publicada pelo jornal Zero Hora, referente à demora na concessão de aposentadorias pelo Instituto Nacional do Seguro Social (INSS) do Rio Grande do Sul (RS).",455236
5352,DIS,2019-06-18,Senado Federal,Comentários sobre o anúncio do Presidente da República da possibilidade de redução de impostos sobre importações de produtos eletrônicos e preocupação com as consequências negativas à Zona Franca de Manaus e à produção nacional.,454837
5352,PL,2019-05-29,Senado Federal,"Alerta para o possível aumento no desmatamento da Floresta Amazônica em razão do uso dos recursos do Fundo Amazônia para a desapropriação fundiária de terras públicas ocupadas irregularmente, e críticas às propostas do Governo Federal de alterações na estrutura, composição e critérios para aplicação de recursos do Fundo Amazônia.",453880
5352,DIS,2019-05-21,Senado Federal,"Registro da apresentação, perante a Mesa do Senado Federal, de requerimentos de informações aos Ministros Onyx Lorenzoni e Santos Cruz, com o objetivo de esclarecer quem são os Parlamentares ou partidos políticos que atrapalham o Governo, conforme afirma o Presidente da República, Jair Bolsonaro.",453723
5352,DIS,2019-05-20,Senado Federal,"Exposição em defesa da educação e da importância da pesquisa científica para o desenvolvimento do País, com destaque para o trabalho realizado pela Embrapa, o Instituto Butantã e as universidades públicas.",453768
5352,DIS,2019-05-20,Senado Federal,"Defesa da importância da reforma tributária solidária e progressiva para solucionar o problema fiscal brasileiro, com destaque, também, para a necessidade de combate à sonegação.",453766
5352,DIS,2019-05-20,Senado Federal,Reflexão sobre as relações entre o Poder Executivo e o Poder Legislativo.,453762
5352,DIS,2019-04-29,Senado Federal,Destaque para o 1º de maio. Manifestação contrária à reforma trabalhista aprovada pelas duas Casas. Reflexão sobre os altos indicadores de desemprego e a precariedade das relações de trabalho no País. Considerações sobre entrevista do economista Hélio Beltrão à revista Veja. Preocupação com o aumento do número de brasileiros no nível de extrema pobreza. Críticas à defesa da reforma da previdência como solução para o déficit fiscal brasileiro. Registro sobre a necessidade de preservação de instituições como o Banco do Nordeste e o BNDES.,453158
5352,DIS,2019-04-29,Senado Federal,"Breve histórico acerca do Dia Mundial da Educação, comemorado dia 28 de abril. Comentários sobre a importância do papel desempenhado pelos professores na sociedade. Preocupação com metas não alcançadas no Plano Nacional de Educação, de acordo com relatório de 2018. Alerta para o correto uso de recursos públicos destinados à educação.",453152
5352,DIS,2019-04-08,Senado Federal,Comentários sobre a comitiva de ministros de estado que visitarão o estado de Roraima no dia 11 de abril.,452635
5352,PL,2019-04-08,Senado Federal,Análise da indicação de Abraham Weintraub para comandar o Ministério da Educação no lugar de Ricardo Vélez Rodrigues.,452631
