codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6331,DIS,2024-05-15,Senado Federal,Argumentação em favor da proibição de candidaturas de pessoas condenadas por corrupção.,505741
6331,DIS,2024-03-19,Senado Federal,Registro do marco de dez anos do início da Operação Lava Jato e exposição sobre a importância histórica da Operação.,504840
6331,DIS,2024-03-19,Senado Federal,"Registro de visita feita por S. Exa., como Presidente da Frente Parlamentar de Logística e Infraestrutura (Frenlogi), à empresa de navegação de container South Florida Container Terminal do Grupo ""APM Terminals-Maersk"", no Porto de Miami, nos Estados Unidos da América.",504838
6331,DIS,2023-10-17,Senado Federal,"Elogios ao Presidente do Senado Federal, Senador Rodrigo Pacheco, pela defesa das prerrogativas do Senado Federal no Fórum Esfera Internacional, em Paris. Considerações sobre o voto em separado proferido por S. Exa. na CPMI dos atos do dia 8 de janeiro, ressaltando a suposta omissão do Governo Federal em evitar o ocorrido.",501436
6331,DIS,2023-10-10,Senado Federal,Manifestação contrária ao aborto e à liberação das drogas no País.,501175
6331,DIS,2023-09-27,Senado Federal,"Exposição sobre o Dia Nacional da Doação de Órgãos, celebrado na presente data. Considerações a favor do Projeto de Lei no. 2297/21, de autoria de S. Exa., que trata da Busca Ativa Escolar, apoiando os governos estaduais a terem dados referentes à evasão escolar.",500866
6331,DIS,2023-09-25,Senado Federal,"Registro da participação de S. Exa. no 2º Encontro do Grupo Liberdade e Democracia, em Buenos Aires.",500560
6331,DIS,2023-09-25,Senado Federal,"Insatisfação com a relação estabelecida pelo Governo Federal com a iniciativa privada. Posicionamento contrário ao voto de qualidade em favor do Estado em caso de empate nos julgamentos do Conselho Administrativo de Recursos Fiscais (Carf), restabelecido pela Lei nº 14689, de 2023. Críticas ao texto da PEC nº 45, de 2019, que trata da reforma tributária.",500559
6331,DIS,2023-09-13,Senado Federal,"Insatisfação com a fala do Presidente Lula garantindo que o Presidente russo não seria preso caso viesse ao Brasil. Críticas à escolha da ex-Presidente Dilma para o comando do Novo Banco de Desenvolvimento dos Brics. Cobrança à AGU para que questione o Presidente da República sobre a divulgação de informações falsas, ao declarar que desconhecia a existência do Tribunal Penal Internacional durante uma entrevista à imprensa internacional. Solidariedade ao jornalista Alexandre Garcia em virtude de suposta violação ao seu direito de liberdade de expressão.",500556
6331,DIS,2023-06-28,Senado Federal,Satisfação com o depoimento do Coronel Jorge Eduardo Naime na CPMI que investiga os atos do dia 8 de janeiro e preocupação com possíveis violações de direitos humanos e do devido processo legal em razão da manutenção da prisão do depoente.,498725
6331,DIS,2023-05-23,Senado Federal,Indignação com o julgamento da descriminalização do porte de drogas pelo STF.,497754
6331,DIS,2023-05-02,Senado Federal,"Comentários sobre o Projeto de Lei nº 93/2023-Complementar, que institui regime fiscal sustentável para garantir a estabilidade macroeconômica do País e criar as condições adequadas ao crescimento socioeconômico. Críticas à gestão do Governo Federal.",497126
6331,DIS,2023-03-21,Senado Federal,Apoio ao Senador Sérgio Moro em virtude de falas do Presidente Lula. Comentário sobre a Operação Lava Jato. Suporte à execução de prisão após decisão judicial em segunda instância.,496232
6331,DIS,2023-03-21,Senado Federal,"Críticas ao Governo Federal, ao Supremo Tribunal Federal e ao Ministro Ricardo Lewandowski, com relação à decisão judicial que anulou trechos da Lei nº 13.303/2016, também chamada de Lei das Estatais, que impediam a indicação de ministros de Estado e secretários estaduais e municipais para diretorias e conselhos de administração de empresas estatais, assim como a reprovação da alteração de parecer do Procurador-Geral da República, Augusto Aras, que argumenta a inconstitucionalidade dessa Lei.",496230
6331,DIS,2023-03-16,Senado Federal,Considerações sobre a crise de segurança pública no Estado do Pará e críticas ao Governo Estadual pelo suposto equívoco na adoção de medidas para enfrentamento do crime organizado.,496064
6331,DIS,2023-03-14,Senado Federal,"Preocupação com os ataques criminosos ocorridos desde o dia 13 de março em diversos municípios do Estado do Rio Grande do Norte. Críticas à atuação da Governadora do Estado, Fátima Bezerra, diante das ações supostamente ordenadas por uma facção criminosa.",495960
