codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5988,DIS,2024-04-24,Senado Federal,Destaque para a pesquisa do Instituto Jones dos Santos Neves sobre a redução da taxa de pobreza e extrema pobreza no Brasil.,505578
5988,DIS,2024-03-05,Senado Federal,"Preocupação com o aumento dos casos de feminicídio e violência doméstica no País. Necessidade de ampliação da rede de proteção às mulheres. Pedido de apoio dos Parlamentares ao Projeto de Lei nº 116/2020, de autoria de S. Exa., que tipifica a violência virtual contra a mulher.",504376
5988,DIS,2023-03-29,Senado Federal,"Insatisfação pelo fato de a Senadora Soraya Thronicke ter sido desrespeitada ao vivo, durante a participação em uma entrevista em programa de rádio. Manifestação a favor da proteção da vida do Senador Sérgio Moro e sua família. Defesa da redução da maioridade penal. Críticas às legislações que reprimem a alienação parental.",496528
5988,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
5988,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República e breve histórico de sua trajetória política no Congresso Nacional.,495184
5988,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5988,DIS,2022-12-20,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senadora da República e breve histórico de sua trajetória política.,495051
5988,DIS,2022-12-20,Senado Federal,"Discurso de despedida, balanço do mandato de S. Exa. e agradecimentos aos pares.",495049
5988,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494548
5988,DIS,2022-12-13,Senado Federal,Discurso de despedida e breve relato da atuação de S. Exa. como Senadora da República durante o exercício de seus mandatos.,494668
5988,DIS,2022-12-13,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,494667
5988,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5988,DIS,2022-12-06,Senado Federal,Breve histórico da atuação de S. Exa. como Senador da República durante os dois mandatos. Agradecimentos a todos que partilharam dessa trajetória. Expectativa de que os Senadores eleitos para a próxima Legislatura estejam à altura dos desafios a serem enfrentados.,494464
5988,DIS,2020-10-20,Senado Federal,Considerações acerca da importância do investimento em ciência e tecnologia para o desenvolvimento econômico e para o desenvolvimento da vacina.,472112
5988,DIS,2020-02-04,Senado Federal,"Prestação de contas dos atos, articulações e projetos apresentados por S. Exa. durante o primeiro ano de seu mandato como Senador da República pelo Estado do Ceará (CE).",463637
5988,DIS,2019-11-12,Senado Federal,Destaque para os avanços e as melhorias para o País realizados pelo Presidente Jair Bolsonaro em seus 300 dias de governo.,461430
5988,DIS,2019-10-09,Senado Federal,"Registro sobre o processo de regularização fundiária no Brasil, e considerações sobre a importância de convocar, para discutir a questão, o Secretário de Assuntos Fundiários, Nabhan Garcia, a Ministra de Estado da Agricultura, Pecuária e Abastecimento (MAPA), Tereza Cristina, e o Presidente do Instituto Nacional de Colonização e Reforma Agrária (Incra), Geraldo José Camara.",459897
5988,DIS,2019-09-17,Senado Federal,Cobrança ao Senado da instalação de CPI para investigar as ONGs na Amazônia.,457920
5988,PL,2019-06-12,Senado Federal,"Manifestação a favor da Operação Lava Jato. Defesa do Ministro da Justiça e Segurança Pública, Sérgio Moro, e do Procurador da República Deltan Dallagnol.",454732
5988,DIS,2019-04-23,Senado Federal,Explicações pessoais sobre a decisão do Tribunal Regional Eleitoral (TRE) de Mato Grosso de cassar o mandato de S. Exª por abuso de poder econômico e de prática de caixa dois.,452727
5988,CIN,2019-02-14,Senado Federal,Agradecimento ao apoio recebido para a criação da CPI das Cortes Superiores do Poder Judiciário e esclarecimentos sobre o arquivamento do requerimento desta CPI.,450955
5988,DIS,2019-02-11,Senado Federal,Manifestação de condolências às famílias do jornalista Ricardo Boechat e do piloto Ronaldo Quattrucci.,450751
5988,DIS,2019-02-11,Senado Federal,Lamento pelo falecimento do jornalista Ricardo Boechat e encaminhamento de voto de pesar à família e amigos.,450746
5988,DIS,2019-02-07,Senado Federal,"Breve histórico sobre a vida pessoal, social, profissional e política de S. Exª.  Expectativas quanto a atuação parlamentar de S. Exª para a melhoria do País.",450682
