codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5959,DIS,2023-05-24,Senado Federal,"Críticas ao suposto ativismo judicial do STF e do Ministro Edson Fachin, em razão de decisão da Corte Suprema que rejeitou pedido formulado pelo Partido Podemos de suspensão da Resolução nº 487 do CNJ, que institui a política antimanicomial do Poder Judiciário. Preocupação com o julgamento no Supremo da descriminalização da posse de drogas para uso pessoal.",497898
5959,DIS,2023-05-23,Senado Federal,Solidariedade ao Partido Podemos em razão da decisão do STF que rejeitou seu pedido de suspensão da Resolução nº 487 do CNJ.,497705
5959,DIS,2023-05-16,Senado Federal,"Inconformidade com a Resolução nº 487/2023, publicada pelo Conselho Nacional de Justiça (CNJ), que institui a Política Antimanicomial do Poder Judiciário, pois supostamente resultará em uma convivência da sociedade com condenados por crimes graves, aumentando a insegurança.",497478
5959,DIS,2023-05-15,Senado Federal,"Defesa da retirada dos artigos 11 e 12 da Medida Provisória nº 1.147/2022, que repassa recursos do sistema S para a Embratur. Importância da adoção de um Plano Nacional de Educação no país.",497361
5959,DIS,2023-05-15,Senado Federal,"Saudação à escolha de Camilo Santana para ocupar o cargo de Ministro de Estado da Educação. Considerações sobre a educação no estado do Ceará. Importância da aprovação do Projeto de Lei n° 88/2023, que estabelece a Lei de Responsabilidade Educacional.",497358
5959,DIS,2023-05-15,Senado Federal,Considerações sobre supostas irregularidades de resultados de jogos de futebol com vistas a fraudes em casas de apostas eletrônicas.,497357
5959,DIS,2023-05-10,Senado Federal,"Aplausos ao STF pela decisão no tocante à Arguição de Descumprimento de Preceito Fundamental (ADPF) nº 334, que impõe o fim das prisões especiais para portadores de diploma de ensino superior.",497269
5959,DIS,2023-04-17,Senado Federal,"Reprovação dos gastos do Governo Lula, destacando o tamanho da comitiva da viagem à China e os preços dos móveis adquiridos para o Palácio da Alvorada. Reflexões acerca da relevância da China na balança comercial do Brasil, relacionando o aumento da exportação de carne à diminuição do consumo interno do gênero alimentício. Breve histórico da relação da JBS com os governos petistas.",496738
5959,DIS,2023-04-14,Senado Federal,Temor da inviabilização da CPMI destinada a investigar os atos de 8 de janeiro pela retirada de assinaturas dos parlamentares.,496697
5959,DIS,2023-03-27,Senado Federal,"Críticas ao Governo Federal, ao PT e ao Presidente Lula.",496337
5959,DIS,2023-03-20,Senado Federal,Lamento pela incineração de medicamentos de alto custo usados no tratamento de doenças raras durante a gestão do governo anterior diante da possibilidade do uso desses medicamentos em outros setores do Executivo ou unidades da Federação.,496210
5959,DIS,2023-03-16,Senado Federal,"Manifestação de pesar pelos dois anos do falecimento do Senador Major Olímpio, em decorrência da Covid-19, com destaque ao histórico de sua vida política e elogios ao seu comprometimento, honestidade, retidão e combatividade.",496051
5959,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5959,DIS,2022-12-13,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,494667
5959,DIS,2020-03-13,Senado Federal,"Exposição de partes do conteúdo de artigo de autoria de S. Exa., publicado no Correio Braziliense, cujo título é ""O Canto da Gente a Gente Escolhe""sobre o fato de Brasília não ser reconhecida como polo de desenvolvimento do interior do País às vésperas do aniversário de 60 anos de sua fundação. Apelo para que o Serviço do Patrimônio da União (SPU) priorize a regularização da situação fundiária do Distrito Federal. Destaque para a importância da manutenção da Superintendência Regional do INCRA no Distrito Federal e Entorno de nº 28 (SR/28/DFE). Apelo à Ministra Tereza Cristina para preservar o Fundo Constitucional para o Distrito Federal.",464306
5959,DIS,2020-03-13,Senado Federal,Leitura de texto do Prof. Franklin Ferreira sobre a pandemia do coronavírus.,464305
5959,DIS,2020-03-13,Senado Federal,Reflexão sobre as medidas preventivas que devem ser tomadas pelo Governo e pela população para conter a disseminação do coronavírus e para não prejudicar em excesso a economia brasileira. Relato sobre a possibilidade de contágio do coronavírus entre os senadores. Posicionamento favorável ao fim da discussão sobre o orçamento impositivo e uso desse dinheiro pelo Governo Federal para enfrentar a crise provocada pelo coronavírus. Alerta para a população ter precaução sobre as notícias falsas sobre a doença.,464301
5959,PL,2020-03-09,Senado Federal,Insatisfação com a condição de ouvinte imposta aos parlamentares do Estado de Roraima durante o encontro com Presidente da República em sua primeira visita ao Estado.,464251
5959,DIS,2020-03-05,Senado Federal,Aprovação da participação popular relacionada ao Veto nº 52/2019. Alerta à população sobre os Projetos de Lei do Congresso Nacional que irão tramitar na CMO sobre a execução orçamentária de 2020.,464218
5959,DIS,2020-03-05,Senado Federal,"Considerações sobre a PEC nº 187/2019, que trata da extinção dos fundos públicos. Defesa da manutenção do Fundo Nacional de Desenvolvimento Científico e Tecnológico, o FNDCT. Necessidade de investimento em inovação tecnológica na construção civil com expectativa de aumento de produtividade, redução de desperdícios e retomada de crescimento do setor.",464216
5959,DIS,2020-03-05,Senado Federal,"Reflexão a respeito dos perigos da polarização política da população para a democracia e as instituições do País, com referência ao livro ""Como as democracias morrem"", dos autores Daniel Ziblatt e Steven Levitsky.",464208
5959,DIS,2019-12-18,Senado Federal,Prestação de contas de S. Exa. do primeiro ano de mandato como Senadora pelo Distrito Federal (DF).,463374
5959,DIS,2019-12-18,Senado Federal,"Lamento pelo baixo desempenho do Brasil no resultado de 2018 do Programa Internacional de Avaliação de Estudantes, o Pisa.",463368
5959,DIS,2019-12-05,Senado Federal,Considerações acerca do aumento da violência contra as mulheres no País.,462612
5959,DIS,2019-12-05,Senado Federal,Alegria pelo andamento das etapas para a construção do segundo maior aeroporto do Estado do Rio Grande do Sul (RS) e da obra para aumento da pista do Aeroporto de Passo Fundo (RS).,462611
5959,DIS,2019-12-02,Senado Federal,Destaque à importância de se combater a corrupção no País.,462601
5959,DIS,2019-12-02,Senado Federal,"Alegria com o Prêmio Wise Awards, da Fundação Qatar, recebido pelo Programa Criança Feliz coordenado pelo Ministério da Cidadania.",462600
