codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5899,DIS,2024-04-09,Senado Federal,"Defesa da permanência do Sr. Jean Paul Prates à frente do comando da Petrobras e insatisfação com as declarações feitas pelo Ministro de Minas e Energia, Alexandre Silveira, em entrevista ao jornal Folha de S. Paulo sobre a gestão do presidente da empresa.",505327
5899,DIS,2023-10-04,Senado Federal,"Defesa do Projeto de Lei nº 3670, de 2023, de autoria de S. Exa., que retira a obrigatoriedade de cobrança de FGTS e Contribuição Previdenciária sobre a remuneração recebida por empregados já aposentados e cria cadastro específico de vagas de trabalho para aposentados junto ao Sistema Nacional de Emprego",501073
5899,DIS,2023-09-20,Senado Federal,"Defesa da aprovação do Projeto de Lei nº 2.903/2023, que dispõe sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas. Críticas à atuação do Ibama na desocupação de terras indígenas.",500676
5899,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5899,DIS,2022-10-06,Senado Federal,"Defesa do Governo Bolsonaro contra as alegações de não ter comprado vacinas durante a pandemia. Indignação contra a decisão do Presidente do TSE, Ministro Alexandre de Moraes, de proibir o pronunciamento público do Ministro da Saúde sobre a campanha de vacinação contra a poliomielite e de multivacinação e pela decisão de bloquear o empreendedor Luciano Hang aos seus 12 milhões de seguidores em redes sociais.",493874
5899,DIS,2022-10-05,Senado Federal,"Comentários sobre a Medida Provisória nº 1075, de 2021, que trata da ampliação do acesso de estudantes às bolsas de estudo do Prouni, relatada por S. Exa. Alegria com o desempenho dos candidatos do Partido Liberal (PL) para as vagas do Congresso Nacional.",493856
5899,POR,2022-02-23,Senado Federal,"Considerações sobre o Projeto de Lei Complementar (PLP) n° 11, de 2020, que ""Altera a Lei Complementar nº 87, de 13 de setembro de 1996 (Lei Kandir), para dispor sobre substituição tributária do Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) nas operações com combustíveis"".",488610
5899,DIS,2022-02-22,Senado Federal,"Apelo ao Presidente do Congresso Nacional, Senador Rodrigo Pacheco, para que seja incluído na pauta da próxima sessão do Congresso Nacional o Veto nº 8, de 2022, que dispõe sobre o Programa de Reescalonamento do Pagamento de Débitos no Âmbito do Simples Nacional (Relp).",488548
5899,DIS,2022-02-15,Senado Federal,"Satisfação com o crescimento das exportações brasileiras em 2022, especialmente no que tange ao desempenho do agronegócio. Defesa do fortalecimento das relações bilaterais entre Brasil e Rússia, com proveito direto para a economia do País.",488350
5899,DIS,2021-10-06,Senado Federal,"Preocupação com a crise hídrica que assola o País. Defesa de Projeto de Lei nº 3386, de 2021, de autoria de S. Exa., que cria o Programa de Incentivo ao Desenvolvimento da Energia Eólica e da Solar Fotovoltaica (PIDES).",484212
5899,DIS,2021-10-05,Senado Federal,"Referência à última análise da corretora XP Investimentos, que demonstra a redução de confiança nas organizações e nas instituições brasileiras, incluindo o Senado Federal.",484142
5899,DIS,2021-10-05,Senado Federal,Cumprimentos ao Estado de Roraima que completa 33 anos de existência com a promulgação da Constituição de 1988.,484138
5899,DIS,2020-02-18,Senado Federal,"Esclarecimento sobre emenda apresentada por S. Exa. à Medida Provisória nº 901/2019, que trata da regularização fundiária dos Estados de Roraima e Amapá, buscando ampliar as terras destinadas à produção rural.",464126
5899,POR,2019-11-12,Senado Federal,Comentário sobre o acordo entre Brasil e Estados Unidos que trata da base de lançamento de Alcântara.,461411
5899,DIS,2019-10-24,Senado Federal,Reflexão sobre o julgamento do STF que decidirá pela possibilidade da prisão de condenados em segunda instância e as consequências desta sentença sobre o combate à corrupção no Brasil .,460570
5899,DIS,2019-10-24,Senado Federal,Preocupação com eventual decisão do STF contrária à prisão de condenado sem segunda instância.,460569
5899,DIS,2019-10-24,Senado Federal,"Exposição sobre as negociações e acordos com o Governo Federal para início das obras de infraestrutura rodoviária, portuária, hidroviária, ferroviária e aeroportuária no Estado do Rio Grande do Sul.",460568
5899,DIS,2019-10-24,Senado Federal,Considerações sobre as possíveis causas das manifestações no Chile.,460562
5899,DIS,2019-06-04,Senado Federal,"Anúncio da apresentação de requerimento de urgência para a votação do Projeto de Lei do Senado (PLS) nº 26/2014-Complementar, que extingue o sigilo bancário nas operações de instituições oficiais de crédito que tenham como contraparte Estados estrangeiros.",454201
