codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5748,DIS,2024-05-08,Senado Federal,"Manifestação de solidariedade à população do Estado do Rio Grande do Sul em razão da ocorrência de eventos climáticos extremos, bem como indignação com a disseminação de informações falsas nesse contexto. Elogios aos projetos e investimentos apresentados pelo Governo Federal no âmbito do Programa PAC Seleções.",505849
5748,DIS,2024-04-23,Senado Federal,Elogios ao Governo Federal pelo aumento dos beneficiários alcançados pelo programa Pé-de-Meia e pelo consequente efeito de redução da evasão escolar.,505500
5748,NID,2022-12-21,Senado Federal,"Elogios ao Senador Roberto Rocha, que se despede do mandato de Senador.",495212
5748,NID,2022-12-20,Senado Federal,N/A,495037
5748,DIS,2022-12-13,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,494667
5748,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5748,DIS,2020-02-18,Senado Federal,"Preocupação com a Portaria nº 2.979/2019, do Ministério da Saúde, que instituiu o programa Previne Brasil e revogou todos os demais programas anteriores de atenção à saúde básica, dentre eles o Núcleo Ampliado de Saúde da Família e Atenção Básica (Nasf). Destaque para a importância do Nasf. Apelo ao Ministro da Saúde pela revogação da citada Portaria.",464109
5748,DIS,2019-11-06,Senado Federal,"Considerações sobre a PEC nº 133/2019, com destaque para a questão da aposentadoria por invalidez.",461455
5748,DIS,2019-11-05,Senado Federal,Inconformismo com a falta de assistência das agências reguladoras aos cidadãos brasileiros sobre os serviços regulados.,460959
5748,DIS,2019-10-29,Senado Federal,Preocupação com a possibilidade de a Aneel taxar a produção de energia solar que pode causar prejuízo direto para os consumidores residenciais.,460838
5748,DIS,2019-10-22,Senado Federal,Críticas ao Governo Federal pela inabilidade em lidar com o derramamento de óleo no litoral do Nordeste.,460184
5748,DIS,2019-10-07,Senado Federal,"Esclarecimentos sobre a criação de um grupo de trabalho destinado a fiscalizar, acompanhar e avaliar a aplicação do Estatuto da Criança e do Adolescente (ECA), no que se refere ao sistema penal aplicado a crianças e adolescentes.",458395
5748,DIS,2019-08-06,Senado Federal,Indignação com a crítica do Presidente Jair Bolsonaro aos governadores do Nordeste.,456328
5748,DIS,2019-06-04,Senado Federal,Indignação com as declarações do Presidente da República de possível veto ao texto aprovado pelo Congresso que prevê o despacho gratuito de bagagens no transporte aéreo.,454180
5748,DIS,2019-06-04,Senado Federal,Críticas ao Governo Federal por supostamente penalizar a população mais pobre nas medidas enviadas ao Legislativo.,454176
5748,DIS,2019-05-22,Senado Federal,Críticas à imprensa por não valorizar a participação política da sociedade nas redes sociais.,453800
5748,DIS,2019-05-21,Senado Federal,Preocupação com a questão do saneamento básico.,453694
5748,DIS,2019-05-21,Senado Federal,"Indignação com o anúncio da empresa Taurus de que em breve estará apta a vender fuzis a cidadãos comuns no Brasil, e comentários sobre o que S. Exª considera retrocessos no Governo Bolsonaro.",453689
5748,DIS,2019-04-29,Senado Federal,"Análise sobre a dimensão da soberania, com implicações na política interna, social e política de um estado moderno.",453156
5748,DIS,2019-04-16,Senado Federal,Manifestação contrária à proposta do Governo Federal que não prevê aumento real para o salário mínimo em 2020.,452954
5748,DIS,2019-04-02,Senado Federal,"Comentários sobre audiência pública realizada na CDH sobre o Dia Internacional de Conscientização do Autismo, celebrado em 2 de abril.",452273
5748,DIS,2019-03-27,Senado Federal,Indignação com a decisão do Presidente Jair Bolsonaro de determinar às Forças Armadas a comemoração do 31 de março de 1964.,451948
5748,DIS,2019-03-21,Senado Federal,Considerações sobre a prisão do ex-Presidente Michel Temer e de outros envolvidos.,451770
