codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5411,DIS,2023-11-01,Senado Federal,"Discurso de despedida de S. Exa. do exercício do mandato de Senador da República. Comentários acerca de proposições em trâmite no Parlamento, destacando o Projeto de Lei no. 3166/2023, que autoriza a instituição do Programa Bolsa Estudantil do Ensino Médio, do qual S. Exa. foi o Relator.",501880
5411,DIS,2023-05-03,Senado Federal,"Considerações acerca da votação do Projeto de Lei nº 2630/2023, conhecido como PL da ""fake news"", pautado na Câmara dos Deputados.",497250
5411,DIS,2023-03-22,Senado Federal,"Preocupação com a descoberta de possível plano de organização criminosa para cometer ataques contra S. Exa. e sua família e com a escalada do crime organizado no País. Agradecimentos às autoridades públicas e às forças policiais pela atuação no caso. Defesa do Projeto de Lei nº 1307, de 2023 , de autoria de S. Exa., que visa em especial ampliar a proteção dos agentes públicos ou processuais envolvidos no combate ao crime organizado.",496377
5411,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República e breve histórico de sua trajetória política no Congresso Nacional.,495184
5411,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5411,DIS,2022-06-07,Senado Federal,"Contentamento pela aprovação na Câmara dos Deputados do Projeto de Lei nº 1280, de 2022, de autoria de S. Exa., que disciplina a devolução de valores de tributos recolhidos a maior pelas prestadoras do serviço público de distribuição de energia elétrica.",491663
5411,DIS,2022-05-10,Senado Federal,"Relato das dificuldades que vive a população maranhense que depende do serviço de balsa, também chamado de ferryboat, administrado por empresa estatizada pelo governo do Estado, para fazer a travessia entre a Ilha de São Luís e o continente.",490696
5411,DIS,2021-08-17,Senado Federal,Relato do trabalho realizado por S. Exa. a respeito de estudo sobre o endividamento das famílias brasileiras.,482375
5411,DIS,2020-10-20,Senado Federal,"Comunicação aos membros da Comissão de Constituição, Justiça e Cidadania (CCJ) acerca da reunião marcada para 26 de outubro de 2020, na qual haverá a sabatina do Desembargador Federal Kassio Nunes Marques, indicado pelo Presidente da República para vaga de ministro do Supremo Tribunal Federal (STF). Comunicação da indicação do Senador Rodrigo Pacheco como Relator ad hoc, e registro sobre os procedimentos a serem adotados na referida reunião.",472084
5411,DIS,2019-12-17,Senado Federal,"Homenagem ao patrono da educação brasileira, Paulo Freire.",463191
5411,DIS,2019-12-12,Senado Federal,Críticas ao número de partidos políticos e ao valor atribuído a eles através do fundo partidário.,463147
5411,DIS,2019-12-12,Senado Federal,"Satisfação com a criação de cinco universidades federais no País, com destaque para as Universidades Federais de Catalão e Jataí, no Estado de Goiás (GO).",463145
5411,PL,2019-08-27,Senado Federal,Registro dos esforços do Governo Federal para diversificar a matriz energética brasileira.,457014
5411,PL,2019-08-14,Senado Federal,"Registro sobre a vida da irmã Dulce, religiosa, notória por sua caridade e assistência aos pobres e necessitados.",456533
5411,DIS,2019-08-07,Senado Federal,Destaque à pluralidade de lideranças e de partidos políticos que defenderam a suspensão da transferência do ex-Presidente Lula para um presídio no Estado de São Paulo.,456425
5411,DIS,2019-08-06,Senado Federal,Indignação com a crítica do Presidente Jair Bolsonaro aos governadores do Nordeste.,456328
5411,DIS,2019-06-13,Senado Federal,"Críticas à gestão da Petrobras pelo Governo Federal, especialmente no que tange à venda de ativos e à política de preços da companhia.",454692
5411,DIS,2019-05-22,Senado Federal,Críticas à postura do Presidente da República e sua suposta estratégia de colocar a população contra o Congresso Nacional.,453808
5411,DIS,2019-05-22,Senado Federal,Considerações sobre o suposto despreparo do Presidente da República para governar o País. Críticas ao Presidente da República por atribuir as fragilidades do Governo ao Congresso Nacional. Posicionamento contrário às medidas do Governo Federal que flexibilizam o porte de armas.,453804
5411,DIS,2019-05-22,Senado Federal,"Cobrança ao Presidente da República para que revele a identidade dos Parlamentares que, supostamente, o estariam chantageando em troca de benefícios políticos. Posicionamento contrário ao discurso que atribui ao Congresso a responsabilidade pela demora no andamento de projetos do Governo Federal.",453803
5411,PL,2019-04-24,Senado Federal,Apoio ao projeto apresentado pelo Senador Jayme Campos que legisla sobre as fronteiras do Brasil.,452842
5411,DIS,2019-04-11,Senado Federal,Cobrança ao Senado de esclarecimentos quanto à fraude detectada na urna da eleição para a Presidência da Casa.,452706
5411,DIS,2019-02-19,Senado Federal,Destaque às diretrizes que nortearão o exercício do mandato de S. Exª.,451037
