codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5070,POR,2018-08-08,Senado Federal,"Comentário acerca do Projeto de Lei do Senado nº 225, de 2015, que trata da utilização dos meios eletrônicos para concentração de informações de indivíduos na carteira de identidade.",447988
5070,DIS,2017-05-16,Senado Federal,"Sessão de debates temáticos destinada a discutir o Projeto de Lei da Câmara dos Deputados nº 38/2017, que trata da reforma trabalhista.",431390
5070,PL,2017-05-03,Senado Federal,"Defesa da extinção da contribuição sindical e da obrigatoriedade da fiscalização, pelo Tribunal de Contas da União (TCU), das contas dos sindicatos.",431125
5070,DIS,2016-12-13,Senado Federal,Discurso de despedida de S. Exª no mandato de Senador e balanço de suas atividades parlamentares.,428261
5070,PL,2015-11-12,Senado Federal,Alerta para a carência de universidades federais em Goiás e defesa da implantação da Universidade Federal do Norte Goiano.,418298
5070,DIS,2015-11-12,Senado Federal,Alerta para a necessidade de elucidação das causas do rompimento das barragens no Município de Mariana-MG e de esclarecimentos acerca da extensão dos danos à região.,418296
5070,DIS,2015-10-20,Senado Federal,Pedido de aprovação da emenda “jabuti” que autoriza a renegociação das dívidas de produtores rurais prejudicados pelo encerramento do programa Proálcool; e outro assunto.,417905
5070,DIS,2015-08-25,Senado Federal,Anuncio da filiação da Senadora Lúcia Vânia ao Partido Socialista Brasileiro - PSB.,415994
5070,DIS,2015-04-29,Senado Federal,Reflexões acerca do projeto de lei que regulamenta e amplia a terceirização; e outro assunto.,413028
5070,DIS,2014-12-16,Senado Federal,Discurso de despedida de S. Exª do Senado Federal.,410389
5070,DIS,2013-08-28,Senado Federal,Preocupação com a possibilidade de novos blecautes e com a situação do setor de energia elétrica do País.,402872
