codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5783,DIS,2024-05-14,Senado Federal,Registro da solidariedade dos brasileiros para com os gaúchos e das ações do Governo Federal em socorro ao Estado do Rio Grande do Sul. Críticas a grupos de extrema direita que supostamente têm disseminado informações falsas nas redes sociais acerca da tragédia no Rio Grande do Sul com o intuito de desgastar do Governo Federal.,505976
5783,DIS,2024-02-27,Senado Federal,"Necessidade de maiores investimentos públicos para a melhoria da qualidade da educação brasileira, especialmente aqueles voltados para o aumento do número de escolas em tempo integral no País. Destaque para os benefícios sociais dos investimentos nessa área.",504045
5783,DIS,2023-08-16,Senado Federal,"Reflexão acerca de eventual relação entre as demissões em massa de empregados da Eletrobras, após a privatização da empresa, e o apagão de energia que afetou todas as unidades da federação, exceto Roraima, na manhã do dia 15 de agosto de 2023.",499901
5783,DIS,2023-08-08,Senado Federal,"Registro da relevância da Cúpula da Organização do Tratado de Cooperação Amazônica, realizada em Belém, no Estado do Pará. Destaque para o direito a um meio ambiente saudável como um direito humano.",499453
5783,DIS,2023-05-10,Senado Federal,"Preocupação com a prestação do serviço de perícias médicas realizadas pelo INSS, particularmente nos estados da região amazônica.",497284
5783,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República.,495137
5783,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494548
5783,DIS,2022-12-14,Senado Federal,Discurso de despedida de S. Exª. do mandato de Senadora da República.,494547
5783,DIS,2022-12-13,Senado Federal,Discurso de despedida e breve relato da atuação de S. Exa. como Senadora da República durante o exercício de seus mandatos.,494668
5783,DIS,2022-12-07,Senado Federal,Retrospectiva da vida pública e do mandato de S. Exa. como Senador da República e agradecimentos aos seus pares.,494807
5783,DIS,2022-06-08,Senado Federal,"Preocupação com a aprovação, pela Câmara dos Deputados, do Projeto de Lei nº 4188, de 2021, que dispõe sobre o serviço de gestão especializada de garantias, prevendo inclusive a possibilidade da penhorabilidade do imóvel bem de família dado como garantia de empréstimo. Análise de pesquisa realizada pelo Instituto Brasileiro de Geografia e Estatística (IBGE) quanto à disparidade da renda mensal de trabalhadores que ganham até um salário mínimo e o ganho líquido dos quatro maiores bancos brasileiros.",491962
5783,DIS,2022-03-22,Senado Federal,Cobrança ao Senado Federal para que apure as denúncias de tráfico de influência e irregularidades no Ministério da Educação e no Fundo Nacional do Desenvolvimento da Educação (FNDE).,489287
5783,DIS,2022-02-15,Senado Federal,"Exposição sobre a atuação da Bancada Feminina do Senado Federal no último ano legislativo, sob a liderança de S. Exa.. Críticas ao Presidente da República pelo Veto nº 59, de 2021, aposto ao Projeto de Lei nº 4.968, de 2019, que institui o Programa de Proteção e Promoção da Saúde Menstrual. Apelo aos pares pela rejeição do veto aposto ao citado projeto, bem como aos Deputados Federais pela aprovação do Projeto de Lei da Câmara nº 130, de 2011, que estabelece multa para combater a diferença de remuneração verificada entre homens e mulheres no Brasil.",488313
5783,DIS,2020-03-12,Senado Federal,Apelo ao Congresso Nacional para que destine mais recursos para o enfrentamento da crise do coronavírus no Brasil.,464322
5783,DIS,2020-02-13,Senado Federal,"Considerações acerca da criação da Semana Nacional de Prevenção, Conscientização e Tratamento da Microcefalia no Brasil e da proibição de vendas de produtos fumígenos, como cachimbos, narguilés e piteiras, para crianças e adolescentes.",464067
5783,DIS,2020-02-06,Senado Federal,Preocupação com o fim da política de salário mínimo do País.,463648
5783,DIS,2020-02-04,Senado Federal,"Solidariedade às vítimas e desabrigados das enchentes que ocorreram nos Estados do Espírito Santo, Minas Gerais e Rio de Janeiro.",463627
5783,DIS,2019-12-04,Senado Federal,Breve comentário sobre a insegurança jurídica gerada pela instabilidade na jurisprudência do STF e reiteradas propostas de Medidas Provisórias incabíveis.,462716
5783,DIS,2019-11-28,Senado Federal,"Elogios ao Ministro do STJ Og Fernandes, pela decisão que deflagrou a Operação Faroeste, que investiga corrupção e grilagem de terras no Estado da Bahia. Considerações sobre a citada Operação.",462242
5783,DIS,2019-11-28,Senado Federal,"Comentários sobre participação de S. Exa. na primeira missão internacional do Consórcio Interestadual de Desenvolvimento Sustentável do Nordeste que aconteceu entre os dias 17e 22 de novembro, nos países França, Itália e Alemanha.",462237
5783,DIS,2019-11-19,Senado Federal,Manifestação favorável à integralidade da aposentadoria nos casos de invalidez permanente.,461873
5783,DIS,2019-10-30,Senado Federal,Apreensão com cortes orçamentários pelo Governo Federal em desfavor especialmente da saúde e da educação.,460631
5783,PL,2019-08-27,Senado Federal,"Cumprimentos ao Senador Tasso Jereissati por acatar emenda supressiva na Proposta de Emenda à Constituição (PEC) da Reforma da Previdência Social, que trata do acesso ao Benefício de Prestação Continuada (BPC) a pessoas que têm até um quarto de salário mínimo.",457041
5783,PL,2019-08-14,Senado Federal,"Registro sobre a vida da irmã Dulce, religiosa, notória por sua caridade e assistência aos pobres e necessitados.",456533
5783,DIS,2019-08-06,Senado Federal,Indignação com a crítica do Presidente Jair Bolsonaro aos governadores do Nordeste.,456328
5783,DIS,2019-08-06,Senado Federal,Considerações sobre a reforma da previdência.,456324
5783,DIS,2019-05-30,Senado Federal,"Crítica ao excesso de Medidas Provisórias e ao prazo do envio pela Câmara dos Deputados ao Senado, bem como ao pacto do Poder Judiciário com os Poderes Legislativo e Executivo.",453943
5783,DIS,2019-05-21,Senado Federal,"Indignação pelas circunstâncias que levaram ao feminicídio da servidora pública Débora Tereza Correa pelo ex-companheiro, em Brasília. Alerta para os altos índices de feminicídio ocorridos no Brasil.",453696
5783,DIS,2019-05-07,Senado Federal,"Relato sobre a audiência pública realizada na Comissão de Educação com o Ministro da Educação, Abraham Weintraub.",453254
