codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
3806,DIS,2024-04-10,Senado Federal,Discurso de posse de S. Exa.,505004
3806,DIS,2023-10-31,Senado Federal,Discurso de despedida de S. Exa. do exercício do mandato de Senadorda República.,501838
3806,DIS,2023-09-13,Senado Federal,"Insatisfação com a fala do Presidente Lula garantindo que o Presidente russo não seria preso caso viesse ao Brasil. Críticas à escolha da ex-Presidente Dilma para o comando do Novo Banco de Desenvolvimento dos Brics. Cobrança à AGU para que questione o Presidente da República sobre a divulgação de informações falsas, ao declarar que desconhecia a existência do Tribunal Penal Internacional durante uma entrevista à imprensa internacional. Solidariedade ao jornalista Alexandre Garcia em virtude de suposta violação ao seu direito de liberdade de expressão.",500556
3806,DIS,2023-08-30,Senado Federal,"Indignação com a fala do Ministro da Justiça, Sr.  Flávio Dino, sobre o não armazenamento de imagens internas do respectivo ministério durante os ataques do dia 8 de janeiro. Exposição de projetos protocolados por S. Exa. que beneficiam a população mais pobre.",500073
3806,DIS,2023-05-29,Senado Federal,"Cobrança ao Governo Federal de que seja efetivada a recomposição salarial dos profissionais da segurança pública do Distrito Federal. Críticas à inclusão, pela Câmara dos Deputados, de regra que limitaria o valor do Fundo Constitucional do Distrito Federal ao cumprimento da meta fiscal no parecer do Projeto de Lei Complementar nº 93/2023, que institui o novo arcabouço fiscal.",497827
3806,DIS,2023-05-24,Senado Federal,"Críticas ao suposto ativismo judicial do STF e do Ministro Edson Fachin, em razão de decisão da Corte Suprema que rejeitou pedido formulado pelo Partido Podemos de suspensão da Resolução nº 487 do CNJ, que institui a política antimanicomial do Poder Judiciário. Preocupação com o julgamento no Supremo da descriminalização da posse de drogas para uso pessoal.",497898
3806,DIS,2023-03-29,Senado Federal,"Preocupação com os impactos da pandemia da Covid-19 no setor produtivo do País, especialmente com o aumento das desigualdades sociais e o retorno do Brasil ao Mapa da Fome. Apoio às medidas de equidade de gênero no acesso ao crédito e às inovações tecnológicas na produção de alimentos, à agricultura familiar e aos investimentos em infraestrutura de transportes para interligar produtores.",496523
3806,DIS,2022-12-21,Senado Federal,Discurso de despedida de S. Exa. do mandato de Senador da República e breve histórico de sua trajetória política no Congresso Nacional.,495184
3806,DIS,2022-12-15,Senado Federal,Discurso de despedida de S. Exa. como Senador da República.,494790
3806,PL,2019-08-27,Senado Federal,Registro dos esforços do Governo Federal para diversificar a matriz energética brasileira.,457014
3806,DIS,2019-06-24,Senado Federal,Defesa da manutenção do decreto do Presidente da República que ampliou o porte e a posse de armas.,454945
