codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5672,155883,Requer o desarquivamento do PLS nº 166/2018.,Não,2023,RQS
5672,157431,"Requeremos calendário especial para a Proposta de Emenda à Constituição nº 162, de 2019, que ""altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais"".",Não,2023,RQS
5672,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
5672,162071,"Requer a realização de Sessão Especial destinada a celebrar, em 15 de outubro de 2024, o bicentenário da Magistratura de Paz no Brasil, bem como reconhecer e valorizar o esforço laboral dos Juízes de Paz, cuja atuação desempenha papel de fundamental relevância na administração da justiça.",Não,2024,RQS
5672,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
5672,164096,"Requeiro, nos termos do art. 90 inciso II do Regimento Interno do Senado Federal, a inclusão de convidados na audiência aprovada pelo Requerimento Nº 14 de 2024 desta Comissão com o objetivo de debater as ações do INCRA no combate à invasão ilegal de terras, que sofreram um expressivo aumento em 2023, bem como discutir soluções para impedir ocupações irregulares.
Proponho para a audiência a inclusão dos seguintes convidados:
• Representante do Ministério do Desenvolvimento Agrário e Agricultura Familiar.
• Representante da Associação Brasileira dos Produtores de Soja (APROSOJA).
• Senhor Francisco Graziano, Ex-Presidente do INCRA e Ex-Secretário de Agricultura do Estado de São Paulo.",Sim,2024,REQ
5672,164424,"Modifica a Lei n° 14.628, de 20 de julho de 2023, para prever prioridade de aquisição e distribuição de produtos do Programa de Aquisição de Alimentos (PAA) aos municípios em situação de emergência ou estado de calamidade pública.",Sim,2024,PL
5672,162821,Institui o Programa Nacional de Prevenção à Insegurança Alimentar na Educação Infantil e no Ensino Fundamental.,Sim,2024,PL
5672,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5672,163926,"Sugere ao Poder Executivo que sejam chamados os candidatos aprovados no concurso, realizado em 2023, para Auditor e Analista da Receita Federal do Brasil, que integram o cadastro de reserva e aguardam a convocação para o Curso de Formação e que parte desses servidores sejam destinados ao Acre.",Sim,2024,INS
5672,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
5672,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
5672,163579,Requer a tramitação conjunta do Projeto de Lei nº 4392/2023 com o Projeto de Lei nº 4715/2023.,Sim,2024,RQS
5672,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
