codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5982,135125,Desarquivamento do PLS 224/2016.,Não,2019,RQS
5982,152032,"Realização de Sessão de Debates Temáticos, em data oportuna, a fim de discutir as causas, a situação e os efeitos da Guerra entre Rússia e Ucrânia e suas consequências para a economia.",Não,2022,RQS
5982,151410,Destaque para votação em separado do dispositivo 006 do Veto nº 44/2021.,Sim,2021,RQN
5982,150835,"Destaque para votação em separado da Emenda nº 8-PLEN, apresentada ao PL nº 6545/2019.",Sim,2021,RQS
5982,150837,"Destaque para votação em separado da Emenda nº 8-PLEN, apresentada ao PL nº 6545/2019.",Sim,2021,RQS
5982,150808,Realização de Sessão de Debates Temáticos a fim de debater o PLP nº 134/2019.,Sim,2021,RQS
5982,150838,Retirada do RQS nº 2269/2021.,Sim,2021,RQS
5982,150057,Destaque para votação em separado do Veto nº 51/2021.,Sim,2021,RQN
5982,150016,"Destaque, para votação em separado, da Emenda nº 20 ao PL nº 2505/2021.",Sim,2021,RQS
5982,150213,"Realização de Sessão de Debates Temáticos, no mês de outubro, a fim de tratar o financiamento para saída da Pandemia da Covid-19.",Sim,2021,RQS
5982,150025,"Destaque, para votação em separado, da Emenda nº 19 ao PL 2505/2021.",Sim,2021,RQS
5982,149893,"Destaque para votação em separado da Emenda nº 16-PLEN, apresentada à MPV nº 1049/2021 - PLV nº 21/2021.",Sim,2021,RQS
5982,149359,"Realização de Sessões de Debates Temáticos, em data a ser designada, a fim de discutir a Proposta de Emenda à Constituição nº 110, de 2019, que reforma o Sistema Tributário Nacional.",Não,2021,RQS
5982,149460,"Destaque, para votação em separado, do art. 3º do PL  nº 1869/2021.",Sim,2021,RQS
5982,149547,Retirada do RQS nº 1904/2021.,Sim,2021,RQS
5982,149431,"Sessão de Debates Temáticos, a ser realizada em data oportuna, a fim de debater a Proposta de Emenda à Constituição n° 13, de 2021.",Sim,2021,RQS
5982,149543,"Destaque para votação em separado da Emenda nº 14-PLEN, apresentada ao PL nº 1869/2021.",Sim,2021,RQS
5982,149458,"Realização de Sessão de Debates Temáticos a fim de discutir o Projeto de Lei nº 1.869, de 2021.",Não,2021,RQS
5982,149184,Requer indicação do Dr. Roberto Livianu para sessão de debates PL 2505 2021 pedida pelo Senador Nelsinho Trad,Sim,2021,RQS
5982,148413,Retirada de tramitação do RQS 1344/2021.,Sim,2021,RQS
5982,148428,"Urgência, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal, para apreciação do PL nº 2564/2020.",Não,2021,RQS
