codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6358,156025,"Altera a Lei nº 7.716, de 5 de janeiro de 1989, para incluir os crimes praticados em razão de misoginia.",Sim,2023,PL
6358,163890,"Requer urgência para o Projeto de Lei nº 914/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
6358,163744,"Requer urgência para o Projeto de Lei nº 1.958/2021, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
6358,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
6358,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
6358,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Não,2024,PL
6358,163064,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, sem ônus para o Senado Federal",Sim,2024,REQ
6358,162309,Requer licença para reuniões políticas,Sim,2024,REQ
6358,162737,Dispõe sobre a prioridade e a gratuidade no atendimento às pessoas em situação de rua em serviços de emissão de documentos pessoais.,Sim,2024,PL
6358,163415,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
6358,163828,Altera o art. 6º da Constituição Federal para incluir o esporte como direito social.,Não,2024,PEC
6358,162741,"Requer informações do Ministério da Fazenda e o acionamento do Tribunal de Contas da União para auditar a legalidade dos atos praticados acerca da compensação devida pela União Federal pelas perdas pelo Estado do Maranhão e pelos Municípios do Maranhão, de que trata a Lei Complementar nº 201/2023, a partir da redução da carga tributária estadual sobre combustíveis e energia elétrica pela Lei Complementar nº 194/2022 e o nível de endividamento do Estado do Maranhão.",Sim,2024,REQ
6358,163768,"Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para impedir a prestação de alimentos ou a partilha de bens adquiridos na constância do casamento ou da união estável, em favor do cônjuge ou companheiro agressor.",Sim,2024,PL
