codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
4639,156590,"Desarquivamento dos PLC 182/2017, PLC 137/2018 e PLS 447/2016.",Não,2023,RQS
4639,163265,"Requer urgência para a MSF nº 4/2024, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Sim,2024,RQS
4639,163718,Destaque para votação em separado dos dispositivos 001 a 030; 032 a 065; 069 a 093; 095 a 110; 112 a 114; 116 a 128; 131 a 134 e 137 a 142 do VET nº 4/2024.,Sim,2024,RQN
4639,162962,"Requer realização de Sessão de Debates Temáticos destinada a discutir a Proposta de Emenda à Constituição nº 45, de 2023.",Sim,2024,RQS
4639,163877,Destaque para votação em separado do Veto nº 1/2024.,Sim,2024,RQN
4639,163985,"Requer, pelas Lideranças do PT, PSD, MDB e do Governo, destaque para votação em separado do art. 50 e o inciso II e do art. 51 do PL 914/2024.",Sim,2024,RQS
4639,164191,"Requer, pela Liderança do Partido dos Trabalhadores, destaque para votação em separado do art. 38, incluído pela Emenda 20 ao Projeto de Lei nº 2308/2023.",Sim,2024,RQS
4639,163426,Requer realização de Sessão de Debates Temáticos destinada a discutir a Tragédia no Estado do Rio Grande do Sul.,Não,2024,RQS
4639,163715,Destaque para votação em separado dos dispositivos 011; 012; 015; 016; 018 a 021; 024 a 033; 035 e 038 a 310 do VET nº 1/2024.,Sim,2024,RQN
4639,163356,Requer a realização de Sessão de Debates Temáticos destinada a discutir as oportunidades para o Brasil na presidência do G20.,Não,2024,RQS
4639,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
4639,162416,"Requer a realização de Sessão Especial, em 22/04/2024, para celebrar e apoiar a promoção do 24º Grito da Terra Brasil, que acontecerá em Brasília nos dias 21 e 22 de abril, com o tema “Mudanças Climáticas e Alimentos Saudáveis”.",Sim,2024,RQS
4639,162963,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 4/2024 - CDR seja incluído o seguinte convidado:representante da CNI - Confederação Nacional da Indústria.",Sim,2024,REQ
4639,162822,"Requer licença, sem ônus para o Senado Federal, para exercer atividade parlamentar no Estado.",Sim,2024,REQ
4639,162154,Requer a realização de Sessão Especial destinada a celebrar o aniversário de 34 anos da Companhia Nacional de Abastecimento - CONAB.,Não,2024,RQS
4639,163218,"Requeiro, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de instruir o PL 6140/2023. Proponho para a audiência a presença dos seguintes convidados:
• representante da Secretaria Nacional de Segurança Pública (SENASP) do Ministério da Justiça e Segurança Pública;
- representante da Comissão Pastoral da Terra (CPT);
- 2 (dois) Representantes a serem indicados oportunamente.",Sim,2024,REQ
4639,162818,Altera o art. 6º da Constituição Federal para determinar que a cultura é um direito social.,Não,2024,PEC
4639,163021,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 47/2024 - CCDD sejam incluídos os convidados que especifica.",Sim,2024,REQ
