codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5936,155158,"Submete à apreciação do Senado Federal, nos termos do art. 130-A , inciso V, da Constituição Federal, a indicação do Senhor ENGELS AUGUSTO MUNIZ, para ser reconduzido ao cargo do Conselho Nacional do Ministério Público - CNMP, na vaga reservada ao Senado Federal.",Não,2022,OFS
5936,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
5936,164346,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art.93, I. do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ n° 2/2024 - CTIA, o qual visa a realização de audiência pública, com o objetivo de instruir o PL 2338/2023, que “dispõe sobre o uso da Inteligência Artificial, seja incluído os convidados.",Sim,2024,REQ
5936,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
5936,164360,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ n° 2/2024 - CTIA, o qual visa instruir o PL n° 2338/2023, que “dispõe sobre o uso da Inteligência Artificial seja incluído o Senhor Valter Wolf, Presidente da Associação Brasileira de Inteligência Artificial como convidado.",Sim,2024,REQ
5936,164622,Requer licença do dia 04 de junho,Sim,2024,REQ
5936,162262,"Requer, nos termos do art. 58, § 2°, II e V, da Constituição Federal, que seja convidado o Exmo. Sr. Volodymyr Zelensky, Presidente da Ucrânia, a comparecer a esta Comissão, a fim de debater a dificuldade que a Ucrânia tem enfrentado em estabelecer relações diplomáticas com o nosso país, demonstrada pela demora do governo brasileiro em convidar o Chanceler ucraniano DmytroKuleba para visitar o Brasil.",Não,2024,REQ
5936,162202,Requer Licenças para Atividade Política no Estado 28 e 29 de fevereiro 2024.,Sim,2024,REQ
5936,163215,"Requer a constituição de uma Comissão Temporária Externa composta de 11 (onze) membros titulares para, no prazo de 120 (cento e vinte) dias, acompanhar investigação da Câmara dos Representantes dos Estados Unidos da América (United States House of Representatives) sobre denúncias oferecidas pelo empresário Elon Musk e a empresa X (antigo Twitter) acerca de possíveis violações de preceitos fundamentais da Constituição Federal e de ameaças a direitos e garantias individuais que estariam tendo lugar em nosso país.",Não,2024,RQS
5936,163793,Requer licença para desempenhar atividade politica no Estado.,Sim,2024,REQ
5936,162210,"Requer, nos termos do art. 58, § 2°, II e V, da Constituição Federal, que seja convidado o Senhor Ricardo Lewandowski, Ministro da Justiça e Segurança Pública, a comparecer a esta Comissão, a fim de prestar informações sobre os motivos que levaram o grupamento da Polícia Federal do Aeroporto de Guarulhos a fazer a apreensão do passaporte do Senhor Sérgio Tavares, cidadão português, quando desembarcou no aeroporto de Guarulhos, em São Paulo, para cobrir as manifestações a serem realizadas na Avenida Paulista.",Não,2024,REQ
5936,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5936,163684,Regulamenta o exercício das profissões de instrutor de voo livre e do piloto de voo duplo turístico de aventura.,Sim,2024,PL
5936,163422,Requer licença para atividade política no Estado.,Sim,2024,REQ
5936,163421,Requer licença para atividade política no Estado.,Sim,2024,REQ
5936,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Sim,2024,PRN
5936,163837,"Requer que o Projeto de Lei n° 5.066, de 2020, deliberado terminativamente pela Comissão de Infraestrutura, seja apreciado pelo Plenário do Senado Federal.",Sim,2024,R.S
5936,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
5936,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
5936,162363,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 4/2024 - CCDD sejam incluídos os convidados listados.",Sim,2024,REQ
5936,162102,"Requer a oitiva da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei nº 826/2019.",Não,2024,RQS
5936,162986,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 11/2024 - CCDD, com o objetivo de instruir o PL 2628/2022, que “dispõe sobre a proteção de crianças e adolescentes em ambientes digitais” seja incluído o convidado que especifica.",Sim,2024,REQ
