codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5990,135118,"Modifica o art. 37 da Constituição Federal, para suspender o transcurso do prazo de validade de concurso público na hipótese de o Poder Público suspender as nomeações por falta de recursos financeiros.",Não,2019,PEC
5990,163149,"Requer informações ao Senhor Camilo Santana, Ministro de Estado da Educação, sobre a operacionalização do pagamento contingente à renda no âmbito do Fundo de Financiamento Estudantil (Fies).",Sim,2024,RQS
5990,162976,"Requer voto de censura  à atuação dos representantes do Movimento Boicote, Desinvestimento e Sanção contra o Estado de Israel, empresas e indivíduos pertencentes à comunidade judaica, pelo seu caráter antissemita.",Sim,2024,RQS
5990,162374,"Altera os arts. 32, 121, 129 e 213 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) e acrescenta o art. 41-A na Lei nº 11.340, de 7 de agosto de 2006, para prever pena de prestação pecuniária ao autor de crimes de lesões corporais contra a mulher, feminicídio, estupro e dos praticados com violência doméstica e familiar contra a mulher.",Sim,2024,PL
5990,163320,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para estabelecer que o fornecedor é obrigado a exigir e registrar a apresentação de documento de identidade por ocasião da entrada do consumidor em estabelecimentos como hotéis, motéis e similares.",Sim,2024,PL
5990,163319,"Altera a Lei nº 13.327, de 29 de julho de 2016, para determinar, nas execuções judiciais para cobrança da dívida ativa de natureza tributária da União, o recolhimento integral ao Tesouro Nacional dos honorários de sucumbência pagos pelo executado.",Sim,2024,PL
5990,162305,Requer a retirada definitiva do Projeto de Lei nº 438/2024.,Sim,2024,RQS
5990,162740,"Requer licença para desempenhar missão oficial, a fim de participar da XCI sessão plenária do parlamento do Mercosul, em Montevidéu, Uruguai.",Sim,2024,REQ
5990,162196,"Revoga a Lei nº 13.455, de 26 de junho de 2017, que dispõe sobre a diferenciação de preços de bens e serviços oferecidos ao público em função do prazo ou do instrumento de pagãmente utilizado.",Sim,2024,PL
5990,162899,"Dispõe sobre a renegociação de dívidas oriundas de operações de crédito rural de custeio pecuário e de investimento rural de produtores de leite, institui linha emergencial de crédito rural para beneficiários do Pronaf e Pronamp e cria linha de capital de giro para todos os produtores de leite.",Sim,2024,PL
5990,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
5990,162731,"Dispõe sobre a verificação do rendimento escolar dos estudantes incluídos em regime de exercícios domiciliares por motivo de saúde, gestação, puerpério ou lactação, nos termos do Decreto-Lei nº 1.044, de 21 de outubro de 1969, que “dispõe sobre tratamento excepcional para os alunos portadores das afecções que indica” e da Lei nº 6.202, de 17 de abril de 1975.",Sim,2024,PL
5990,162960,Requer destaque da emenda nº 15 ao PL 81/2024.,Sim,2024,REQ
5990,162951,Requer convite para comparecimento perante Plenário ou Comissão,Sim,2024,REQ
5990,162262,"Requer, nos termos do art. 58, § 2°, II e V, da Constituição Federal, que seja convidado o Exmo. Sr. Volodymyr Zelensky, Presidente da Ucrânia, a comparecer a esta Comissão, a fim de debater a dificuldade que a Ucrânia tem enfrentado em estabelecer relações diplomáticas com o nosso país, demonstrada pela demora do governo brasileiro em convidar o Chanceler ucraniano DmytroKuleba para visitar o Brasil.",Não,2024,REQ
5990,162961,"Requer voto de aplauso à Associação Comercial, Industrial, Agropecuária e Serviços de Varginha (ACIV), pela celebração de seu centenário.",Sim,2024,RQS
5990,162555,"Requeiro, nos termos do art. 312, II, do Regimento Interno do Senado Federal, destaque, para votação em separado, da Emenda nº 1 ao PL 1372/2021, que “altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre medidas para assegurar a igualdade salarial entre os sexos e sobre a proteção à testemunha no processo judiciário do trabalho, e institui o Dia Nacional da Igualdade Salarial”.",Sim,2024,REQ
5990,164340,Requer o adiamento da discussão do Projeto de Lei nº 2.234/2022 para oitiva da  Comissão de Assuntos Sociais.,Sim,2024,RQS
5990,163789,"Altera a Lei nº 12.431, de 24 de junho de 2011, para regulamentar o pagamento de débitos utilizando precatórios.",Sim,2024,PL
5990,163172,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 14/2024 - CMA, cujo objetivo é debater a política de substituição dos automóveis movidos a combustíveis fósseis acrescentar as instituições que apresento.",Sim,2024,REQ
5990,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5990,163619,"Acrescenta o art. 88-A à Lei no 9.610, de 19 de fevereiro de 1998 (Lei dos Direitos Autorais), para proibir a utilização da inteligência artificial nos casos em que especifica.",Sim,2024,PL
5990,163186,Requer Destaque da emenda nº 4.,Sim,2024,REQ
5990,163322,Requer a oitiva da Comissão de Assuntos Econômicos sobre o Projeto de Lei Complementar nº 233/2023.,Sim,2024,RQS
5990,162873,"Altera a Lei nº 1.079, de 10 de abril de 1950, para tipificar como crime de responsabilidade o ato de frustrar ou obstar, por qualquer forma ou meio, o acesso legítimo a informação e altera a Lei nº 12.527, de 18 de novembro de 2011 (Lei do Acesso à Informação – LAI), para derrogar o sigilo de 100 anos e conferir atribuição ao Ministério Público.",Sim,2024,PL
5990,162661,Requer por convite o comparecimento.,Sim,2024,REQ
5990,162560,"Dispõe sobre a proibição de cobrança de taxa pela confecção, registro ou expedição de diploma e certificado de conclusão de curso por instituição de ensino.",Sim,2024,PL
5990,162900,Sugere ao Ministério da Fazenda a criação de programa especial de regularização de dívidas fiscais voltado para o setor de transporte aéreo.,Sim,2024,INS
5990,162434,Requer a retirada definitiva do Projeto de Lei nº 466/2024.,Sim,2024,RQS
5990,163369,Solicita que a Emenda n° 4-CCJ ao PLP 233/2023 seja apreciada em Plenário.,Sim,2024,R.S
5990,162083,"Requer voto de repúdio ao Presidente da República, Luís Inácio Lula da Silva, pela declaração que comparou a ação militar de Israel contra o Hamas na Faixa de Gaza ao assassinato em massa de judeus liderado por Adolf Hitler durante a 2ª Guerra Mundial.",Sim,2024,RQS
5990,162805,Requer sessão deliberativa,Sim,2024,REQ
5990,163584,"Requer a prorrogação da Comissão Temporária Interna sobre Inteligência Artificial no Brasil, por 55 (cinquenta e cinco) dias.",Sim,2024,RQS
5990,162729,"Modifica o art. 171 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, alterando a pena.",Sim,2024,PL
5990,164175,"Altera o art. 244-B da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para aumentar a pena do crime de corrupção de menores.",Sim,2024,PL
5990,164176,"Altera a Lei nº 7.716, de 5 de janeiro de 1989, para aumentar a pena do crime previsto em seu art. 20, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal -, para criar nova hipótese de agravante genérica e aumentar a pena do crime de injúria qualificada.",Sim,2024,PL
5990,164177,Dispõe sobre a responsabilidade de provedores de redes sociais por anúncios falsos publicados por meio de suas plataformas.,Sim,2024,PL
5990,162819,"Modifica o art. 231 da Constituição Federal, para permitir aos índios produzir e comercializarem livremente sua produção e prever a obrigação da União de prestar-lhes auxílio técnico.",Não,2024,PEC
5990,164397,"Altera do Decreto-Lei nº 2.848, de 7 de dezembro de 1940, para prevê hipótese de redução de pena no excesso punível.",Sim,2024,PL
5990,162863,Institui a Política Nacional Contra o Antissemitismo.,Sim,2024,PL
5990,162554,Sugere ao Ministério de Estado da Saúde que crie um banco nacional de informações epidemiológicas sobre doenças raras.,Sim,2024,INS
5990,163147,Proíbe e considera prática abusiva oferecer empréstimos aos aposentados ou pensionistas por telefone ou qualquer outro meio não presencial.,Sim,2024,PL
