codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5973,146734,"Destaque para votação em separado da Emenda nº 48 - PLEN, apresentada ao PLP nº 146/2019.",Sim,2021,RQS
5973,163220,"Requer licença para desempenhar missão oficial, a fim de participar de palestra sobre experiências e reflexões acerca dos desafios estruturais da educação no Brasil, no contexto das discussões sobre propostas para uma escola mais conectada com as adolescências, por iniciativa do Instituto Lemann e da Excellence Foundation da Universidade de Zurique, na Suíça.",Sim,2024,REQ
5973,162892,"Requer licença dos trabalhos da Casa, nos dias 12, 19, 20 e 26 de março de 2024.",Sim,2024,REQ
5973,164059,"Requer licença dos trabalhos da Casa, nos dias 21 e 22 de maio de 2024.",Sim,2024,REQ
5973,164263,Requer destaque para votação em separado do art. 38 da Emenda nº 20 ao Projeto de Lei nº 2308/2023. ,Sim,2024,RQS
5973,164074,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
5973,163386,"Requer licença dos trabalhos da Casa, nos dias 2 e 17 de abril de 2024.",Sim,2024,REQ
5973,162499,"Requer criação de Comissão Parlamentar de Inquérito, composta de 11 membros titulares e 7 membros suplentes, para, no prazo de 180 dias, apurar crimes de violência doméstica e familiar contra a mulher desde 2019 até os dias atuais, com base em diferentes levantamentos e estudos, com a finalidade de investigar a ação ou omissão do poder público com relação à aplicação dos instrumentos instituídos em lei para proteger as mulheres da violência, bem como suas responsabilidades decorrentes do descumprimento da legislação criada para esse fim.",Não,2024,RQS
5973,161333,"Requer a constituição de uma Comissão Temporária Interna/Externa composta de 5 membros titulares para, no prazo de 180 dias, verificar ""in loco"" a situação política e social do Estado Plurinacional da Bolívia, no que diz respeito à cláusula democrática do Mercosul.",Sim,2023,RQS
5973,161168,"Requer licença dos trabalhos da Casa, nos dias 1º, 8 e 14 de novembro de 2023.",Sim,2023,REQ
5973,161378,"Dispõe sobre a indústria do hidrogênio de baixo carbono e suas tipificações, dispõe sobre a respectiva estrutura e fontes de recursos, e altera a Lei nº 9.478, de 6 de agosto de 1997, a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 10.438, de 26 de abril de 2002, a Lei nº 11.488, de 15 de junho de 2007, Lei nº 11.508, de 20 de julho de 2007 e dá outras providências.",Não,2023,PL
5973,161014,"Requer licença dos trabalhos da Casa, nos dias 17 e 18 de outubro de 2023.",Sim,2023,REQ
5973,160782,Requer a oitiva da Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde sobre o Projeto de Lei nº 725/2022.,Sim,2023,RQS
5973,160859,Requer a retirada de tramitação do RQS 973/2023.,Sim,2023,RQS
5973,160508,"Requer licença dos trabalhos da Casa, nos dias 3, 4 e 10 de outubro de 2023.",Sim,2023,REQ
5973,160656,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, a constituição de uma Comissão Parlamentar de Inquérito para investigar o seguinte fato determinado: “Os efeitos da responsabilidade jurídica socioambiental da empresa Braskem S.A decorrente do maior acidente ambiental urbano já constatado no País, Caso Pinheiro/Braskem, em Maceió, Alagoas.",Não,2023,RQS
5973,159885,"Requer licença dos trabalhos da Casa, nos dias 1º, 22 e 23 de agosto de 2023.",Sim,2023,REQ
5973,160189,"Requer licença dos trabalhos da Casa, nos dias 19 e 20 de setembro de 2023.",Sim,2023,REQ
5973,159954,"Requer licença para desempenhar missão oficial, em Nova York, Estados Unidos, com ônus para o Senado Federal.",Sim,2023,REQ
5973,159664,Requer a Realização de Sessão Especial para comemorar os 50 anos do Instituto Rui Barbosa - IRB.,Sim,2023,RQS
5973,159253,"Requer, nos termos do art. 258 do Regimento Interno do Senado Federal, a tramitação conjunta do PLP 113/2022 com o PLP 114/2022, por tratarem da mesma matéria.",Sim,2023,REQ
5973,159035,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), a fim de estabelecer prazo para medida cautelar de suspensão do exercício de função pública, prevista no artigo 319, inciso VI, do Código de Processo Penal, quando aplicada em face de detentor de cargo eletivo.",Sim,2023,PL
5973,159092,"Requer a realização de Sessão de Debates Temáticos a fim de  debater a ""Reinvenção do Brasil pelas estratégias regionais de desenvolvimento"".",Não,2023,RQS
5973,159061,"Altera a Resolução (SF) nº 93, de 1970, que aprova o Regimento Interno do Senado Federal, para modificar o horário das reuniões da Comissão de Relações Exteriores e Defesa Nacional.",Sim,2023,PRS
5973,158345,"Consulta sobre a possibilidade de que um Senador, quando afastado do exercício do mandato para assumir a função de Ministro de Estado, ocupe uma vaga em Conselho de Administração ou Fiscal de empresa estatal ou com participação da União.",Sim,2023,CON
5973,158734,"Requer licença dos trabalhos da Casa, em 4 de julho de 2023.",Sim,2023,REQ
5973,158538,"Requer licença dos trabalhos da Casa, em 28 de junho de 2023.",Sim,2023,REQ
5973,158057,"Requer licença dos trabalhos da Casa, em 16 de maio de 2023.",Sim,2023,REQ
5973,157781,"Requer, nos termos do art. 73 do Regimento Interno do Senado Federal, a criação de Subcomissão Permanente, composta de 5 (cinco) membros titulares e igual número de suplentes, com o objetivo de acompanhar as políticas de Alfabetização na Idade Certa, no âmbito da Comissão de Educação, Cultura e Esporte.",Sim,2023,REQ
5973,157248,Requer a tramitação conjunta do PRS 43/2021 com o PRS 11/2023.,Sim,2023,RQS
5973,157497,Acrescenta o § 5º ao art. 84 do Regimento Interno do Senado Federal para precisar a ordem de suplência nas comissões técnicas da Casa.,Sim,2023,PRS
5973,157249,"Requer licença para desempenhar missão oficial, nos Países Baixos, Bélgica e na França, com ônus para o Senado Federal.",Sim,2023,REQ
5973,157137,"Altera o art. 39 da Lei nº 8.443, de 16 de julho de 1992, para fixar prazo para o encaminhamento, ao Tribunal de Contas de União, de atos sujeitos a registro, bem como para a apreciação de sua legalidade pela Corte.",Sim,2023,PL
