codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
739,126076,"Altera as Leis nºs 9.959, de 27 de janeiro de 2000, e 9.481, de 13 de agosto de 1997, para reduzir a zero a alíquota do imposto de renda na fonte incidente sobre os rendimentos auferidos por residentes no exterior relativos ao pagamento, por empresas instaladas no Brasil, de juros de empréstimos externos.",Sim,2016,PLS
739,163189,Requer licença para participar de importante Fórum Jurídico,Sim,2024,REQ
739,162616,Requer a retirada de tramitação do REQ 31/2024 - CAE.,Sim,2024,REQ
739,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
739,162558,"Requer seja convidado o Senhor PIETRO ADAMO SAMPAIO MENDES, Presidente do Conselho de Administração da Petrobrás, a comparecer a esta Comissão, a fim de prestar informações sobre sobre a política de retenção do pagamento dos dividendos extraordinários",Sim,2024,REQ
739,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
739,162855,Requeiro licença para desempenhar missão política ou cultural de interesse parlamentar.,Sim,2024,REQ
739,163837,"Requer que o Projeto de Lei n° 5.066, de 2020, deliberado terminativamente pela Comissão de Infraestrutura, seja apreciado pelo Plenário do Senado Federal.",Não,2024,R.S
739,164249,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
739,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
739,163182,"Altera a Lei nº 14.069, de 1º de outubro de 2020, que “cria o Cadastro Nacional de Pessoas Condenadas por Crime de Estupro”, para incluir em sua nomenclatura o crime de “estupro de vulnerável” e instituir a obrigação de identificação de condenados por crimes de estupro e estupro de vulnerável nos passaportes.",Sim,2024,PL
739,162651,"Altera os artigos 6º e 39 da Lei nº 8.078, de 11 de setembro de 1990, que dispõe sobre a proteção do consumidor e dá outras providências, para tornar obrigatório ao fornecedor ofertar canal de atendimento exclusivo e específico para cancelamento imediato da prestação de serviço e para considerar prática abusiva o não cancelamento no prazo estabelecido em lei.",Sim,2024,PL
739,162743,"Nos termos do art. art. 71, IV da Constituição Federal e do art. 102, I, “e” do Regimento Interno do Senado Federal, requer a realização de Auditoria, com o auxílio do Tribunal de Contas da União, com o objetivo de avaliar a decisão de retenção da distribuição de dividendos extraordinários aos acionistas da Petróleo Brasileiro S.A. – Petrobrás.",Sim,2024,REQ
739,162652,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para coibir a chamada “obsolescência programada” e regular o direito ao reparo.",Sim,2024,PL
739,163266,"Altera a Lei nº 8.212, de 24 de julho de 1991 (Lei de Organização da Seguridade Social), e a Lei nº 8.213, de 24 de julho de 1991 (Lei de Benefícios da Previdência Social), para dispor sobre a redução a zero da alíquota previdenciária patronal para o empregador que contratar pessoa com deficiência com elevada dificuldade de locomoção para cargos de atendimento ao público e outros cujas funções sejam, ordinariamente, de desempenho presencial, mediante a utilização de tecnologias assistivas capazes de permitir o desempenho das funções por teletrabalho.",Sim,2024,PL
739,162592,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para ampliar a aplicação do confisco alargado, conferir legitimidade ao terceiro de boa-fé para demonstrar a inexistência de incompatibilidade ou a procedência lícita do patrimônio e prever a utilização de medidas assecuratórias para garantir a disponibilidade dos bens ou direitos com requerimento de perda.",Sim,2024,PL
739,163117,"Altera o art. 17-C da Lei nº 9.613, de 3 de março de 1998 (Lei de Lavagem de Capitais), para detalhar o procedimento dos encaminhamentos das instituições financeiras e tributárias em resposta às ordens judiciais de transferência de sigilo e estabelecer sanções para o seu descumprimento injustificado.",Sim,2024,PL
739,163015,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), a Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições), e a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), a fim de criar hipóteses delitivas, explicitar a possibilidade de responsabilização civil para o caso de uso abusivo de inteligência artificial e regular o uso dessa ferramenta nas campanhas eleitorais.",Sim,2024,PL
739,163043,"Altera o art. 146, § 3º, II, da Constituição Federal para corrigir o tratamento injusto concedido pela reforma tributária às microempresas, às empresas de pequeno porte e aos microempreendedores individuais.",Não,2024,PEC
739,163987,"Autoriza o Poder Executivo federal a implementar, para o estado do Rio Grande do Sul, incluindo Municípios, o Programa Emergencial de Manutenção do Emprego e da Renda; e dá outras providências.",Sim,2024,PL
739,163732,Requer ...,Sim,2024,REQ
739,164456,Institui o Estatuto da Vítima.,Sim,2024,PL
739,163815,Requer licença sem ônus para o Senado Federal,Sim,2024,REQ
739,163669,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para agravar sanções, prever formas qualificadas e estabelecer causas de aumento de pena para crimes cometidos no contexto de situação de emergência ou estado de calamidade pública oficialmente decretados.",Sim,2024,PL
739,162358,"Requer urgência para o Projeto de Lei nº 6.007/2023 (Substitutivo-CD), nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
739,164464,"Acrescenta o art. 40-A ao Ato das Disposições Constitucionais Transitórias da Constituição Federal, para criar a Zona Franca do Rio Grande do Sul.",Não,2024,PEC
739,162993,Sugere ao Ministério da Fazenda a adoção de medidas de aperfeiçoamento da publicidade conferida às normas tributárias federais.,Sim,2024,INS
739,162776,"Revoga a competência concorrente para legislar sobre direito penitenciário, atribuindo-a aos Estados.",Não,2024,PEC
739,162695,Requer voto de louvor à Assembleia Legislativa do Espírito Santo pela soltura do Deputado Estadual Capitão Assumção.,Não,2024,RQS
