codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6337,156016,"Desarquivamento das seguintes proposições, na forma do art. 332, § 1º, do Regimento Interno: PEC 32/2015, PEC 33/2015, PLS 172/2015, PLS 187/2015, PLC 119/2015, PLS 376/2015, PRS 24/2017, PRS 49/2017, PL 2980/2021, PL 3835/2021, PL 3836/2021, PL 3993/2021, PL 4076/2021, PL 4432/2021, PL 784/2020.",Não,2023,RQS
6337,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
6337,163944,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, para definir passível de pena o desvio de recursos arrecadados através de coleta coletiva.",Sim,2024,PL
6337,162966,Requer a realização de Sessão Especial destinada a celebrar os 25 anos de fundação da Associação Brasileira de Magistrados Espíritas (ABRAME).,Não,2024,RQS
6337,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
6337,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
6337,162502,"Requer a retirada definitiva do Projeto de Lei n° 707, de 2024.",Sim,2024,RQS
6337,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
6337,162262,"Requer, nos termos do art. 58, § 2°, II e V, da Constituição Federal, que seja convidado o Exmo. Sr. Volodymyr Zelensky, Presidente da Ucrânia, a comparecer a esta Comissão, a fim de debater a dificuldade que a Ucrânia tem enfrentado em estabelecer relações diplomáticas com o nosso país, demonstrada pela demora do governo brasileiro em convidar o Chanceler ucraniano DmytroKuleba para visitar o Brasil.",Não,2024,REQ
6337,162503,"Altera a Lei Complementar nº 152, de 3 de dezembro de 2015, para dispor sobre a aposentadoria compulsória aos ocupantes de cargos em comissão.",Sim,2024,PLP
6337,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
6337,163323,"Altera a Lei 14.791, de 29 de dezembro de 2023, para definir regras específicas para apresentação de emendas do Art. 166 e Art. 166-A da Constituição Federal.",Sim,2024,PL
6337,164284,"Altera a Lei n° 8.906, de 4 de julho de 1994 – Estatuto da Advocacia, para garantir aos advogados o direito de porte de arma de fogo para defesa pessoal, em todo o território nacional.",Sim,2024,PL
6337,163309,"Altera a Lei n. 9.504, de 30 de setembro de 1997 (Lei das Eleições) e a Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos) para obrigar a destinação de recursos dos fundos eleitoral e partidário para medidas de enfrentamento de calamidade pública ou desastres naturais.",Sim,2024,PL
6337,162780,Altera a legislação do Imposto sobre Produtos Industrializados – IPI para definir alíquota zero para os veículos movidos exclusivamente a etanol.,Sim,2024,PL
6337,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
6337,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
6337,162593,Requer licença para desempenhar missão externa.,Sim,2024,REQ
6337,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
6337,163345,"Altera a Lei 14.791, de 29 de dezembro de 2023, para definir regras específicas para apresentação de emendas do Art. 166 e Art. 166-A da Constituição Federal.",Sim,2024,PL
6337,162781,Requer licença para atividade parlamentar externa.,Sim,2024,REQ
6337,162102,"Requer a oitiva da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei nº 826/2019.",Não,2024,RQS
6337,162819,"Modifica o art. 231 da Constituição Federal, para permitir aos índios produzir e comercializarem livremente sua produção e prever a obrigação da União de prestar-lhes auxílio técnico.",Não,2024,PEC
6337,162107,"Requer a convocação, perante o Plenário, do Senhor Mauro Vieira, Ministro de Estado das Relações Exteriores, para prestar informações sobre os possíveis impactos internacionais decorrente das recentes declarações do Presidente da República que comparam a contraofensiva militar israelense na Faixa de Gaza ao Holocausto, e as possíveis medidas a serem adotadas pelo Itamaraty para remediar a situação diplomática",Não,2024,RQS
6337,163943,"Requer a realização de Sessão Especial destinada a homenagear o movimento pró-vida por seu papel crucial na proteção do direito à vida desde a fecundação até a morte natural, e celebrar a Marcha da Cidadania em Defesa da Vida Contra o Aborto.",Não,2024,RQS
6337,162066,"Requer a realização de Sessão de Debates Temáticos destinada a discutir o objeto da Proposta de Emenda Constitucional (PEC) 42/2023, que trata das condições de elegibilidade por militares da ativa das Forças Armadas.",Não,2024,RQS
6337,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
6337,162428,"Dispõe sobre a vedação de suspensão, retenção, bloqueio ou proibição de CNH (Carteira Nacional de Habilitação), passaporte e direito de prestar concurso público, como forma de garantir execução de dívida.",Sim,2024,PL
6337,164285,"Altera dispositivos do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 que dispõe sobre crime contra a dignidade sexual e dá outras providências.",Sim,2024,PL
6337,164363,"Altera o Código Brasileiro de Trânsito (CBT) – Lei 9.503 de 23 de setembro de 1997, para determinar que a despesa de estada em depósito será calculada em dias úteis.",Sim,2024,PL
6337,162358,"Requer urgência para o Projeto de Lei nº 6.007/2023 (Substitutivo-CD), nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
6337,164464,"Acrescenta o art. 40-A ao Ato das Disposições Constitucionais Transitórias da Constituição Federal, para criar a Zona Franca do Rio Grande do Sul.",Não,2024,PEC
6337,162697,Requer deferimento do pedido de licença em conformidade com o Art. 13 do RISF.,Sim,2024,REQ
