codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6335,155952,Altera os arts. 5º e 102 da Constituição Federal para reafirmar a proteção jurídica da coisa julgada.,Não,2023,PEC
6335,162070,Requer a realização de Sessão Especial destinada a celebrar o Dia do Jovem Candango e os 11 anos do Programa Jovem Candango.,Sim,2024,RQS
6335,163956,"Requer voto de aplauso à Sociedade Bíblica do Brasil (SBB), pela comemoração dos 76 anos de sua fundação, que ocorre no dia 10 de junho de 2024.",Sim,2024,RQS
6335,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
6335,163031,"Requer realização de audiência pública, em conjunto com a Comissão de Ciência, Tecnologia, Inovação e Informática, com o objetivo de discutir os desafios do ensino médico no Brasil, incluindo o crescimento no número de escolas médicas, a qualidade do ensino, a atuação interprofissional na competência médica e o papel da tecnologia na medicina.",Não,2024,REQ
6335,162966,Requer a realização de Sessão Especial destinada a celebrar os 25 anos de fundação da Associação Brasileira de Magistrados Espíritas (ABRAME).,Não,2024,RQS
6335,162847,Sugere ao Ministério da Casa Civil a criação de órgão colegiado paritário entre Poder Público e sociedade civil em razão da realização da COP30.,Sim,2024,INS
6335,162071,"Requer a realização de Sessão Especial destinada a celebrar, em 15 de outubro de 2024, o bicentenário da Magistratura de Paz no Brasil, bem como reconhecer e valorizar o esforço laboral dos Juízes de Paz, cuja atuação desempenha papel de fundamental relevância na administração da justiça.",Sim,2024,RQS
6335,163924,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal, e art. 93, II, do Regimento Interno do Senado Federal (RISF), retificando o Requerimento nº 47/2024 - CAS, seja considerada a indicação dos nomes que especifica para a participação na audiência pública aprovada pelo REQ nº 3/2024-CAS, que tem como objetivo debater sobre o cigarro eletrônico.",Sim,2024,REQ
6335,162511,"Requer informações à Senhora Nísia Trindade Lima, Ministra de Estado do Ministério da Saúde, sobre o cumprimento da Medida Provisória de 1° de julho de 2022, da Corte Interamericana de Direitos Humanos – Corte IDH/OEA, sobre violações de Direitos Humanos dos indígenas Yanomami.",Sim,2024,RQS
6335,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Sim,2024,R.S
6335,162704,Requer a realização de Sessão Especial destinada a celebrar os 45 anos do Sindicato das Entidades Mantenedoras de Estabelecimentos de Ensino Superior no Estado de São Paulo (SEMESP).,Não,2024,RQS
6335,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
6335,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
6335,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Não,2024,PL
6335,162550,Requer que a Comissão de Educação e Cultura avalie o Programa Nacional do Livro e do Material Didático (PNLD) no exercício de 2024.,Sim,2024,REQ
6335,162162,"Requer, nos termos 58, §2º, II, da Constituição Federal e 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública para debater o alcoolismo na adolescência no Brasil.",Sim,2024,REQ
6335,162161,"Requer  nos termos art. 58, §2º, II, da Constituição Federal e 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública para debater sobre o uso de cigarros eletrônicos.",Sim,2024,REQ
6335,162080,Requer a realização de Sessão Especial destinada a celebrar os 100 anos de fundação da Sociedade Brasileira de Eubiose.,Não,2024,RQS
6335,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
6335,162329,"Requer a convocação da Exma. Sra. SÔNIA BONE DE SOUSA SILVA SANTOS, Ministra de Estado do Ministério dos Povos Indígenas, para que compareça a esta Comissão, a fim de prestar informações sobre o crescente número de óbito de indígenas Yanomami e das ações para o enfrentamento à situação de emergência em saúde pública no território Yanomami.",Sim,2024,REQ
6335,163157,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art.93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de discutir medidas de combate à prática do tráfico humano.",Não,2024,REQ
6335,163215,"Requer a constituição de uma Comissão Temporária Externa composta de 11 (onze) membros titulares para, no prazo de 120 (cento e vinte) dias, acompanhar investigação da Câmara dos Representantes dos Estados Unidos da América (United States House of Representatives) sobre denúncias oferecidas pelo empresário Elon Musk e a empresa X (antigo Twitter) acerca de possíveis violações de preceitos fundamentais da Constituição Federal e de ameaças a direitos e garantias individuais que estariam tendo lugar em nosso país.",Sim,2024,RQS
6335,162508,"Requer informações à Senhora Sonia Bone de Sousa Silva Santos, Ministra de Estado dos Povos Indígenas, sobre ações de cumprimento das Medidas Cautelares da CIDH/OEA aos indígenas Yanomami.",Sim,2024,RQS
6335,163672,"Cria o art. 286-A no Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para criminalizar a conduta de divulgar ou compartilhar cenas de suicídio ou de automutilação.",Sim,2024,PL
6335,163041,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de discutir propostas para viabilizar o cumprimento das metas da Recuperação Energética de Resíduos Sólidos no Plano Nacional de Resíduos Sólidos (Planares).",Não,2024,REQ
6335,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
6335,162504,Requer a oitiva da Comissão de Assuntos Econômicos sobre o Projeto de Lei nº 2607/2021.,Sim,2024,RQS
6335,162261,"Requer, nos termos dos arts. 50, caput, e 58, § 2º, III, da Constituição Federal e dos arts. 90, III, 397, § 1º e 400-A do Regimento Interno do Senado Federal, a convocação da Exma. Sra. Nísia Verônica Trindade Lima, Ministra de Estado, para que compareça a esta Comissão, a fim de prestar informações sobre a falta de água potável e falta de segurança para as equipes de saúde que atuam no atendimento aos indígenas no território Yanomami, em Roraima.",Sim,2024,REQ
6335,163730,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art.93, II, do Regimento Interno do Senado Federal, a realização de audiência pública,com o objetivo de discutir a temática dos jogos de azar na visão da segurança pública.",Não,2024,REQ
6335,163055,Requer a realização de audiência pública para discutir ações e políticas públicas voltadas para as crianças e os adolescentes indígenas em razão da atual situação de vulnerabilidade.,Sim,2024,REQ
6335,162290,"Requer informações ao Senhor Camilo Santana, Ministro de Estado da Educação, sobre como se tem processado a capacitação de professores e funcionários das escolas de educação básica em noções básicas de primeiros socorros, em atendimento à Lei nº 13.722, de 2019.",Sim,2024,RQS
6335,162613,"Requer que sejam prestadas, pela Exma. Sra. Ministra de Estado do Ministério da Saúde, Nísia Trindade Lima, informações sobre ações de cumprimento das Medidas Cautelares da CIDH/OEA aos indígenas Yanomami na área de saúde.",Sim,2024,REQ
