codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
3830,124116,Fixa alíquota máxima para cobrança do Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) incidente nas operações internas com querosene de aviação.,Não,2015,PRS
3830,164610,"Requer urgência para o Projeto de Decreto Legislativo nº 307/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Sim,2024,RQS
3830,164429,"Requer urgência para o Projeto de Lei nº 1818/2022, nos termos dos arts. 336, II, e 338,II, do Regimento Interno do Senado Federal.",Não,2024,RQS
3830,164607,"Requer urgência para o Projeto de Decreto Legislativo nº 266/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Sim,2024,RQS
3830,162272,"Requer licença para desempenhar missão oficial, a fim de participar do Seminário: “Atualização do Código Civil Brasileiro - Diálogo com o Novo Código Civil Argentino.”, em Buenos Aires, Argentina.",Sim,2024,REQ
3830,162646,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 11/2024 - CCDD, com o objetivo de instruir o PL 2628/2022, que “dispõe sobre a proteção de crianças e adolescentes em ambientes digitais” seja incluído o convidado que especifica.",Sim,2024,REQ
3830,162839,Requer licenças de 01/04/24 a 09/04/24,Sim,2024,REQ
3830,163791,"Requer que seja convidada a Senhora Marina Silva, Ministra do Meio Ambiente e Mudança do Clima, a comparecer à Comissão de Constituição, Justiça e Cidadania",Sim,2024,REQ
3830,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
3830,162413,Requer a realização de Sessão Especial destinada a celebrar os 50 anos da Codevasf.,Sim,2024,RQS
3830,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
3830,162318,"Requer, licença em 06/02/24 e 21/02/24, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
3830,162500,"Requer criação de Comissão Parlamentar de Inquérito, composta de 11 membros titulares e 7 membros suplentes, para, no prazo de 180 dias, apurar fatos relacionados às denúncias e suspeitas de manipulação de resultados no futebol brasileiro, envolvendo jogadores, dirigentes e empresas de apostas.",Não,2024,RQS
3830,163036,Requer licença dia 12.03.2024.,Sim,2024,REQ
3830,161646,"Requer licença em 12/12/2023, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2023,REQ
3830,161269,Dispõe sobre o regime jurídico aplicável ao Banco Central.,Não,2023,PEC
3830,161307,Abre novo prazo de parcelamento especial de débitos dos municípios com seus Regimes Próprios de Previdência Social dos Servidores Públicos e com o Regime Geral de Previdência Social.,Não,2023,PEC
3830,160512,"Requer, licença no dia 26/09/2023, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2023,REQ
3830,160514,"Requer, Licença 05/09/2023, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2023,REQ
3830,160513,"Requer, licença em 03/10/2023, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2023,REQ
3830,160358,"Requer licença para desempenhar missão oficial, a fim de participar da Inauguração da Casa da Cidadania da Língua, em Coimbra, Portugal, e do Fórum Internacional Esfera, em Paris, França.",Sim,2023,REQ
3830,160656,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, a constituição de uma Comissão Parlamentar de Inquérito para investigar o seguinte fato determinado: “Os efeitos da responsabilidade jurídica socioambiental da empresa Braskem S.A decorrente do maior acidente ambiental urbano já constatado no País, Caso Pinheiro/Braskem, em Maceió, Alagoas.",Não,2023,RQS
3830,160011,"Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.",Não,2023,PEC
3830,160053,"Requer licença para desempenhar missão oficial, em Nova Iorque, Estados Unidos, com ônus para o Senado Federal.",Sim,2023,REQ
3830,159512,Requer licença para missão no exterior de 30.08 a 04.09.2023.,Sim,2023,REQ
3830,159817,"Requer licença, no dia 15/08/2023, para desempenhar missão política ou cultural de interesse parlamentar.",Sim,2023,REQ
3830,158971,Requer licença nos dias 01 e 02.08.2023.,Sim,2023,REQ
3830,158568,"Acrescenta § 8º ao art. 218 da Constituição Federal, estabelecendo o incremento gradual do montante aplicado em ciência, tecnologia e inovação até, no mínimo, 2,5% do produto interno bruto.",Não,2023,PEC
3830,158281,"Requer licença para desempenhar missão oficial, em Lisboa, Portugal, com ônus para o Senado Federal.",Sim,2023,REQ
3830,158004,Requer seja inserida em ata moção de apoio ao Reino do Marrocos.,Não,2023,RQS
3830,157776,Requer licença nos dias 17 e 23.05.2023,Sim,2023,REQ
3830,156581,Dispõe sobre a atualização monetária dos repasses de recursos federais aos Municípios.,Não,2023,PEC
3830,156754,"Requer licença de 18 a 23.04.2023, com ônus para o Senado Federal, para participar do evento ""Brasil Conference London"", em Londres.",Sim,2023,REQ
3830,156571,Altera o art. 144 da Constituição Federal para identificar a Polícia Hidroviária Federal como órgão do sistema de segurança pública.,Não,2023,PEC
