codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5793,155928,Desarquivamento do PLS nº 208/2018.,Não,2023,RQS
5793,163472,"Altera a Lei nº 10.233, de 05 de junho de 2001, para incumbir a ANTT de regulamentar o transporte próprio de cargas perigosas destinadas à manutenção de atividades rurais.",Sim,2024,PL
5793,162915,"Requer voto de aplauso ao Conselho Federal de Medicina, pela aprovação da Resolução CFM nº 2.378, de 2024.",Não,2024,RQS
5793,162421,"Requer, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal, em face do que dispõe o art. 55, III, da Constituição Federal, licença para desempenhar missão política ou cultural de interesse parlamentar, sem ônus para o Senado Federal, no meu Estado, em 07/03/2024, a fim de participar de compromisso no Estado para tratar sobre as queimadas que desencadearam a situação de emergência ora vivida.",Sim,2024,REQ
5793,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
5793,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5793,164384,Requer licença para participar de compromisso político no estado.,Sim,2024,REQ
5793,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
5793,162484,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 20/2024 - CAS sejam incluídos os convidados que especifica.",Sim,2024,REQ
5793,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
5793,162769,"Requer informações à Senhora Sonia Guajajara, Ministra de Estado dos Povos Indígenas, sobre os recursos, ações e programações envolvidos no combate à crise humanitária dos Yanomamis.",Sim,2024,RQS
5793,164076,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater Políticas Públicas de Prevenção e Combate às Doenças Cardiovasculares, em comemoração ao Mês de Setembro.",Sim,2024,REQ
5793,162819,"Modifica o art. 231 da Constituição Federal, para permitir aos índios produzir e comercializarem livremente sua produção e prever a obrigação da União de prestar-lhes auxílio técnico.",Não,2024,PEC
5793,164679,Requer a realização de Sessão Especial destinada a celebrar o Dia Nacional do Hematologista e do Hemoterapeuta.,Não,2024,RQS
