codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
4994,118559,"Autoriza o Estado do Amazonas a contratar operação de crédito externo, com garantia da República Federativa do Brasil, no valor de até US$ 216.000.000,00 (duzentos e dezesseis milhões de dólares dos Estados Unidos da América).",Sim,2014,PRS
4994,140909,Urgência para o PL 6395/2019,Sim,2020,RQS
4994,140520,"Urgência para o PL nº 23, de 2020.",Sim,2020,RQS
4994,138389,"Urgência para o Projeto de Lei do Senado nº 769, de 2015.",Não,2019,RQS
4994,164697,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
4994,164276,"Requer a realização de audiência pública, com o objetivo de debater a concessão da hidrovia do rio Madeira.",Sim,2024,REQ
4994,162969,Requer voto de aplauso ao município Pauiní/AM pelo seu aniversário de 68 anos.,Sim,2024,RQS
4994,163209,"Requerimento de licença do Senador Eduardo Braga para os dias 11, 17 e 18 do corrente mês.",Sim,2024,REQ
4994,163044,Requerimento de Licença do Senador Eduardo Braga para os dias 26/03 e 02 a 03/04.,Sim,2024,REQ
4994,163959,Requerimento de Licença.,Sim,2024,REQ
4994,163963,"Requer, pelas Lideranças do PT, PSD, MDB e do Governo, destaque para votação em separado da Emenda nº 3 ao Projeto de Lei nº 914/2024.",Sim,2024,RQS
4994,163828,Altera o art. 6º da Constituição Federal para incluir o esporte como direito social.,Não,2024,PEC
4994,163420,"Requer a realização de Sessão Especial destinada a celebrar os 25 anos da Política Nacional de Educação Ambiental - PNEA (Lei n° 9.795, de 1999).",Não,2024,RQS
4994,162623,Requerimento de ausência.,Sim,2024,REQ
4994,163048,Requer a oitiva da Comissão de Serviços de Infraestrutura sobre o Projeto de Lei nº 5.187/2019.,Sim,2024,RQS
4994,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
4994,162599,"Requer voto de aplauso ao município amazonense Santo Antônio do Içá, pelos seus 68 anos completados em 13 de março de 2024.",Sim,2024,RQS
4994,161993,Requerimento de licença do Senador Eduardo Braga entre os dias 06 a 08 de fevereiro.,Sim,2024,REQ
4994,161513,Requerimento de licenças.,Sim,2023,REQ
