codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5976,135125,Desarquivamento do PLS 224/2016.,Não,2019,RQS
5976,161847,Destaque para votação em separado de dispositivo referente à funcional programática nº 28.846.0909.0EB8.0001 (relativamente à unidade orçamentária 71906 – Fundo Especial de Financiamento de Campanhas) contida no PLN nº 29/2023.,Sim,2023,RQN
5976,163905,Requerimento de verificação de votação ao PLN n° 13/2024.,Sim,2024,RQN
5976,162595,"Requer realização de Sessão de Debates Temáticos destinada a discutir o Projeto de Lei nº 5.008, de 2023, que ""dispõe sobre a produção, importação, exportação, comercialização, controle, fiscalização e propaganda dos cigarros eletrônicos e dá outras providências"".",Sim,2024,RQS
5976,163966,"Requer realização de Sessão de Debates Temáticos destinada a discutir o procedimento de assistolia fetal previamente aos procedimentos de interrupção da gravidez, nos casos de aborto previsto em lei, quando houver probabilidade de sobrevida do feto em idade gestacional acima de 22 semanas, e a Resolução nº 2.378/24, do Conselho Federal de Medicina (CFM).",Sim,2024,RQS
5976,163198,Requer realização de Sessão de Debates Temáticos destinada a discutir a liberdade de expressão.,Sim,2024,RQS
5976,164084,"Requer urgência para o Projeto de Lei nº 1.564/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
5976,163988,"Requer realização de Sessão de Debates Temáticos destinada a discutir a Proposta de Emenda à Constituição nº 3, de 2022, que revoga o inciso VII do caput do art. 20 da Constituição Federal e o § 3º do art. 49 do Ato das Disposições Constitucionais Transitórias; e dá outras providências.",Sim,2024,RQS
5976,161876,"Requer informações à Senhora Nísia Verônica Trindade Lima, Ministra de Estado da Saúde, sobre a aquisição de testes de Covid-19 pelo referido ministério e pela Fundação Osvaldo Cruz (FIOCRUZ).",Sim,2024,RQS
5976,161875,"Requer informações ao Senhor Camilo Sobreira de Santana, Ministro de Estado da Educação, sobre os investimentos efetuados em educação e alfabetização.",Sim,2024,RQS
5976,161217,"Requer a realização de Sessão de Debates Temáticos destinada a discutir a obrigatoriedade de vacinação contra Covid-19 em crianças, em virtude de inclusão da vacina no Programa Nacional de Imunização (PNI).",Sim,2023,RQS
5976,161174,"Requer calendário especial para a Proposta de Emenda à Constituição nº 8, de 2021.",Não,2023,RQS
5976,159463,"Requer a realização de Sessão de Debates Temáticos para instruir o PL nº 2796, de 2021, que ""cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",Não,2023,RQS
5976,159412,Requer a realização de sessão de debates temáticos a fim de debater a competência do poder legislativo e o ativismo judicial (ADPF 442).,Sim,2023,RQS
