codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
3777,137525,Urgência para o PLC 139/2018.,Não,2019,RQS
3777,162604,"Requer licença para desempenhar missão oficial, a fim de participar do NABSHOW 2024, em Las Vegas, Estados Unidos.",Sim,2024,REQ
3777,163051,"Requer licença para desempenhar missão política de interesse parlamentar, sem ônus para o Senado Federal",Sim,2024,REQ
3777,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
3777,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
3777,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
3777,162869,Requer Licença para desempenhar missão política ou cultural de interesse parlamentar no dia 05 de março de 2024.,Sim,2024,REQ
3777,162500,"Requer criação de Comissão Parlamentar de Inquérito, composta de 11 membros titulares e 7 membros suplentes, para, no prazo de 180 dias, apurar fatos relacionados às denúncias e suspeitas de manipulação de resultados no futebol brasileiro, envolvendo jogadores, dirigentes e empresas de apostas.",Não,2024,RQS
3777,163837,"Requer que o Projeto de Lei n° 5.066, de 2020, deliberado terminativamente pela Comissão de Infraestrutura, seja apreciado pelo Plenário do Senado Federal.",Não,2024,R.S
3777,162367,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater a proposta legislativa encaminhada ao Congresso Nacional pelo Presidente da República que cria um pacote de direitos trabalhistas para os trabalhadores por aplicativo.",Sim,2024,REQ
3777,163359,"Requer licença para desempenhar missão oficial, a fim de participar do Fórum Transformações - Revolução Digital e Democracia, em Madri, Espanha.",Sim,2024,REQ
3777,162486,"Requer o aditamento ao REQ 24/2024 - CAE para que sejam incluídas as Comissões de Assuntos Sociais e de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor.",Sim,2024,REQ
3777,162854,"Requer a inclusão do Senhor Danilo Oliveira Costa, presidente do IBDTRANSITO e coordenador de Esforço Legal do ONSV, na audiência pública objeto do REQ 164/2023-CAE.",Sim,2024,REQ
3777,162949,Requer a inclusão de convidados na Audiência Pública objeto do REQ 24/2024-CAE.,Sim,2024,REQ
3777,163581,"Altera a Lei nº 9.279, de 14 de maio de 1996 (Lei de Propriedade Industrial), para permitir que produtos apreendidos em virtude de falsificação de marca, independentemente da descaracterização desta, sejam doados para amenizar os efeitos de desastre, calamidade ou grave perturbação da ordem pública.",Sim,2024,PL
3777,163566,"Requeremos, nos termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do RQS 24/2024, com o objetivo de instruir o PL 5008/2023, que “dispõe sobre a produção, importação, exportação, comercialização, controle, fiscalização e propaganda dos cigarros eletrônicos, e dá outras providências”sejam incluídos os seguintes convidados:",Não,2024,REQ
3777,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
3777,164327,"Requer licença para desempenhar missão oficial, a fim de participar do evento Diálogos sobre Inovação e Direito, bem como do XII Fórum Jurídico de Lisboa, na Faculdade de Direito da Universidade de Lisboa, Portugal.",Sim,2024,REQ
3777,162413,Requer a realização de Sessão Especial destinada a celebrar os 50 anos da Codevasf.,Não,2024,RQS
