codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5718,135192,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, a constituição de uma Comissão Parlamentar de Inquérito composta de 11 (onze) membros titulares e 7 (sete) membros suplentes, para, no prazo de 180 (cento e oitenta) dias, com limite de despesas de R$ 110.000,00 (cento e dez mil reais), apurar as causas do rompimento da barragem na Mina Córrego do Feijão, da empresa de mineração Vale, em Brumadinho; tendo como objetivo identificar os responsáveis, quais foram as falhas dos órgãos competentes, os autores dos laudos técnicos e adoção das providências cabíveis para evitar novos acidentes.",Não,2019,RQS
5718,155165,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso XIII, da Constituição Federal, combinado com o art. 6º, § 1º, da Resolução do Senado Federal n° 7, de 2005, o nome do Senhor LUIZ FERNANDO BANDEIRA DE MELLO FILHO, para ser reconduzido ao cargo do Conselho Nacional de Justiça - CNJ, na vaga destinada ao Senado Federal.",Não,2022,OFS
5718,154305,"Realização de sessão de debates temáticos, em data a ser definida, a fim de debater o PL nº 1293/2021.",Não,2022,RQS
5718,152859,Urgência para o PL nº 2486/2021.,Não,2022,RQS
5718,146022,Destaque para votação em separado da Emenda nº 41390002 ao PLN nº 9/2020 - Projeto de Lei de Diretrizes Orçamentárias para 2021.,Sim,2020,RQN
5718,145974,"Destaque para votação em separado da Emenda nº 83 - PLEN, apresentada ao PL nº 4372/2020.",Sim,2020,RQS
5718,146116,"Convite ao senhor Marcelo Antônio Álvaro, ex-ministro do Turismo, para comparecer ao Plenário, a fim de prestar informações sobre a mensagem em rede social que lhe custou o cargo.",Sim,2020,RQS
5718,145780,"Destaque para votação em separado da Emenda nº 20 - PLEN, apresentada ao PL nº 4476/2020.",Sim,2020,RQS
5718,145583,"Destaque para votação em separado da Emenda nº 4-PLEN, apresentada ao PL nº 4554/2020.",Sim,2020,RQS
5718,145814,"Destaque para votação em separado do art. 41, previsto no Relatório Legislativo do PL nº 4476/2020.",Sim,2020,RQS
5718,145817,"Destaque para votação em separado da alínea ""a"" do inciso IX do art. 74, constante no Relatório Legislativo do PL nº 4253/2020 (Substitutivo-CD).",Sim,2020,RQS
5718,145673,"Destaque para votação em separado da Emenda nº 19-PLEN, apresentada ao PL nº 4023/2020.",Sim,2020,RQS
5718,145674,Retirada do RQS nº 2513/2020.,Sim,2020,RQS
5718,145082,"Destaque para votação em separado da Emenda nº 14-PLEN, apresentada ao PL nº 4023/2020.",Sim,2020,RQS
5718,145743,"Destaque para votação em separado da Emenda nº 101, apresentada à MPV nº 41/2020.",Sim,2020,RQS
5718,145751,Destaque para votação em separado da Emenda nº 4-PLEN apresentada ao PLP nº 247/2020.,Sim,2020,RQS
5718,144975,Destaque para votação em separado da Emenda nº 3 oferecida ao PL nº 1013/2020.,Sim,2020,RQS
5718,145406,Destaque para votação em separado do dispositivo 13.20.001 constante do VET nº 13/2020.,Sim,2020,RQN
5718,145318,"Destaque para votação em separado da Emenda nº 3 - PLEN, apresentada ao PL nº 3877/2020.",Sim,2020,RQS
5718,145594,"Urgência para o PLP nº 266, de 2020.",Não,2020,RQS
5718,144617,"Destaque para votação em separado da Emenda nº 12 - PLEN, apresentada ao PL nº 2388/2020.",Sim,2020,RQS
5718,144459,"Destaque para votação em separado do art. 17-E da Lei nº 13.334, de 2010, previsto no art. 4º do PL n° 550/2019 (SCD).",Sim,2020,RQS
