codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
22,115422,Requer destaque para votação em separado da Emenda nº 2 apresentada ao PLN 1/2013.,Sim,2013,RQN
22,155527,Destaque para votação em separado referente ao VET nº 45/2022.,Sim,2022,RQN
22,143100,Adição de assinatura ao Requerimento nº 3088/2020.,Sim,2020,RQS
22,145555,Realização de Sessão de Debates Temáticos para debater informações questionáveis a respeito do aumento das queimadas e do desmatamento na Amazônia.,Sim,2020,RQS
22,146115,Convite do presidente da caixa para videoconferência em sessão remota do SF. (Debate Temático),Não,2020,RQS
22,146116,"Convite ao senhor Marcelo Antônio Álvaro, ex-ministro do Turismo, para comparecer ao Plenário, a fim de prestar informações sobre a mensagem em rede social que lhe custou o cargo.",Não,2020,RQS
22,145543,Adição de assinatura ao RQS nº 2771/2020.,Sim,2020,RQS
22,145207,"Realização de sessão de debates temáticos, em outubro, para discutir com as autoridades brasileiras e alertar sobre a ameaça que afronta o País devido a entrega de pacotes misteriosos, pelos Correios, contendo sementes provenientes da Ásia, supostamente da China.",Sim,2020,RQS
22,145171,Urgência para o PL 6549/2019.,Não,2020,RQS
22,145151,Adição de assinatura ao RQS nº 2542/2020.,Sim,2020,RQS
22,143519,"Convite ao Sr. Milton Ribeiro, Ministro de Estado da Educação, para comparecer à sessão remota, por meio de videoconferência, para debater suas propostas e os planos para a educação de nosso país, e possibilitar aos senadores a apresentação das propostas que tramitam no Senado.",Não,2020,RQS
22,143515,Adição de assinatura ao RQS nº 1454/2020.,Sim,2020,RQS
22,143490,"Realização de sessão de debates temáticos, em data oportuna, a fim de debater sobre os desafios econômicos, sociais e ambientais do Brasil para o período pós-pandemia.",Não,2020,RQS
22,143516,Adição de assinatura ao RQS nº 1475/2020.,Sim,2020,RQS
22,143265,"Realização de sessão de debates temáticos, em data oportuna, a fim de debater a Harmonia e Independência entre os Poderes da República Federativa do Brasil.",Não,2020,RQS
22,143115,"Realização de Sessão de Debates Temáticos, a fim de debater sobre o PL nº 2630/2020.",Sim,2020,RQS
22,143110,Adição de assinatura ao RQS nº 1308/2020.,Sim,2020,RQS
22,143126,"Convite ao novo Ministro da Educação, Carlos Alberto Decotelli, para comparecer por meio de videoconferência a sessão remota do Plenário do Senado Federal, destinada ao debate temático sobre suas propostas e planos para a educação de nosso país.",Não,2020,RQS
22,143109,Adição de assinatura ao RQS nº 1206/2020.,Sim,2020,RQS
22,143099,Adição de assinatura ao RQS nº 1220/2020.,Sim,2020,RQS
22,143114,"Realização de sessão de debates temáticos, em data a ser agendada, a fim de discutir o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe).",Não,2020,RQS
22,143286,Adição de assinatura ao RQS nº 1306/2020.,Sim,2020,RQS
22,143261,"Convite ao Sr. Hamilton Mourão, Vice-Presidente da República Federativa do Brasil, a comparecer por meio de videoconferência à sessão remota, a fim de prestar informações sobre o plano de combate ao desmatamento na Amazônia.",Não,2020,RQS
22,143285,"Realização de Sessão de Debates Temáticos, ser realizada em data oportuna, a fim de debater sobre a COVID-19, o tratamento inicial dos pacientes infectados e como evitar o caos na saúde pública e a ocupação total dos leitos de UTIs.",Não,2020,RQS
22,143284,"Adição de assinatura ao Requerimento nº 1319, de 2020.",Sim,2020,RQS
22,143008,Adição de assinatura ao RQS nº 1207/2020.,Sim,2020,RQS
22,141075,"Realização de sessão de debates temáticos, no dia 18/03/2020, destinada a debater respostas emergenciais, econômicas e sanitárias, à crise mundial desencadeada pelo coronavírus.",Sim,2020,RQS
22,140172,Urgência para o PL 6389/2019 (Substitutivo-CD).,Não,2019,RQS
22,140227,"Urgência para o PL nº 4489, de 2019.",Sim,2019,RQS
22,139629,Urgência para o PL 1615/2019.,Não,2019,RQS
22,139519,"Urgência para os seguintes projetos: PRS 51/2019, PRS 34/2018, PRS 39/2019, PRS 44/2019, PRS 55/2019, PRS 64/2019, PRS 4/2019, PRS 17/2019, PRS 6/2019 e PRS 23/2018.",Não,2019,RQS
