codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5953,135118,"Modifica o art. 37 da Constituição Federal, para suspender o transcurso do prazo de validade de concurso público na hipótese de o Poder Público suspender as nomeações por falta de recursos financeiros.",Não,2019,PEC
5953,162109,"Requer, pela Liderança do PT, destaque para votação em separado da Emenda nº 8 ao Projeto de Lei nº 2253/2022.",Sim,2024,RQS
5953,161704,Destaque para votação em separado do § 6º do art. 83 do Substitutivo.,Sim,2023,RQN
5953,161705,Destaque para votação em separado dos §§ 7º e 8º do art. 81 do Substitutivo.,Sim,2023,RQN
5953,161359,"Requer, pela Liderança do PT, destaque para votação em separado da Emenda nº 155 ao Projeto de Lei nº 3.626/2023.",Sim,2023,RQS
5953,159463,"Requer a realização de Sessão de Debates Temáticos para instruir o PL nº 2796, de 2021, que ""cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",Não,2023,RQS
5953,159331,"Requer a realização de Sessão de Debates Temáticos para propor soluções para os problemas enfrentados pelos usuários dos serviços prestados pelo setor de transporte áereo: altos preços das passagens, poucas linhas aéreas etc.",Não,2023,RQS
5953,158966,"Requer a realização de Sessão de debates temáticos para debater o tema ""Reforma Tributária"".",Não,2023,RQS
5953,158740,"Requer, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal, urgência para o PL 2920/2023.",Não,2023,RQS
5953,157627,"Requer destaque, para votação em separado, para suprimir a Emenda nº 92 ao PLV 10/2023",Sim,2023,RQS
5953,157266,"Requer, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal, urgência para o PRS 18/2022.",Sim,2023,RQS
5953,157431,"Requeremos calendário especial para a Proposta de Emenda à Constituição nº 162, de 2019, que ""altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais"".",Não,2023,RQS
5953,157313,"Requer, nos termos do inciso IV e § 7º do art. 154 do Regimento Interno do Senado Federal, a realização de Sessão de Debates Temáticos.",Não,2023,RQS
5953,156048,"Urgência, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal, para o PRS nº 23/2022.",Não,2023,RQS
5953,156224,Urgência para o PRS nº 24/2023.,Não,2023,RQS
5953,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
5953,163702,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do RQS 24/2024 sejam incluídos convidados.",Sim,2024,REQ
5953,162299,Requer a realização de Sessão Especial destinada a celebrar o Dia Mundial das Águas.,Não,2024,RQS
5953,163674,Requer voto de pesar e solidariedade pelo falecimento do Sr. Leandro Medice.,Sim,2024,RQS
5953,163574,"Requer, nos termos dos arts. 336, II, e 338, IV, do Regimento Interno do Senado Federal, urgência para o MSF 9/2024.",Sim,2024,REQ
5953,163355,"Requer a realização de Sessão Especial destinada a celebrar os 30 anos da Consultoria de Orçamentos, Fiscalização e Controle do Senado Federal.",Não,2024,RQS
5953,162874,"Requer, nos termos regimentais, autorização para desempenhar missão oficial, representando a Comissão de Assuntos Sociais do Senado Federal, como palestrante, no IV Congresso Nacional da Associação Brasileira de Famílias Homotransafetivas, que acontecerá nos dias 24 e 25 de maio de 2024, em Curitiba/PR.",Sim,2024,REQ
5953,163837,"Requer que o Projeto de Lei n° 5.066, de 2020, deliberado terminativamente pela Comissão de Infraestrutura, seja apreciado pelo Plenário do Senado Federal.",Não,2024,R.S
5953,163060,"Altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para obrigar o condutor do veículo automotor envolvido em sinistro de trânsito a se submeter a teste, exame clínico ou outro procedimento que permita certificar influência de álcool ou outra substância psicoativa que determine dependência e dispor que o homicídio na direção de veículo automotor será considerado crime inafiançável e insuscetível de graça, indulto e anistia.",Sim,2024,PL
5953,162818,Altera o art. 6º da Constituição Federal para determinar que a cultura é um direito social.,Não,2024,PEC
5953,164122,Requer a realização de Sessão Especial destinada a celebrar os 48 anos de criação da Associação Nacional dos Magistrados da Justiça do Trabalho (ANAMATRA) e homenagear a entidade.,Não,2024,RQS
5953,162837,"Requer licença para desempenhar missão oficial, a fim de participar da Segunda edição parlamentar anual do Global Innovations in Democracy em Washington, Estados Unidos.",Sim,2024,REQ
5953,164254,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.483/2022.,Não,2024,R.S
5953,162252,"Requer, nos termos dos arts. 336, II, e 338, IV, do Regimento Interno do Senado Federal, urgência para o PL 3027/2022, que “institui a Política Nacional de Qualidade do Ar”.",Sim,2024,REQ
5953,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
5953,162622,Requer que o PL 699/2023 seja apreciado pelo Plenário do Senado Federal.,Não,2024,R.S
5953,163967,Requer realização de Sessão de Debates Temáticos destinada a discutir a regulamentação do uso da inteligência artificial no Brasil.,Não,2024,RQS
5953,163823,"Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde, para vedar a rescisão unilateral do vínculo da pessoa idosa e pessoas com deficiência com o plano de saúde.",Sim,2024,PL
5953,164136,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, para prever a decisão liminar de reparação de danos ao ofendido ou a seus dependentes.",Sim,2024,PL
5953,164253,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.488/2022.,Não,2024,R.S
5953,164255,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.481/2022.,Não,2024,R.S
5953,162163,"Altera a Lei nº 12.546, de 14 de dezembro de 2011, para instituir termo de compromisso destinado à manutenção do quantitativo de empregados nas empresas que optarem pela contribuição substitutiva sobre a receita bruta.",Sim,2024,PL
5953,164361,"Altera a Lei nº 11.788, de 25 de setembro de 2008, que dispõe sobre o estágio de estudantes; altera a redação do art. 428 da Consolidação das Leis do Trabalho – CLT, aprovada pelo Decreto-Lei no 5.452, de 1o de maio de 1943, e a Lei no 9.394, de 20 de dezembro de 1996; revoga as Leis nos 6.494, de 7 de dezembro de 1977, e 8.859, de 23 de março de 1994, o parágrafo único do art. 82 da Lei no 9.394, de 20 de dezembro de 1996, e o art. 6o da Medida Provisória no 2.164-41, de 24 de agosto de 2001; e dá outras providências, para reduzir a carga horária do estágio de alunos dos cursos de licenciatura.",Sim,2024,PL
5953,163249,Requer a realização de Sessão Especial destinada a celebrar os 20 anos do Serviço de Atendimento Móvel de Urgência – SAMU e homenagear todos os profissionais que prestam serviços nesse importante equipamento de saúde pública no Brasil.,Não,2024,RQS
5953,163156,Requer a realização de Sessão Especial destinada a comemorar o Dia Mundial do Meio Ambiente e o Dia Internacional dos Oceanos.,Não,2024,RQS
5953,162340,Requer realização de Sessão Especial em novembro para “ Comemorar os 70 anos de criação da Universidade Federal do Estado do Ceará - UFC”.,Não,2024,RQS
5953,164124,"Recorre da decisão terminativa da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei nº 2.830/2019.",Não,2024,R.S
5953,162788,Requer voto de pesar pelas vítimas fatais das chuvas intensas no Sul do Estado do Espírito Santo.,Sim,2024,RQS
5953,163376,Requer a inclusão de apoiamento à Proposta de Emenda à Constituição nº 15/2024.,Sim,2024,RQS
5953,162842,Altera a Constituição Federal para dispor sobre o atendimento ininterrupto das Defensorias Públicas para temas de saúde.,Não,2024,PEC
5953,162753,Requer a oitiva da Comissão de Meio Ambiente sobre o Projeto de Lei nº 2973/2023.,Sim,2024,RQS
5953,161958,Requer autorização de licença para desempenho de atividades parlamentares externas.,Sim,2024,REQ
5953,161928,"Requer a realização de Sessão Especial destinada a celebrar o Dia Nacional de Zumbi e da Consciência Negra, dia 20 de novembro.",Não,2024,RQS
5953,161927,"Requer a realização de Sessão Especial destinada a celebrar o dia 1º de maio, Dia do Trabalhador e das Trabalhadoras.",Não,2024,RQS
5953,161930,"Requer a realização de Sessão Especial destinada a celebrar o dia 1º de outubro, Dia Nacional do Idoso.",Não,2024,RQS
5953,161929,Requer a realização de Sessão Especial destinada a celebrar o Dia Nacional de Luta da Pessoa com Deficiência.,Não,2024,RQS
5953,161691,Requer a realização de Sessão Especial destinada a promover ato sobre os 60 anos da Ditadura Militar no Brasil.,Não,2023,RQS
