codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6345,156229,"Realização de sessão especial, no dia 13/09/2023, a fim de comemorar o aniversário de oitenta anos da criação do Território Federal do Amapá.",Não,2023,RQS
6345,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
6345,162826,Requerimento de licença 26.03.24,Sim,2024,REQ
6345,163663,Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir entre os patrimônios nacionais o Pantanal Sul-Mato-Grossense.,Não,2024,PEC
6345,162943,"Requer que na audiência pública objeto do REQ 18/2024 - CI, com o objetivo de instruir o PL 528/2020, seja incluído entre os convidados o senhor Mário Campos, Presidente da Bioenergia Brasil.",Sim,2024,REQ
6345,163010,Requerimento licença 09.04.24,Sim,2024,REQ
6345,162392,Requerimento de ausência,Sim,2024,REQ
6345,162278,"Requer, os termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 8/2024 - CAE, com o objetivo de instruir o PL 836/2021, que “altera a Lei nº 7.766, de 11 de maio de 1989, e a Lei nº 9.613, de 03 de março de 1998, com o objetivo de estabelecer parâmetros sobre a comercialização do ouro, e revoga artigos da Lei nº 12.844, de 19 de julho de 2013” seja incluído o seguinte convidado o Senhor Raul Jungmann, Presidente do Instituto Brasileiro de Mineração (IBRAM).",Sim,2024,REQ
6345,162901,"Altera a Lei nº 14.133, de 1º de abril de 2021, a Lei de Licitações e Contratos Administrativos, para estabelecer margem de preferência para os modelos movidos a biocombustíveis ou a hidrogênio nas compras e locações de veículos automotores, bem como para os biocombustíveis e o hidrogênio verde nas compras de combustíveis para o abastecimento de veículos automotores.",Sim,2024,PL
6345,163397,"Requer, nos termos do art. 43, II, do Regimento Interno do SenadoFederal, em face do que dispõem os arts. 55, III, e 56, II, da Constituição Federal, licença para tratar de interesse particular, sem remuneração, de 07/05/2024 a08/05/2024.",Sim,2024,REQ
6345,161967,"Requer, nos termos do art. 43, II, do Regimento Interno do Senado Federal, em face do que dispõem os arts. 55, III, e 56, II, da Constituição Federal, licença para tratar de interesse particular, sem remuneração, de 06/02/2024 a 07/02/2024.",Sim,2024,REQ
6345,161269,Dispõe sobre o regime jurídico aplicável ao Banco Central.,Não,2023,PEC
6345,160948,Requer urgência para a matéria.,Sim,2023,REQ
6345,160656,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, a constituição de uma Comissão Parlamentar de Inquérito para investigar o seguinte fato determinado: “Os efeitos da responsabilidade jurídica socioambiental da empresa Braskem S.A decorrente do maior acidente ambiental urbano já constatado no País, Caso Pinheiro/Braskem, em Maceió, Alagoas.",Não,2023,RQS
6345,160230,"Requer que o PL 6403/2019 deliberado terminativamente pela Comissão de Assuntos Econômicos, seja apreciado pelo Plenário do Senado Federal.",Não,2023,R.S
6345,159964,Altera as condições de elegibilidade por militares da ativa das Forças Armadas.,Não,2023,PEC
6345,159733,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de instruir o PL 403/2022,que “concede isenção do Imposto sobre Importação para veículos elétricos e híbridos”",Sim,2023,REQ
6345,159327,"Requer, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal, urgência para o PL 2801/2022.",Não,2023,RQS
6345,159006,Req._CAE Audiência Pública_Reforma_Tributária_Consórcio Nordeste,Sim,2023,REQ
6345,158950,"Requer a realização de Sessão de Debates Temáticos no dia 17/08/2023, a fim de debater a retomada da indústria no Brasil.",Não,2023,RQS
6345,159092,"Requer a realização de Sessão de Debates Temáticos a fim de  debater a ""Reinvenção do Brasil pelas estratégias regionais de desenvolvimento"".",Não,2023,RQS
6345,158819,"Requer, nos termos do art. 43, I, do Regimento Interno do Senado Federal, em face do que dispõem os arts. 55, III, e 56, II, da Constituição Federal, licença saúde, de 04/07/2023 a 17/07/2023, conforme laudo de inspeção de saúde em anexo.",Sim,2023,REQ
6345,158159,"Requer, nos termos do art. 43, II, do Regimento Interno do Senado Federal, em face do que dispõem os arts. 55, III, e 56, II, da Constituição Federal, licença para tratar de interesse particular, sem remuneração, em 13/06/2023.",Sim,2023,REQ
6345,157895,Altera o art. 132 da Constituição Federal para incluir os Procuradores dos Municípios entre os que compõem a advocacia pública e dá outras providências.,Não,2023,PEC
6345,157859,"Requeiro, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 16/2023 - CRA, que visa debater o tema ""Os fertilizantes no Brasil"", proponho a inclusão dos seguintes convidados no debate:
• Sr. José Carlos Polidoro, Pesquisador da Embrapa Solos;
• Sr. André Passos Cordeiro, Diretor de Relações Institucionais da Associação Brasileira da Indústria Química- ABIQUIM;
• Sr. Ricardo Tortorella, Diretor Executivo da Associação Nacional para Difusão de Adubos – ANDA;
• Sr. Bernardo Silva, Diretor Executivo do Sindicato Nacional da Indústria de Matérias Primas para Fertilizantes – SINPRIFERT.",Sim,2023,REQ
6345,157217,"Requer, nos termos do art. 43, II, do Regimento Interno do Senado Federal, em face do que dispõem os arts. 55, III, e 56, II, da Constituição Federal, licença para tratar de interesse particular, sem remuneração, de 02/05/2023 a 03/05/2023.",Sim,2023,REQ
6345,156956,"Requer licença para desempenhar missão oficial, com ônus para o Senado Federal, em Portugal.",Sim,2023,REQ
6345,156678,Desarquivamento do PL nº 3278/2021.,Não,2023,RQS
6345,156641,Desarquivamento do PLS nº 49/2015.,Não,2023,RQS
6345,156588,Desarquivamento do PLC nº 42/2017.,Não,2023,RQS
6345,156391,"Modifica os arts. 60, 61, 62 e 64 da Constituição Federal, para dispor sobre a iniciativa de proposições pelo Presidente da República.",Não,2023,PEC
6345,155973,"Requer, os termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal, em face do que dispõe o art. 55, III, da Constituição Federal, licença para desempenhar missão política ou cultural de interesse parlamentar, sem ônus para o Senado Federal, em São Paulo, em 28/02/2023.",Sim,2023,REQ
6345,156047,"Realização de sessão especial, em 31 de março de 2023, a fim de comemorar o Dia Internacional das Mulheres e Meninas na Ciência.",Não,2023,RQS
