codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
345,98684,Institui o Dia Nacional de Conscientização sobre o Autismo.,Sim,2010,PLS
345,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
345,163747,"Requer, nos termos dos arts. 336,II, e 338, IV, do Regimento Interno do Senado Federal, urgência para o PL 5395/2023, que ""institui a Política Nacional de Assistência Estudantil (PNAES)"".",Sim,2024,REQ
345,162750,Requer a realização de Sessão Especial destinada a celebrar os 45 anos de regulamentação da Profissão de Biólogo.,Não,2024,RQS
345,162299,Requer a realização de Sessão Especial destinada a celebrar o Dia Mundial das Águas.,Não,2024,RQS
345,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
345,164002,Requer a realização de Sessão Especial destinada a celebrar os 20 anos da Pastoral da Pessoa Idosa (PPI).,Sim,2024,RQS
345,164270,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater a importância e necessidade de reestruturação, valorização e fortalecimento das carreiras do Fundo Nacional de Desenvolvimento da Educação (FNDE) e do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP).",Sim,2024,REQ
345,163769,Requer realização de audiência pública sobre o cancelamento unilateral dos planos de saúde de adesão coletiva.,Sim,2024,REQ
345,162904,"Institui o mês de conscientização sobre doenças inflamatórias intestinais – doença de Crohn e retocolite ulcerativa –, denominado “Maio Roxo”.",Sim,2024,PL
345,164283,"Requer a realização de Sessão Especial destinada a celebrar o Dia Internacional da Mulher Negra Latino-Americana e Caribenha e o Dia Nacional de Tereza de Benguela e da Mulher Negra, celebrados em 25 de julho, com a celebração do Acordo de Cooperação Técnica entre o Ministério da Igualdade Racial e o Senado Federal.",Não,2024,RQS
